target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
Cardiac Vascular Intensive Care Unit (CVICU),0,3,7.222222222222222,0.023372560426299427,0.3591694193077132,-0.02103347303616234,-0.042915229173256686,-0.19182024635772343,-0.03154484458875374
Cardiac Vascular Intensive Care Unit (CVICU),1,1,7.222222222222222,-0.001467125290133986,0.18479741272449834,-0.0024724511850830536,0.013000986533252157,-0.843111981156758,-0.01725862906623837
Cardiac Vascular Intensive Care Unit (CVICU),2,1,7.222222222222222,-0.013218241232346217,0.06238447543588699,-0.014313329529558383,-0.0005837772011849096,-0.13128257624487993,-0.021064694731898228
Cardiac Vascular Intensive Care Unit (CVICU),3,2,7.222222222222222,-0.01483625348140688,0.07996931917295647,-0.010032462201193706,-0.019162791667465373,-0.04433692363584463,-0.018944830545497653
Cardiac Vascular Intensive Care Unit (CVICU),4,3,7.222222222222222,-0.03437661523363089,-0.1382690115681564,-0.026729228768620206,-0.01516412860944022,-0.4470715823126987,-0.0281834355727051
Cardiac Vascular Intensive Care Unit (CVICU),5,1,7.222222222222222,0.007025417239498566,0.09669393744282206,-0.0156530148704005,0.0009187072599841084,-0.12671194669672037,-0.02057239715915214
Cardiac Vascular Intensive Care Unit (CVICU),6,3,7.222222222222222,0.0010513592838910513,0.4087239618329973,-0.02825846854343673,-0.021122545875125465,-0.6284646424949925,-0.04499269664859196
Cardiac Vascular Intensive Care Unit (CVICU),7,3,7.222222222222222,-0.06889342303291285,0.16886512103085638,-0.014293909414427569,-0.009839942968507598,-0.7548312859316084,-0.03872531282729516
Cardiac Vascular Intensive Care Unit (CVICU),8,1,7.222222222222222,-0.009862236997834006,-0.12652483830239436,-0.00043094353179265465,-0.019365373845592948,0.027313803935461678,0.001002997750869497
Cardiac Vascular Intensive Care Unit (CVICU),9,1,7.222222222222222,0.0025113848227481528,0.24255125312969017,-0.01428754926689095,-0.012551518177343568,-0.351780377113597,-0.02926259730845389
Coronary Care Unit (CCU),0,2,19.970588235294116,-0.09924083842816223,-0.3286193037523667,-0.020225911771173416,-0.02955289002452305,0.7256038048259286,0.02210395041390051
Coronary Care Unit (CCU),1,1,19.970588235294116,0.011875276823169634,-0.1334597120179034,0.035185847058656725,-0.023557936023803294,0.9475892595581188,0.06267821560293285
Coronary Care Unit (CCU),2,1,21.903225806451612,-0.011298202065462615,-0.09928817086906594,-0.026379756871884957,0.00703483036722069,0.12249341656262258,-0.020911353725399068
Coronary Care Unit (CCU),3,2,19.4,-0.022500964218393538,0.056117827664105446,-0.007213012070236113,-0.04038732202813966,0.34166165194389353,-0.0041346213343255445
Coronary Care Unit (CCU),4,3,21.903225806451612,0.010180700458180592,0.032462669063373584,0.0008370481768267685,-0.011647683670937437,0.7340442703430832,0.018003256754879834
Coronary Care Unit (CCU),5,2,19.4,-0.027920017468104463,-0.21722068153620722,-0.007293423363726723,-0.024535120336374783,0.3312730551352585,0.013815272743722781
Coronary Care Unit (CCU),6,3,19.4,-0.04936535579954321,-0.2147008919156046,0.018480009673488645,-0.015558273592854277,1.1155133635300607,0.039708369645076666
Coronary Care Unit (CCU),7,2,19.4,-0.011185624710445374,-0.08354495271365414,-0.02715685659424627,0.003074004337407954,0.601928903799184,-0.00887643517187317
Coronary Care Unit (CCU),8,2,19.970588235294116,-0.07642486007572236,-0.2583626490884511,-0.008012716096116201,-0.026282856441892766,0.8432312758694742,0.02183034242161104
Coronary Care Unit (CCU),9,3,19.4,-0.0025657090120814185,-0.2226186267058159,0.010667419612597318,-0.012252026561032026,0.8135322428039946,0.044704779433518485
Medical Intensive Care Unit (MICU),0,3,46.14705882352941,-0.06096856528374306,-0.3690676069902439,-0.009707689062512598,-0.06140526345014924,0.20397951623027444,0.03655224396689788
Medical Intensive Care Unit (MICU),1,2,46.14705882352941,0.0032893756533661223,-0.031355681401051605,0.002305019861574109,-0.011893061043748765,0.20610185855855878,0.009930901147469307
Medical Intensive Care Unit (MICU),2,1,46.14705882352941,-0.016480949716109805,0.017878236462582575,0.022041257420629512,-0.013905679140161442,-0.011995439318789103,0.013813053038804868
Medical Intensive Care Unit (MICU),3,1,46.14705882352941,0.0018057418152986338,-0.041811126782739905,0.0171973748825808,-0.01126643826113699,-0.1822313682359049,0.010872619937520228
Medical Intensive Care Unit (MICU),4,3,46.14705882352941,-0.03509492407155479,-0.4487288185588431,0.038896757044981425,-0.04053966552956989,0.4610307582782216,0.08043649034472669
Medical Intensive Care Unit (MICU),5,2,46.14705882352941,-0.0330051453811499,-0.4373258986890891,-0.01164780070118654,-0.0344393591149893,-0.05793479012279912,-0.008786271562423897
Medical Intensive Care Unit (MICU),6,3,46.14705882352941,-0.0415248522131248,-0.4378049818760429,0.04501169361340186,-0.013253441113301234,0.3528226730563704,0.06274585157960505
Medical Intensive Care Unit (MICU),7,2,46.14705882352941,0.0057983927131669555,-0.01463992522353419,0.02002442859835804,-0.011849804679918863,0.04465252532642605,0.018791220726977642
Medical Intensive Care Unit (MICU),8,3,46.14705882352941,-0.022515682463083386,-0.45689028499354,-0.003952061468585705,-0.047657395125562996,0.12497565814880884,0.024284908807566896
Medical Intensive Care Unit (MICU),9,2,46.14705882352941,-0.008815825546357847,0.03378221200031861,0.010223804172934198,-0.03283022224039944,0.0633746617422486,0.009178759721538476
Medical/Surgical Intensive Care Unit (MICU/SICU),0,3,32.294117647058826,-0.0013389047077794758,-0.30433726480755574,0.05828241912355024,-0.008162684335363046,0.3487417534871571,0.07201709443952976
Medical/Surgical Intensive Care Unit (MICU/SICU),1,3,32.294117647058826,-0.07570478723729224,-0.5752469776346734,-0.02788599748239126,0.019475169960265992,0.11110083154048378,0.02133210064039709
Medical/Surgical Intensive Care Unit (MICU/SICU),2,1,32.294117647058826,-0.035088651437089835,-0.06610900621777716,0.004499036420111846,-0.003927688774729932,-0.09011324835686896,0.00018673397136018122
Medical/Surgical Intensive Care Unit (MICU/SICU),3,2,32.294117647058826,-0.019064531156727405,-0.359659844268731,0.06452448409994956,-0.017403815015738178,0.44165107334313447,0.08022997412190548
Medical/Surgical Intensive Care Unit (MICU/SICU),4,3,32.294117647058826,-0.05488954420442982,-0.28414727341827517,0.01655094509909047,-0.006091086406823931,0.19243131000584945,0.02777865990492122
Medical/Surgical Intensive Care Unit (MICU/SICU),5,1,32.294117647058826,-0.04244632030964235,-0.3310295686256891,0.03575776775910286,-0.007961930533251338,0.6432446555144473,0.0587738528652354
Medical/Surgical Intensive Care Unit (MICU/SICU),6,1,32.294117647058826,-0.05095806311830947,-0.36555752044864476,0.03392830321332185,0.004129130632014588,0.5268387625844968,0.05886761681614798
Medical/Surgical Intensive Care Unit (MICU/SICU),7,3,32.294117647058826,-0.0726384261626642,-0.5335707914244345,-0.011052673191607326,-0.004269892112677365,0.20597704715593035,0.03359547754799366
Medical/Surgical Intensive Care Unit (MICU/SICU),8,1,32.294117647058826,-0.05714834355210663,-0.43797456620208497,0.030834143228297792,0.00161562368501178,0.6154138471045938,0.05905349574119602
Medical/Surgical Intensive Care Unit (MICU/SICU),9,3,32.294117647058826,-0.08380740747211995,-0.5900664556045649,0.020892397460471,-0.0176691964344029,0.21362229922267018,0.04092774201750907
Neuro Intermediate,0,1,2.103448275862069,-0.01606755320899428,-0.08630448933117063,-0.04608469149429595,-0.02060415385207995,0.023794525993389826,-0.03974068495538641
Neuro Intermediate,1,1,2.103448275862069,-0.026170559809638436,-0.03533276352580683,-0.03626981988080246,-0.09320433346635529,-0.5816337577953474,-0.044726502866904466
Neuro Intermediate,2,1,2.103448275862069,0.004353989990113008,0.11243770280694709,-0.011562210710040034,0.005619050016791527,0.2159015730662741,-0.01737237129149799
Neuro Intermediate,3,3,2.103448275862069,0.03248411796514339,0.319711684825674,-0.036169326959632465,-0.03239129544659358,-0.3402871035482504,-0.04410746569266252
Neuro Intermediate,4,1,2.103448275862069,0.006670079264813444,0.16145004490576342,-0.01069511822158244,0.014144929340437554,0.23165391419358006,-0.017394692437534387
Neuro Intermediate,5,3,2.103448275862069,-0.031116379638551267,0.1835931630295925,-0.024138367037588843,-0.03999872129621494,-0.2147201546094668,-0.03540263794831944
Neuro Intermediate,6,1,2.103448275862069,-0.021810269684854902,0.2502501951434667,-0.03280804876404606,-0.012981882547700274,-0.24473053798960365,-0.038486039005395656
Neuro Intermediate,7,1,2.103448275862069,-0.054266411719159274,-0.07322513020139809,-0.02920222532486603,-0.07868936015460094,-0.8944607994699088,-0.029674051047011853
Neuro Intermediate,8,3,2.103448275862069,-0.011833185137326521,0.38066039440030075,-0.04668935516845994,-0.06695613190144634,-0.4124714246956609,-0.061096984170246046
Neuro Intermediate,9,2,2.103448275862069,-0.03361698620843967,0.1251669184590673,-0.045979936447904386,0.004481467873623773,0.02563129046776469,-0.05687402213780921
Neuro Stepdown,0,1,0.5172413793103449,0.0137474573076789,0.6183414472500697,-0.043474847997799465,0.05099411420525074,0.062137123625410906,-0.07132850533645502
Neuro Stepdown,1,1,0.5172413793103449,0.0007574459295864866,0.1400610940993906,-0.031272604614474536,-0.09854377919973421,0.12078412678914685,-0.053726272941467645
Neuro Stepdown,2,3,0.5172413793103449,0.14576565027771943,1.2654246586608662,0.001425935357118619,-0.16184828579406277,0.20364330492333793,-0.016981244801924172
Neuro Stepdown,3,2,0.5172413793103449,0.03631410188810694,0.9949302720620201,-0.05384923397692529,-0.019494065774016356,0.4835894415841009,-0.08322983435396361
Neuro Stepdown,4,1,0.5172413793103449,0.059747796994506996,0.2328299854448208,-0.056489352303359816,-0.07332941944460955,0.14622460942864324,-0.057821871406357736
Neuro Stepdown,5,3,0.5172413793103449,0.008781923597241864,0.7219661368176633,-0.0019039759240584986,0.10452141092069178,0.13107592969128545,-0.029328018817941115
Neuro Stepdown,6,2,0.5172413793103449,-0.07967602810400523,0.764411604188018,-0.003404109796661583,-0.06399233869039705,-0.08084745238476976,-0.024303292615796977
Neuro Stepdown,7,1,0.5172413793103449,-0.08459628709388893,0.32451230244131746,0.003390789425701056,-0.11724046135376151,-0.46923665549595983,-0.009050344651446558
Neuro Stepdown,8,1,0.5172413793103449,0.08224936891252477,0.7519410491795213,-0.06582021363315484,0.05915884148339828,0.4287310571238734,-0.0679953818885573
Neuro Stepdown,9,1,0.5172413793103449,0.2033178986992874,0.5899121473644898,0.007200028185956914,0.04966967157369631,-0.12916372234574114,0.0015244680827310488
Neuro Surgical Intensive Care Unit (Neuro SICU),0,3,7.027027027027027,-0.04004597619031269,-0.26571754607341846,0.21524563855958317,-0.06649160320784997,-0.12788172170486156,0.2119111257541788
Neuro Surgical Intensive Care Unit (Neuro SICU),1,2,7.222222222222222,-0.08444336696772742,-0.3096864011445878,0.22211251610685345,-0.143801370635542,-0.2708262567188997,0.23089750119621327
Neuro Surgical Intensive Care Unit (Neuro SICU),2,1,8.666666666666666,-0.05832247818869929,0.004360845533267654,0.1618482135321776,-0.08411859662031157,-0.31406189998502376,0.14732739193695055
Neuro Surgical Intensive Care Unit (Neuro SICU),3,3,8.666666666666666,-0.0396803080577014,-0.21424369759942397,0.23281267082022444,-0.021305726069422104,0.9348161539934619,0.24255963922998963
Neuro Surgical Intensive Care Unit (Neuro SICU),4,1,8.387096774193548,-0.01806120276494516,0.02230424619354643,0.17838594496907428,-0.041941653372364884,-0.5380043835043122,0.16468744813368896
Neuro Surgical Intensive Care Unit (Neuro SICU),5,1,8.387096774193548,0.003376751781559606,0.1274579792847459,0.14150422953355427,0.010133814774755945,0.17068261339502366,0.15394495676215741
Neuro Surgical Intensive Care Unit (Neuro SICU),6,1,8.125,0.009174118477963955,0.28636925452044204,0.17542286169560461,-0.03706808319301513,0.02756877903763444,0.1626442573392211
Neuro Surgical Intensive Care Unit (Neuro SICU),7,1,8.387096774193548,-0.08214222275505845,-0.23501713580400563,0.23250216608782473,-0.11163165773212086,0.19071179531792049,0.23293624584241618
Neuro Surgical Intensive Care Unit (Neuro SICU),8,3,8.387096774193548,-0.04395848101047595,-0.10580858895278011,0.2120016037871246,-0.04956279441069533,0.2365119421628339,0.2096680942568427
Neuro Surgical Intensive Care Unit (Neuro SICU),9,3,8.387096774193548,-0.06346331851121723,-0.21246203535599634,0.2111431157478189,-0.05877206644361099,0.3390183262458939,0.2249120793747329
