target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
CCU-care,0,3,11.0,-0.013370638566175375,0.08859456998887616,0.01173238976618271,0.0009064429499394122,0.296617936244985,0.01080942750713472
CCU-care,1,1,11.0,-0.003919750998853666,-0.0662267917147753,0.0027714104197401473,0.005086608975585827,-0.11007223756480045,0.0018980354855932108
CCU-care,2,1,11.0,-0.02031041335798378,-0.16596073426929758,-0.011451990616593036,-0.015889713791555626,0.06417986954794452,-0.007567937153344528
CCU-care,3,2,11.0,0.001087665443197161,0.09572744449377568,-0.001593018074353983,0.027095625494712172,-0.07873705939201181,-0.010361074302245185
CCU-care,4,3,11.0,-0.031724502079047645,0.05927013690609928,-0.015439989360404388,-0.0035139547702445206,-0.050985770487670834,-0.014872137345362038
CCU-care,5,1,11.0,-0.01978043112449357,-0.1063851851691836,-0.01801470713215475,-0.027494131485570728,-0.0719697404600963,-0.009052118052540747
CCU-care,6,3,11.0,-0.0028646095861269427,0.021121061384096307,-0.023755265333458744,-0.0007861289322563803,-0.095071369988315,-0.022865518462687667
CCU-care,7,3,11.0,-0.03633372081254843,-0.09578525359813339,-0.004749960326814795,-0.025284060453437285,0.5756004785981488,0.016310063764268676
CCU-care,8,1,11.0,-0.003436310372256779,0.09123138505851403,-0.00641327407559486,0.015104692709064782,0.006111013153638378,-0.0086878696954618
CCU-care,9,1,11.0,-0.008429003051405204,-0.10243771708272892,-0.0010848673814552318,-0.020317402438521537,0.36694977306050713,0.0405400803476367
CCU-meta,0,2,5.962962962962963,0.021876145012685255,0.3105310451635309,-0.04009181584941844,0.035098945781171675,0.4239168070405883,-0.038701312466710935
CCU-meta,1,1,5.962962962962963,-0.008909248554543614,-0.190616489886426,-0.008175649407791502,-0.06946711502313424,0.7075779855662558,0.04230637965905654
CCU-meta,2,1,5.962962962962963,-0.04371672323503223,0.04506100969182314,-0.01613196451822599,-0.03137703437607392,0.5032842750628377,-0.005322315472060177
CCU-meta,3,2,5.962962962962963,-0.04982559588518848,-0.040909230475190905,0.008763649262394937,-0.02477075287781877,0.8637317117593359,0.02293035507866753
CCU-meta,4,3,5.962962962962963,0.06804250424070063,0.3282077359699148,-0.022859019916055254,0.04602136371989751,0.938322174872799,-0.00659845884196518
CCU-meta,5,2,5.962962962962963,-0.015570523669786396,0.07905105722796535,-0.025723676868675938,-0.0468770432864794,0.4589160174459097,-0.018178622924721166
CCU-meta,6,3,5.962962962962963,0.07113333218523282,0.27152743456441675,-0.04672831395511097,0.09277613688748876,0.8802370032308795,-0.03694716137589177
CCU-meta,7,2,5.962962962962963,-0.01989054362463788,0.05814702703083785,-0.026864319062406494,-0.02588058473603294,0.5552341664388689,-0.021950865279640117
CCU-meta,8,2,5.962962962962963,0.010026742841129421,0.1490414460958418,-0.019023735761570224,-0.004163837948463867,0.7074228001331102,-0.004973014605054685
CCU-meta,9,3,5.962962962962963,-0.032348911921526724,-0.02963795546409642,-0.01834149856267034,0.016219684389771116,0.5271592909168334,-0.00848866143818483
CSRU-care,0,3,4.142857142857143,0.062368505001920205,0.24069280161778406,-0.008664245377719627,0.06686593041784356,-0.059539957897635,-0.025744940225868297
CSRU-care,1,2,4.142857142857143,0.011789387153678721,0.08263415650451789,0.0018034611576399281,0.04674176117407286,0.19463918340668496,-0.007093887334719981
CSRU-care,2,1,4.142857142857143,-0.009271289491857349,0.09381627792414104,-0.005868669177432971,0.01426106336949129,-0.1280294278677716,-0.012703036480087332
CSRU-care,3,1,4.142857142857143,-0.020303991343323002,-0.010243369981132622,0.00440968063409275,-0.00035975147948194564,0.22029337601022325,0.0049011288439380005
CSRU-care,4,3,4.142857142857143,-0.011327479220711978,0.09485604178922102,-0.0255612802316176,0.015603660021642402,-0.39046338089839594,-0.040859404195653655
CSRU-care,5,2,4.142857142857143,0.031204757030864005,0.19998127383715136,-0.0023690304062612896,-0.009032894764652633,-0.028161746215032757,-0.007089467608150678
CSRU-care,6,3,4.142857142857143,0.028961892002696,0.2788966743345199,-0.014130562590328362,0.03838044136711133,2.9048394191377724e-05,-0.02932880608975609
CSRU-care,7,2,4.142857142857143,0.013301682416868077,0.06323819300504563,-0.010905206467703488,0.052058122910509486,-0.34920780471622015,-0.022643138837961624
CSRU-care,8,3,4.142857142857143,0.03622788303919047,0.34995901423344,-0.006094429180902229,0.010447316534491602,0.2381991881378287,-0.020148931329567736
CSRU-care,9,2,4.142857142857143,0.004891488213579043,0.4627455404805444,-0.021716952268630456,0.018284722090022604,-0.42430669957249245,-0.046487388612860225
CSRU-meta,0,3,1.6111111111111112,0.059514565774963446,0.6350030313754197,-0.034460936755994265,-0.00475315070197857,-0.2365848091783458,-0.059959086714274974
CSRU-meta,1,3,1.6111111111111112,-0.04758638560494072,0.21894432278854115,-0.029224813525528286,-0.01867573799187605,-0.4649447028851137,-0.05560883161734302
CSRU-meta,2,1,1.6111111111111112,-0.03171937179757636,0.024724174517634423,-0.040238346586636276,-0.007693493199154189,-0.25817855250623056,-0.06164811638050334
CSRU-meta,3,2,1.6111111111111112,-0.01619814206296455,0.2216342168027996,-0.03194259087504243,9.726401145881969e-07,-0.15107734587766553,-0.052634294766252504
CSRU-meta,4,3,1.6111111111111112,-0.05264863260366487,0.5485030544982894,-0.04392795410829212,-0.01865025760883543,-0.18891967466383175,-0.06760351633392599
CSRU-meta,5,1,1.6111111111111112,-0.07319483509899999,0.3373306126599691,-0.03248167374115976,-0.025072088382973784,-0.15419499643964762,-0.04845366244062381
CSRU-meta,6,1,1.6111111111111112,0.06350636628091358,0.10593231419432475,-0.03444337375193736,0.07766594871607513,-0.2672973644307417,-0.06174500315615074
CSRU-meta,7,3,1.6111111111111112,0.004356877183370383,0.2270360318674055,-0.018720442830772593,0.04085908779179623,-0.3300996382130741,-0.03795763054615138
CSRU-meta,8,1,1.6111111111111112,0.05000903928388217,0.47448750484443514,-0.034141255384908926,0.05585581156727454,-0.23437422178735634,-0.04989209291489818
CSRU-meta,9,3,1.6111111111111112,-0.08406053201392183,0.13235291990216647,-0.05865668267357752,0.04165108218084801,-0.21429751512737605,-0.07698922966368753
MICU-care,0,1,32.666666666666664,-0.0014590786931525934,-0.11520061163324313,0.003077574271089567,-0.01018184612243983,0.09998610747587944,0.007280746340000976
MICU-care,1,1,32.666666666666664,-0.007822656876484313,-0.13902962342791048,0.03678788748019504,-0.015857414231382094,0.24001348287902458,0.051487171293677525
MICU-care,2,1,32.666666666666664,-0.004014197420356247,-0.04914802883808378,0.00626496497257914,0.0030550121599668967,0.17161977869259504,0.013194361003434046
MICU-care,3,3,32.666666666666664,0.012767722735701537,-0.10769458949615873,0.011636577815521826,0.01276061702896325,0.11207835124362764,0.02132317806337386
MICU-care,4,1,32.666666666666664,-0.0002757051614810102,0.0011661278410083353,0.009941552836530254,-0.005893259262828576,0.23788126948344734,0.013613862759053047
MICU-care,5,3,32.666666666666664,-0.02864350295563811,-0.11254244376379552,0.011311201991961978,-0.029998152147166557,0.26884612530439966,0.019018132094530987
MICU-care,6,1,32.666666666666664,-0.0012162770749883922,-0.1897673381247642,0.0009473995502497501,-0.005287816058159145,0.061368253081839796,0.0068777885489023916
MICU-care,7,1,32.666666666666664,0.0037242586722291415,-0.016927643780835888,0.005264993214179781,0.0009947424259760251,0.058625627857316065,0.00863802373154518
MICU-care,8,3,32.666666666666664,-0.03493079253172421,-0.4339617630265965,0.037586797896917434,-0.017980921541715045,0.25383021268469785,0.054175235484810305
MICU-care,9,2,32.666666666666664,-0.031626633820543204,-0.2464075177865368,0.030076425250535416,-0.015383136711893619,0.32427358513520455,0.046498391192060715
MICU-meta,0,1,25.88888888888889,0.006912544239760732,-0.1027482649569249,-0.020729772479915504,0.004517615604294367,-0.1168369207435922,-0.01707142754007654
MICU-meta,1,1,25.88888888888889,-0.0079752636778892,-0.37096127545952795,0.008722531936131497,-0.01862972386836842,0.31623239386499025,0.038672556748446954
