target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
AK,0,3,29.166666666666668,0.006528306813054829,-0.02334276858884965,-0.013081562619429943,0.015070853113882232,-0.04687873217589544,-0.012535420481267684
AK,1,1,29.166666666666668,0.011473862028927972,0.12296274905469406,-0.016867234624988042,0.014322073857824635,0.03092618370332545,-0.02232982742269768
AK,2,1,29.166666666666668,0.009133626874592626,-0.011781334064455473,-0.003886591864025013,0.007055302011704234,0.011855250031123976,-0.0053082636445949405
AK,3,2,29.166666666666668,0.002749504408338932,0.08041508586447454,-0.007184209843915462,0.0014820398301865212,0.0007983786077989663,-0.004638829996494648
AK,4,3,29.166666666666668,0.013696959608678783,0.06905163195730968,-0.016897317060560968,0.008542270246500283,0.021066707447380484,-0.01971078793077205
AK,5,1,29.166666666666668,0.0016051116689959066,-0.0060630301640421935,-0.004549129229256349,0.004527046440839511,-0.07689422654632416,-0.0052015912416153165
AK,6,3,29.166666666666668,0.0017095349942183868,-0.09694822950767723,-0.015103396780559886,0.0061058047517569825,-0.19670107426931005,-0.015179886625137973
AK,7,3,29.166666666666668,0.012400325440158011,0.006292681141287448,-0.02314546583954541,0.013603824495480588,-0.09072754840716812,-0.02398849864180419
AK,8,1,29.166666666666668,-0.0004356929455858749,-0.0035640263310400266,0.0012657334273124543,0.0004651532858207519,0.01716586910087181,0.0012180929550519581
AK,9,1,29.166666666666668,-0.008402929317742835,-0.09800558805075832,0.016533729901770322,0.0005185807758187333,-0.10721639713180431,0.015130867488550082
AL,0,2,171.3684210526316,0.0022331059702894174,0.013257314287869026,0.021588561570466624,0.002850752046945293,0.06236750921617351,0.02243560367105249
AL,1,1,171.3684210526316,0.0009604418429416395,-0.01953988553627961,0.010204140964952091,-0.000270272224666801,0.015549866471027851,0.01170805558968191
AL,2,1,171.3684210526316,-0.0023051192581099444,-0.00826653124413168,-0.00016058011981875953,-0.0019708359076404114,0.007499681498537969,0.0029399271070249255
AL,3,2,171.3684210526316,-0.00038732880814895676,0.022936365062706354,0.021784082181579484,-0.002488560813945495,0.06528793274467248,0.02467654835640873
AL,4,3,171.3684210526316,0.0014496660068872846,0.018547236254505495,0.008674667929954194,0.0005594567570709752,0.019787748420559748,0.01180955648722437
AL,5,2,171.3684210526316,0.0024326469266918727,0.028170950001255357,0.004497970822387953,-0.0035673777303493748,0.026123546280220733,0.00700548137785284
AL,6,3,171.3684210526316,9.931830136999942e-05,-0.03728702629349301,0.010070868205706351,0.0002729116765748385,0.009387607150812771,0.01170712128059509
AL,7,2,171.3684210526316,-0.000699822525495164,0.0071948086038945425,0.012153960889484478,-0.003037111070486931,0.04968213373656538,0.016845351190806213
AL,8,2,171.3684210526316,0.004353453134587182,0.011065148802217428,0.02384182807132232,0.001544503425475685,0.012999391734534793,0.02490797665635605
AL,9,3,171.3684210526316,0.0010504376659618564,0.05327113847160325,0.016698078763505098,-0.002493679973418872,0.1032385567935572,0.02159265213774203
AR,0,3,114.94444444444444,0.007947255322322544,0.0827891331361078,0.0375984144946816,0.0032948614869476867,0.013186116742177845,0.039032887545070505
AR,1,2,114.94444444444444,-0.0003820453977946836,-0.0009823114196263472,0.012056379913129772,-0.003611618829683083,0.0007404157975523518,0.013101867527391675
AR,2,1,114.94444444444444,-0.00022244903529644589,0.04199992259901042,0.0211190944032211,-0.000283982660390536,0.038594543321811337,0.02447975294282187
AR,3,1,114.94444444444444,-0.0014328541548379592,-0.021703518145583356,0.01262875475789177,-0.0012703106265703479,0.03720372998945276,0.0136363085684931
AR,4,3,114.94444444444444,-0.005258515688910059,0.051291905594452736,0.02960685948648678,-0.0029297309966635487,0.10621642603378723,0.03238370873950111
AR,5,2,114.94444444444444,0.0010459258118141745,0.0061825573316789395,0.024406685764457425,-0.00120966163528885,0.034924417761194926,0.025010533929377382
AR,6,3,114.94444444444444,0.003274189140775874,0.057093819481793595,0.021006162389395983,-0.00456184180215663,0.02079422749383597,0.025418107206429758
AR,7,2,114.94444444444444,-0.0040552457131545205,0.03674762137426746,0.026628043478428537,-0.002846485568862911,-0.019783455408886264,0.026761480140318983
AR,8,3,114.94444444444444,-0.0019883404277482586,0.01767592693129516,0.03221080819000158,-0.0034337398124372753,0.028692220897555964,0.03170920702245597
AR,9,2,114.94444444444444,0.0010215719330296524,0.017307465084191787,0.030302418186980457,0.0004192928318144107,0.06177206058886919,0.029740754747028808
AZ,0,3,303.44444444444446,-0.0008888892521943803,0.008245092389523201,0.009163002321312314,0.0021577972481370278,0.03420251534230201,0.008940947356542467
AZ,1,3,303.44444444444446,0.0006466192764840173,-0.027641650172382515,0.005781122835897434,-0.0002660530169429909,-0.03805079939997724,0.004426873767686468
AZ,2,1,303.44444444444446,-0.001018276356946235,-0.02176697517114279,0.0021861519815700448,0.0014423958986294894,0.037767574446523566,0.0029306094610455635
AZ,3,2,303.44444444444446,-0.0009748657938859484,-0.027426482606976776,0.009571686591535233,0.0010529878024035932,-0.022680196033137534,0.009254897153450764
AZ,4,3,303.44444444444446,0.0010908529608849582,-0.026620763489538013,0.0045613660683376245,0.0032897284670340143,-0.028281663494976073,0.004493076718436767
AZ,5,1,303.44444444444446,-0.00027958392490834427,0.006906251019915266,0.003510936032466827,-7.405268280741284e-05,0.00868227485531703,0.0032798468560397698
AZ,6,1,303.44444444444446,0.0004861836897259719,0.0076117013034257,0.005900303682315228,0.0022378733982431065,-0.015702687970441165,0.003985722534956965
AZ,7,3,303.44444444444446,-0.00025076188832534596,-0.009145247162078096,-0.004699002242686323,0.0017159183707930459,-0.006097850169546115,-0.004616124149780493
AZ,8,1,303.44444444444446,0.00043582564171795735,-0.00482193484328497,-0.0004711270404057222,0.0010624168199374062,-0.01758340142061532,-0.0011730479238221403
AZ,9,3,303.44444444444446,-0.0009030299016310472,-0.019114506436128442,0.020013425090860543,-0.0008538479693173118,0.07045021977314447,0.019329472392185243
