target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
63,0,3,1.1111111111111112,-0.1428132526739733,-0.5394734919041191,0.05925586973929747,-0.03476631006980335,-0.40235447872444563,0.018784996520100912
63,1,1,1.1111111111111112,0.0010684724906953047,0.05284320223079569,0.0364964511436543,0.017931484246635016,0.29227062234694323,0.021364356245447247
63,2,1,1.1111111111111112,-0.09408057228637445,-0.35001836465600256,-0.01166826003350506,-0.07633029208456071,-0.07070323205332518,0.0020044870539892706
66,0,2,0.5555555555555556,-0.005053707080974468,0.017056047462340018,-0.13636373361835638,-0.03877906155939423,0.1378516680969296,-0.08776525909504314
66,1,3,0.5555555555555556,0.017065676673976446,-0.06083032690509177,-0.06379176616369696,-0.0009085175395746603,0.02304949923808286,-0.02440031408405168
66,2,1,0.5555555555555556,0.06121983368127398,0.44832177314014765,-0.024834145036308805,0.15524520103476858,0.29489053642400165,-0.02253795763120691
71,0,3,0.48148148148148145,0.19503561118799226,0.44497208993306947,-0.023333238576123225,0.15039968100414347,0.5396797671141351,-0.025741515563649682
71,1,3,0.48148148148148145,-0.12115988313472803,-0.11302815635984986,-0.07297465548129486,-0.05073540570612789,0.17277204887863729,-0.0541470119596262
71,2,1,0.48148148148148145,0.03915182931410116,0.0013584893012867916,-0.017900642828852426,-0.01150837032619978,0.028003098819960215,-0.013398448514548716
73,0,1,7.884615384615385,0.00882779641430459,-0.08505202627829034,-0.0067948318527119855,0.008220293937399314,-0.3217598879795722,-0.008584441298030737
73,1,2,7.884615384615385,0.01928701175463049,-0.25062785142887434,-0.022004820307469974,0.011602779235665744,-0.2822630180516321,-0.01090246236423753
73,2,1,7.884615384615385,-0.03230432213654938,-0.451811376447254,-0.007061349355525964,-0.004012141718327866,-0.18557677042084642,-0.0007625573130168178
79,0,1,1.5526315789473684,-0.004173252310113451,0.03840409368255915,0.006594022583883932,-0.03561563735601256,-0.07466359894531904,0.007165961042439106
79,1,2,1.5526315789473684,-0.007244014050621417,0.025131402988162355,-0.012919457812648957,-0.028369120481475968,-0.25057553771786867,0.004907889150080044
79,2,3,1.6388888888888888,0.03949621142387594,-0.0020984163972572745,-0.044632559835921945,-0.017864066226658426,-0.19818740818854896,-0.014141442806685264
92,0,2,0.7142857142857143,0.02981411213203669,0.16863020867882328,0.04507564398725267,0.0015960530871273193,0.06395177215566816,0.014797614007537846
92,1,3,0.5769230769230769,-0.06142449011332149,0.003260329713263954,0.04149507517844542,-0.05124132339282905,-0.2095585350104553,0.019038427855473918
92,2,2,0.7142857142857143,0.0378786796762145,-0.1733292749026027,-0.030902821627961888,-0.005790370939260825,-0.09201242529533693,-0.018643868500316046
110,0,2,5.153846153846154,0.07773757368516002,0.10159193541550593,-0.024875112517272105,0.053930131440262014,0.6064073308388171,-0.016942261650643137
110,1,3,5.153846153846154,-0.008296328536171516,-0.29595215857526913,-0.02789756197402231,-0.09503324072835723,0.09313256541084769,-0.006304052248646455
110,2,3,5.153846153846154,0.02258706646968142,-0.010903605965314922,0.0017430607114263669,0.03187027821730937,0.5500385063272801,-0.014527347677903382
122,0,2,6.9523809523809526,-0.08278818061999788,-0.17431123629223244,-0.02852523516927334,-0.0018499004953730358,-0.18448952172829092,-0.011771032816221216
122,1,1,5.84,-0.001779377087339551,0.029048069327632375,-0.008955817472672184,-0.014450215057081883,-0.034086396677691866,0.004147108659461746
122,2,1,6.9523809523809526,-0.05130541161758506,-0.1057006760677266,0.001522410403943547,-0.03721678541024592,-0.16199050619961586,-0.0021478321521075927
140,0,3,0.875,0.14511040754958998,0.45577179620896013,0.015699323568247214,0.05197716411387249,0.3826206601518942,0.011695209742290325
140,1,2,0.875,0.012600360293480384,0.1745366653851455,0.02428383324842405,-0.006223221771990972,0.1294544517687315,-0.018378272761866724
140,2,3,0.875,0.0972450908021576,0.4822762884889588,0.03643979956886837,-0.01712227759593024,0.3349666842215516,0.008158298392396596
141,0,2,2.1153846153846154,0.11796811701867121,0.20972224361448144,0.020146138120490424,0.06652666655045855,0.27905501718940173,0.000733977796905691
141,1,3,2.1153846153846154,0.24121957892110193,0.38537382804983783,-0.0007145213492070895,0.12983820944647173,0.20216737167449605,-0.010153737198234675
141,2,2,2.1153846153846154,0.004141863993495448,0.005862191135511008,-0.006941883074030944,0.0060296959666097105,-0.11687529689702081,-0.01344538089929645
142,0,3,3.7,-0.06920770292687695,-0.18424882726734065,0.06302463041451467,0.026349211689313035,0.14996362024439436,0.07725043209240043
142,1,3,3.7,0.08498633166769992,0.01905447031583085,0.05102823553685021,0.03827309565690529,0.4794287991111963,0.06329819049552102
142,2,1,3.7,0.010031398753063636,-0.07629936229042988,0.01802782253221419,-0.009750047828779751,-0.11346765804052383,0.023118812254086935
143,0,2,0.8333333333333334,-0.049769040425711564,0.30755611693975554,-0.06581458077231805,0.026184112473118498,0.5980950801038198,-0.038929429316472114
143,1,3,0.7407407407407407,0.08237236781411705,0.22654539149264513,-0.015599644208453167,0.0788081615887316,0.18036916156721583,-0.03718870984329764
143,2,1,0.7407407407407407,0.03344173363047548,0.32519297099938227,0.0030362789712638644,0.14901538081998164,0.48596169024198466,-0.01947213724581222
144,0,1,1.103448275862069,0.006550238524937524,-0.17373152595132302,0.023759330868192707,-0.005959191685857734,0.3742185342913458,0.0333526631455682
144,1,3,1.1851851851851851,-0.04843090117368054,-0.017617056501905093,0.011930133027863499,-0.023479744712926576,-0.15099419444599138,0.027378975093547128
144,2,1,1.103448275862069,0.03372552390029182,0.5260375107321416,-0.042724646938819805,0.030319810971009553,0.47084170859532537,-0.02140504930495056
146,0,3,0.7931034482758621,0.04706377762267916,0.151653950818603,-0.018404841612944353,0.04283769858412542,0.12905306223828195,-0.03354596209189903
146,1,1,0.8518518518518519,0.026510317034682984,-0.2618593442483278,-0.016312629941474963,0.03353317088787486,-0.22188358835426691,-0.03347326391901165
146,2,1,0.8518518518518519,0.013608771738076508,0.10544255845671369,-0.030365854423718516,0.016487260168748352,0.21730839955011394,-0.021233737749419834
148,0,1,1.9090909090909092,0.022224981859802928,-0.1058562916807928,0.036405395186034854,0.002497405348818482,0.03482513318481972,0.01706621060424013
148,1,3,1.9090909090909092,0.035696939576782494,-0.03907627293351712,0.003355952036845411,0.011824450562301247,0.16861832889851436,0.006686434267275901
148,2,1,1.9090909090909092,0.03953532574631993,-0.062050357213572216,0.034541707825087135,0.01807166871580096,0.04902834954982982,0.015745157084757613
152,0,3,1.3666666666666667,0.04798309282630098,-0.190310791897358,-0.04303204815969783,0.22843073432417105,0.6544314059116978,-0.02829002291609406
152,1,1,1.3666666666666667,-0.0023444532405903495,0.21191883124765398,0.0361261319633657,0.029986787323278863,0.3293904611687364,0.014116494136677635
152,2,1,1.3666666666666667,0.014107168739546427,0.23510742435575582,-0.02544791560527862,0.08128822632795074,0.373317423675916,-0.023267948107243877
154,0,3,1.4375,0.0963163334119285,0.3341726697764207,-0.019325802529106553,0.13415597669399257,0.8062292317544069,0.017182442289782288
154,1,2,1.4838709677419355,0.1591320870575641,0.12466220032299113,-0.005539203125053238,0.11786869900292785,0.43964251592554715,0.02724530678532222
154,2,1,1.4838709677419355,-0.061889974482923854,-0.37713706252567847,-0.05543177201072702,-0.20885282777000558,-0.5999068718427809,-0.03131809586671623
157,0,1,2.0,-0.03529407562825293,-0.15693399662607277,-0.02754399919500633,-0.03743032269570756,-0.12924754446989928,0.00516101053898628
157,1,3,1.8857142857142857,0.08373515427324546,0.018701159518592414,0.004436265085155128,0.03353365824193055,0.11396676166678299,0.015096296211532481
157,2,2,2.0,0.025374049588419045,0.04673872405608814,0.01509267501544953,-0.026916101169391804,-0.03331935482220194,0.04140938717834025
165,0,1,2.357142857142857,-0.0021365668068905053,-0.14411172545794015,-0.037595035989876735,0.017575247567492097,0.21056133947108835,-0.0033066742622861467
165,1,3,2.357142857142857,0.01639416046907602,-0.10144989914997182,0.04534935507893383,0.03136745085392073,0.47528971019399635,0.028840466488403937
165,2,2,2.357142857142857,0.06987989729019395,0.23450564353112846,0.033198355237477384,0.015516916327247221,0.3247111882757294,0.015720551142153913
167,0,1,3.9714285714285715,-0.027543401926812094,-0.1346635192127843,0.026036227022926947,0.0025066457976511414,0.13479180799702872,0.01831957985185692
167,1,1,3.9714285714285715,0.03161299974079462,0.017575958846470008,0.006605690360585434,0.014404204238299245,0.12686273439329465,0.00503568944049429
167,2,1,3.9714285714285715,-0.007063459668741279,-0.03250324788572623,0.005871027178985175,-0.011411520223969851,-0.0013766211894004066,0.007473356669604775
171,0,3,1.1538461538461537,0.01203860155662631,0.00821734617614922,-0.006465082114870041,0.039055006318639424,0.13121110556622884,-0.008225319530063224
171,1,2,1.1538461538461537,-0.048497910322543025,-0.2390850671095699,0.02140777470011717,-0.030843853624175688,-0.18931911601519613,0.010198007261314854
171,2,1,1.1538461538461537,0.038133367085461,0.043366859592718465,0.020922880612131975,0.008836787445696936,0.039902175007543006,0.00652186534703323
176,0,3,2.5925925925925926,-0.08808599376647347,-0.5359616228177382,-0.01479087625899455,-0.034257569388232295,-0.27631963629176015,-0.01615355150314425
176,1,1,2.5925925925925926,-0.0036721160253393448,0.012345157892291403,-0.016245182655448505,-0.023676749878394188,-0.17087755580466002,-0.013577421968066453
176,2,1,2.5925925925925926,0.00404912099803556,-0.043947624669447405,-0.01565863888967685,0.008732765122080655,0.11384222117297726,0.001018517177223649
180,0,1,0.45161290322580644,0.24829394087809228,0.4650619567888331,0.016502520008239444,0.19076672989361687,0.3755993015722252,-0.024063156161429275
180,1,1,0.45161290322580644,-0.00011368614567788815,0.19180037206559417,-0.03276480535356417,0.08837870951205304,0.28257162498087146,-0.02582591962457858
180,2,3,0.45161290322580644,-0.004552988010699477,0.04755580981893093,0.02386293262822249,0.09511150996182482,-0.27773181247219725,-0.0039042697162289114
181,0,3,1.5,0.22196642756850388,0.2784474984345434,-0.01625639795824889,0.13392445735113295,0.4400871824494892,0.014812770754378812
181,1,2,1.5,0.006514213448876149,0.04745595893027388,0.0175224624550986,0.12995607459157105,0.48966170020581434,0.024502095586437858
181,2,3,1.5483870967741935,0.10636694599184765,0.3441882704936138,0.018732352689922294,0.1458487523589838,0.73076415727511,0.0386097729645232
183,0,1,2.65625,-0.006533379307603893,0.08842751213499467,0.026000804684889245,-0.010481876489385089,-0.0042117782795745295,0.02069203914885194
183,1,1,2.65625,0.0029474290799872405,0.043619658051895494,0.030075899087692218,0.02592454418548859,0.3372803729840228,0.023708974457933463
183,2,1,2.65625,0.05758841849152391,0.10733041839219482,0.0044989111526686915,0.04300260649288484,0.32739496203615004,0.00433140209075128
184,0,3,1.625,0.04074025776090234,0.13827331467669235,0.018131466279552408,-0.05441147360402948,-0.3079802413660011,0.031382374133977195
