target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
CCU-care,0,3,11.0,-0.013366563233212003,0.08859456998883408,0.011732389766180809,0.0009064429499394122,0.29661793624498367,0.010809427507134733
CCU-care,1,1,11.0,-0.003919750998853666,-0.06622679171477841,0.002771410419740092,0.005086608975585827,-0.11007223756480089,0.0018980354855932108
CCU-care,2,1,11.0,-0.02031041335798378,-0.16596073426925972,-0.0114519906165962,-0.015889713791555626,0.06417986954794408,-0.007567937153344528
CCU-meta,0,2,5.962962962962963,0.026680072621612427,0.16118477363886097,-0.012307389090296869,0.04587848268457506,0.4076896254425182,-0.017666264559353037
CCU-meta,1,3,5.962962962962963,0.05309171873242963,0.3338953178268226,-0.025764044975766703,0.034819206440547645,0.6276968065873856,-0.02070866290485869
CCU-meta,2,1,5.962962962962963,-0.025548734318046662,-0.187815975620225,-0.006903358713956073,-0.028782568450809842,0.1515026964841919,-0.009065437728057249
CSRU-care,0,3,4.142857142857143,0.05943091513384563,0.3179896330921137,-0.022113488115953733,0.06962086052613253,-0.043654955625827,-0.048867012162531635
CSRU-care,1,3,4.142857142857143,0.01982229246669448,0.31510181130576886,-0.014171319873190771,0.06944981648339632,-0.003834741093504679,-0.03324978795895668
CSRU-care,2,1,4.142857142857143,-0.033034521109360004,-0.07481838786092743,-0.02280221677366716,0.018566523240774957,-0.6449042892429913,-0.034498113288032914
CSRU-meta,0,1,1.6111111111111112,0.03339420283377942,0.04612669220752397,-0.0075295655660887265,0.006992674821204414,-0.2022335967089286,-0.007140526280967244
CSRU-meta,1,2,1.6111111111111112,-0.028027550335396445,0.36372292656128946,-0.03728093330202331,-0.018129856132794497,-0.4917272936977697,-0.06637293067095087
CSRU-meta,2,1,1.6111111111111112,0.014012968730332087,-0.07873620335438397,-0.012027657605224777,0.013812658602090466,-0.024289292618352665,-0.01703672941531606
MICU-care,0,1,32.666666666666664,-0.0056261384315069995,-0.0140126644796299,0.008197344612496688,-0.016105253154574617,0.16763662787816713,0.013368894150836363
MICU-care,1,2,32.666666666666664,-0.020961582135541612,-0.12128688155294376,0.032903874417515216,-0.029543914515954672,0.39538757377648315,0.049233376765788345
MICU-care,2,3,32.666666666666664,0.0022061516683791194,-0.22784463544740574,0.05001663558304885,-0.026591640313053777,0.2745159404133286,0.07194140744002776
MICU-meta,0,2,25.88888888888889,-0.029451409936981143,-0.2365710213531127,-0.008970906196265727,-0.029244090109281085,-0.08461405931328647,-0.0003942906178186767
MICU-meta,1,3,25.88888888888889,-0.025980826917251676,-0.21545891460121147,0.0011856542060972586,-0.011924007477873366,0.24671157594485127,0.007187038448012759
MICU-meta,2,2,25.88888888888889,-0.03934083283431755,-0.1931506223111853,0.0024334871022626547,-0.03925165332263414,0.02698278745051086,-3.563734796080409e-05
SICU-care,0,2,10.709677419354838,-0.03523029269173128,-0.24048527992085733,0.060910290520690316,-0.04428265629987305,0.016108118577601527,0.07159080844797723
SICU-care,1,3,10.709677419354838,0.0034272140567297993,-0.08550579352964283,0.021832029632635225,0.006169284178751511,-0.2689411962558732,0.019514280803872464
SICU-care,2,3,10.709677419354838,-0.0239828912376438,-0.10262044117715419,0.040182208938287695,-0.06639030561740844,-0.8130833188660538,0.029421313101188687
SICU-meta,0,2,9.56,-0.03634732511942981,-0.03012256574500205,0.029146753778891893,-0.027824896305023106,0.05086993972950937,0.02551702521861085
SICU-meta,1,1,9.56,0.009874934136867408,-0.041536416354900574,-0.007869722146716412,-0.030235589817302566,-0.3400151876412021,-0.0002964218392309953
SICU-meta,2,1,9.56,-0.010022183085617614,-0.10403744797975756,0.04194080388562192,-0.060604087456285094,-0.3770158662309877,0.04289753625731621
TSICU-care,0,3,6.53125,-0.006184164381892898,0.192323439191315,0.021707977465644387,0.0037950408180736916,-0.03585850232690779,0.002061035084495094
TSICU-care,1,2,6.53125,0.019104794814629456,0.1233131910018116,0.04389887752644753,0.008720710609554594,0.5560794535170444,0.038428964892287476
TSICU-care,2,3,6.53125,0.05766731323095414,0.2760517040879654,0.013025144605576106,0.02860933732883497,0.4242238371556004,0.0065089755202800414
TSICU-meta,0,2,5.2,0.022454221547457687,-0.052596331120830175,0.008700222940289548,0.012835143652137615,-0.021008297844912427,0.006137610697063617
TSICU-meta,1,3,5.2,0.016734858129181795,-0.018895129419588264,0.017846802062753298,0.03193260252054286,0.38938683787271056,0.019988451746057886
TSICU-meta,2,2,5.2,0.014551233954253284,-0.005858546447719881,0.04260514103874634,-0.0342264063681913,0.3830094576982197,0.03758557272549215
