target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
Cardiac Vascular Intensive Care Unit (CVICU),0,3,7.222222222222222,0.023372560426299427,0.3591694193077132,-0.02103347303616234,-0.042915229173256686,-0.19182024635772343,-0.03154484458875374
Cardiac Vascular Intensive Care Unit (CVICU),1,1,7.222222222222222,-0.001467125290133986,0.18479741272449834,-0.0024724511850830536,0.013000986533252157,-0.843111981156758,-0.01725862906623837
Cardiac Vascular Intensive Care Unit (CVICU),2,1,7.222222222222222,-0.013218241232346217,0.06238447543588699,-0.014313329529558383,-0.0005837772011849096,-0.13128257624487993,-0.021064694731898228
Coronary Care Unit (CCU),0,2,19.970588235294116,-0.047876050303536144,-0.27259535554607095,-0.030856970578930915,-0.011095724763154124,0.6088819379240991,0.00828762282080621
Coronary Care Unit (CCU),1,3,19.970588235294116,-0.054058945605758135,-0.4829660237690313,-0.048995740725997744,-0.0437500063134863,0.525193905678397,0.00736909018054932
Coronary Care Unit (CCU),2,1,21.903225806451612,-0.017087635996085926,-0.004789156681071938,-0.012274511474408917,-0.019024478253760968,0.47603726614868425,0.0028103724109168893
Medical Intensive Care Unit (MICU),0,3,46.14705882352941,-0.031206674279758095,-0.13449783491603162,0.04599210128730882,-0.031727838519379103,0.4464947196609619,0.05300864312285054
Medical Intensive Care Unit (MICU),1,3,46.14705882352941,-0.04188201266618796,-0.567009166909269,-0.003496335521756072,-0.015440798417959423,-0.09211095229844002,0.010853031372148186
Medical Intensive Care Unit (MICU),2,1,46.14705882352941,-0.03838283424582861,-0.5723203755562183,-0.019280644251632117,-0.03936132464538811,0.08789695898130478,0.014762735635189705
Medical/Surgical Intensive Care Unit (MICU/SICU),0,1,32.294117647058826,-0.02395296615462361,-0.02434355974194602,0.0051249901681454935,-0.002083948269316127,-0.008492120461740749,0.0010809431820445192
Medical/Surgical Intensive Care Unit (MICU/SICU),1,2,32.294117647058826,-0.05196265805146555,-0.3010596273388765,0.005819094181529788,0.024511117928760984,0.35362167953698753,0.03406847571412913
Medical/Surgical Intensive Care Unit (MICU/SICU),2,1,32.294117647058826,-0.011369236062107158,-0.37909072348570716,0.06649371725598938,-0.0029542888513658383,0.36583476579777896,0.07632648683851248
Neuro Intermediate,0,1,2.103448275862069,0.055623776441059564,0.2905218472212492,-0.012789675410071553,0.10267868261386473,0.5812920178228946,-0.017582790663913366
Neuro Intermediate,1,2,2.103448275862069,-0.019574107913317026,0.11964600167959216,-0.044286705628428194,-0.09529923858832687,-0.3452819910683145,-0.05212315769410947
Neuro Intermediate,2,3,2.103448275862069,-0.027102367593574102,0.147826775253314,-0.050045828339151874,-0.014323584719065481,-0.7726745561172825,-0.06434330815701979
Neuro Stepdown,0,2,0.5172413793103449,0.02734919743875963,0.6605011966300746,-0.01786868371421499,-0.019960900463145193,0.15777349672766428,-0.027551549256541363
Neuro Stepdown,1,3,0.5172413793103449,0.15588914046850977,0.5752167136456792,-0.04274169874747248,-0.07511270890086025,0.17061838926296835,-0.05340714195108444
Neuro Stepdown,2,2,0.5172413793103449,0.031212255495469965,0.9844660378742799,-0.06592724607575245,0.010340968677838291,0.7495217831572687,-0.07799525559158539
Neuro Surgical Intensive Care Unit (Neuro SICU),0,2,7.027027027027027,-0.07893117106793235,-0.19243385631596455,0.14094719964310565,-0.1064812003328926,-0.6916847385833502,0.1388844240281664
Neuro Surgical Intensive Care Unit (Neuro SICU),1,3,7.222222222222222,-0.04987229571674784,-0.17036590699794407,0.21397481651907277,-0.11734957888157244,-0.19686014206878655,0.21687226231993037
Neuro Surgical Intensive Care Unit (Neuro SICU),2,3,8.666666666666666,-0.03553634350568946,0.0740712673878301,0.1669492053773704,-0.0717951667456746,-0.23118113756201408,0.1612114995447968
Surgical Intensive Care Unit (SICU),0,2,23.3,-0.04494633430713685,-0.5851937607487103,-0.030410560785593177,0.01820642051550503,-0.4438850748329708,-0.023278729537865778
Surgical Intensive Care Unit (SICU),1,1,23.3,0.011322574508872474,-0.2000524640890592,-0.005092990184922236,0.004548217958150469,-0.3952772630096115,0.001991940786686533
Surgical Intensive Care Unit (SICU),2,1,23.3,0.0007128527883475955,-0.32894333155473865,-0.0025181457296923476,0.018529459481031907,-0.6508958536597553,0.0015636692549972492
Trauma SICU (TSICU),0,3,16.29032258064516,0.009702964023765692,0.022319651927290907,0.032894836826265,-0.020775445726158526,0.3371765128854922,0.02471643507417398
Trauma SICU (TSICU),1,2,15.78125,-0.08471981836285991,-0.3775292083651865,-0.033165578484913805,0.013694190880316148,0.048266424143232456,-0.014025626282716794
Trauma SICU (TSICU),2,3,15.303030303030303,-0.03883713685484608,-0.32237000225254775,0.031231169823577376,0.009361217760053386,0.802471696062621,0.040034253657378484
