target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
1,0,3,94.8,0.0029136040835118227,0.01968601294911898,-0.002541569568233093,0.00433048467456143,0.023307739206512412,-0.004584697589047504
1,1,1,94.8,0.005056821891024299,0.12789559129441375,-0.030264629739229276,0.0009270859550236654,0.11247589361430022,-0.030361004053331475
1,2,1,94.8,0.005736384435475972,0.06339752610636229,0.005417921612812682,-0.0012344146218478125,0.07450058530627501,0.00747410353664274
2,0,2,62.5,0.005111604868909159,-0.05298163587312121,0.017633095811576627,0.0024288552771470906,-0.007522923186841446,0.015168488686852
2,1,3,62.5,-0.01153770365742901,-0.2308927875827086,0.018276587730465754,0.0004724337666182077,-0.07569012256701302,0.018389462188298622
2,2,1,62.5,0.0027809877912207126,-0.11357032369074616,0.06735672484456467,0.006517099620428901,0.08150232860025719,0.0702987314013504
4,0,3,31.3,-0.001785288791686268,-0.0600312810804855,-0.012228899696662299,-0.003710265992270423,-0.015336025672784359,-0.013214929543455878
4,1,3,31.3,-0.0030185601900872827,-0.18389691120709506,0.016993679458843558,-0.004123943391719176,-0.1290089020165135,0.011227119143317643
4,2,1,31.3,0.0013703529712534301,-0.09564581524883287,-0.0011396969258946066,-0.0062729313462090985,0.00590249718059499,-0.006130140130057471
5,0,1,27.7,0.01528880807680788,0.036002376568695205,0.0068215364872849515,0.015000760971353055,-0.02580925709416637,0.0008424058002285406
5,1,2,27.7,0.007933239693173832,0.0031943619389150912,-0.014509407592354917,0.010192782570710324,0.0006931626558304149,-0.02491480372036642
5,2,1,27.7,0.003953950435763187,0.0017632896479797822,-0.022966729657076218,0.004646855343326317,-0.017291939129679967,-0.02520828049394147
6,0,1,42.5,0.009085995733431385,0.006906242404713714,0.10079946790620858,-0.005502651208690201,0.30587635956703396,0.09875594680702315
6,1,2,42.5,0.013428884746566117,-0.009387364880981242,0.07134780137474855,-0.0006840302619958161,0.12228987861734208,0.07016996556941096
6,2,3,42.5,0.009766797973471464,-0.02602675415245148,0.07385583607784141,0.0009671512353300882,0.1680239356416624,0.06438730632060669
8,0,2,599.2,-0.0019750672424040383,-0.048692433296629534,0.025310702755852066,-0.003823615650409118,0.059983462489105355,0.034586170242972
8,1,3,599.2,-0.0022620378276593245,-0.07360977487297249,0.02072096562016651,-0.004065814304200832,0.0326639042897412,0.03035559862502274
8,2,2,599.2,-0.00015450470819744488,-0.017560922465290285,0.005933756476371732,-0.0006115392335419578,-0.011434116259934735,0.006692281203386663
9,0,2,50.7,-0.008478905613719445,-0.01809489577584933,0.11843337092302608,-0.008532557490291914,0.11296837355226264,0.13787321997066676
9,1,3,50.7,0.01063417348935336,-0.0286962987653403,0.11374816780225955,-0.012380793939902435,-0.00018164338374004885,0.13358863640279917
9,2,3,50.7,0.0018740728901455173,1.073398045381424e-05,0.09174219623727708,-0.004072744896488012,0.11104474204329962,0.09768497552478439
10,0,2,11.0,-0.03317049539306449,0.10278646689932103,0.07461866292788344,-0.03133090520763626,-0.027455273187565687,0.0819579709055197
10,1,1,11.0,-0.0019486047235556248,-0.03089806971734843,0.005586442671077774,-0.013600198480917314,-0.06581369674862203,-2.2616634661576374e-05
10,2,1,11.0,0.009873453752817118,0.4192357220637156,0.014531371464185205,0.0009504848374857211,0.28241153463890845,0.011476907145979598
12,0,3,11.9,0.011875800740739018,0.1012461083286238,-0.06331478410466773,0.010475154524796526,-0.04926929702178673,-0.06000400110249687
12,1,2,11.9,0.038113131522389376,0.24196134356397092,-0.005475420609522275,-0.009387267720445402,0.059081383776784735,-0.00015518831704808278
12,2,3,11.9,0.03245865513739621,0.19845408517460483,-0.01475689395906643,0.008834028963171314,0.1755489657576188,-0.010075339104882175
13,0,2,34.1,0.002926956196143804,0.059605380291860244,-0.00949034447562419,0.00015663846924363067,0.067722333036627,-0.009732377511126933
13,1,3,34.1,-0.005369576556697675,0.15628032580225004,0.020895715551142113,-0.007872800834454408,0.1688322205861783,0.028923523577544907
13,2,2,34.1,-0.012170566294860685,-0.16440317969749496,-0.06089399790128247,-0.009907624190069853,-0.17689417160199272,-0.06543903456094163
15,0,3,115.9,-0.0012581027154838775,-0.0827302911312654,0.0005975798390784326,-0.0014642457262930009,-0.05873946376299233,0.0023126915195829656
15,1,3,115.9,0.013758131218105984,-0.02669696704959068,0.043225080788899584,-0.0019696320915736365,0.10231525543209008,0.037410993409851934
15,2,1,115.9,0.00030454138318947166,-0.05406802364786356,-0.012122116350147538,0.0029651345550808506,-0.034673485246028424,-0.011967959190848032
16,0,2,104.8,-0.0006830244442831424,0.004622565206910512,-0.06702083856964924,0.009743407011041816,-0.026591942203540997,-0.07562666706216137
16,1,3,104.8,-0.0006984297539899265,-0.010091262134235945,-0.020108292440696895,0.007124755311515907,0.03921815299694975,-0.021777067569499264
16,2,1,104.8,0.0017455672037139935,0.029907509086213313,0.004947900027544749,0.0010662159210390598,0.04491727319664429,0.0034280355118210815
17,0,1,59.0,0.007607879466136391,-0.0007507396570352043,0.026346940838263333,0.002988379640871841,-0.0003021383703909475,0.02790272053040821
17,1,3,59.0,0.00450155222089077,-0.02935128568492762,0.07072758522208722,0.001455562822540446,0.10210023861557804,0.0715759452008034
17,2,1,59.0,0.00161555896475285,-0.04696177431803383,0.03241710461369263,-0.0012304232503269619,0.024562558494515496,0.03441772652458369
18,0,3,5.9,-0.010754288800236433,0.04059124331962338,-0.08545312043014752,-0.0034286768100822984,0.008659953809692977,-0.0874223930449729
18,1,1,5.9,-0.0049631548814963455,0.3929379729618505,0.011250621156467328,0.016491154271575104,0.2884357206419954,0.022082396411470084
18,2,1,5.9,0.03897522918754137,-0.09701156762280716,-0.021660157152653126,0.05070865690071846,0.011688736367114982,-0.025156982566144903
19,0,1,13.8,0.027659808845111544,0.1354946305651029,-0.025191744742285804,0.00967888277208151,0.1409778429605555,-0.031871604644799434
19,1,3,13.8,-0.0064825176453593425,0.10220715355013976,-0.03197428836328481,-0.0014075079770410337,0.07762013391401612,-0.03917641752296386
19,2,1,13.8,0.03877614120674555,0.16367574656756656,-0.025527025230298372,0.014050212920387328,0.14336602875241966,-0.031195404678204808
20,0,3,33.7,-0.00036910517097121787,0.12633983249466385,-0.03728658741456403,-0.00018803822957524918,0.06789150530921728,-0.04169018492767468
20,1,1,33.7,5.6099518818131244e-05,0.06147025304978282,-0.02194432467343399,-0.0039020951635678758,0.05572179497555574,-0.023603255572536952
20,2,1,33.7,0.00613348258467572,-0.01930890652048234,0.03481662946484926,0.006577570557657397,0.14226406252280555,0.037330763267598904
21,0,3,435.1,-0.0021114463002084305,0.01831815746029708,-0.0258708486636533,0.0008296081771104191,-0.0060180088006753785,-0.02746045284903703
21,1,2,435.1,-0.0007746069380630827,0.00593642415620943,-0.023085385976026995,0.0022621233208487412,-0.020623485317839307,-0.02549320902837854
21,2,1,435.1,-0.00024796556068440445,0.0004161689521273715,0.0009396810777902997,0.00017285209557293957,0.005177554093581005,0.0007161951827380775
22,0,1,61.0,0.00047777963484285646,-0.04104394003584533,0.04047627092150724,-0.0030559596060771854,-0.05341515120583584,0.03878628100829318
22,1,3,61.0,0.018664511633714187,0.03928701941676904,0.011388673624725065,0.027328820761433725,0.11142489378690468,0.012570851171372077
22,2,2,61.0,-0.001552493847700176,0.06286615595476708,-0.011340793962253237,0.004422395753951203,0.05819725865587788,-0.011201806997394592
23,0,1,28.8,0.012251017856623303,-0.03756784649286904,-0.0005774158656157158,0.008284120003016815,-0.014403229217094804,0.0031024959300223753
23,1,3,28.8,0.010609993202882584,0.09623096282512744,-0.027391629479038393,0.019032943062143537,-0.03198143221828298,-0.0293530783398252
23,2,2,28.8,0.00421674489381918,0.10238745321566844,-0.03151313994641752,8.601803427887855e-05,0.08802742016499865,-0.03551846704092909
24,0,1,45.3,-0.012029263422803527,-0.0056866386255932655,0.1025301184712451,-0.03270235220240003,0.04676947502130191,0.11943760826092864
24,1,1,45.3,-0.00779369709883071,-0.012471553413945125,0.014341178944780486,-0.006540541779606501,-0.0008021738971986103,0.016759981866966533
24,2,1,45.3,9.296262490987584e-05,0.00015319913065348079,0.045903138250053654,-0.006060778854103721,0.06721215416544446,0.04365647987102422
25,0,3,162.5,-0.0015647652952419655,0.009130897493557666,0.04657763751296784,-0.0032020634062196462,0.05611674391378374,0.05128028131827728
25,1,2,162.5,0.0023961563152142817,0.025691190687470056,0.0505578440229269,-0.0012487941469196961,0.09166925303049189,0.05476339227221688
25,2,1,162.5,0.003159102217898724,0.048191264370694875,0.04956819812925661,-0.004523642362265323,0.0868544938022422,0.05563774751146028
26,0,3,112.7,0.008055818998195519,0.030409709285993403,-0.020646798017022905,0.0029404044883459823,0.014406263271305342,-0.021962848240672628
26,1,1,112.7,0.00030542008169631707,0.04101394846175288,-0.014629690404273754,0.0018203595092668445,0.017070559425661713,-0.01548221133105182
26,2,1,112.7,0.001149727293605407,-0.008974181136845338,-0.00337964811909075,0.0009103030292152425,-0.012496379325594775,-0.003131767479617187
27,0,1,154.3,-0.006085761366133258,-0.03304041940651703,0.03311191043642964,-0.006841049523766296,-0.0070564287502861145,0.033435152989035044
27,1,1,154.3,0.0016204472017810057,0.012609377029269897,-0.018828881817488763,0.003552761998361298,0.015512374105819404,-0.021341880864936547
27,2,3,154.3,-0.005581571052942658,0.028486464938179967,0.024211013236063283,-0.005338438695162484,0.060688634265164465,0.02596720604338698
28,0,3,12.9,0.047528221762936806,0.17790176004842073,-0.06156676319172699,0.027843780792127237,0.0728075385541882,-0.05664660208748834
28,1,2,12.9,0.009992965826140843,0.04967514866924805,-0.1220246801978318,-0.014412742842353832,-0.18919352548826285,-0.12917115813589036
28,2,3,12.9,0.005084204277921334,0.1465675159174028,-0.06089906194856842,-0.0035627964073395857,0.0036004644091343074,-0.05033484828296031
29,0,1,37.6,-0.002705269396658161,-0.07853717014286266,-0.03809777955107385,0.0023669762485679646,-0.17004937719226376,-0.044429009673829345
29,1,1,37.6,-0.002760311123850334,-0.05175694406217546,-7.052971564985855e-05,0.0007865312035714167,-0.0502443490304354,0.0030371456719049394
29,2,1,37.6,0.0017356930767191692,-0.02639926509485857,-0.019182185683455144,-0.0026741620014744116,-0.07765028650610284,-0.01929246960492953
30,0,3,28.0,0.008479119959973969,-0.16188048105450914,-0.11729028028657434,-0.00351813638412124,-0.16172096407539027,-0.1054971898687555
30,1,3,28.0,-0.005727688232067707,-0.05121780993973146,-0.05098183385609201,-0.009974940407494914,-0.12383446807445764,-0.04697278983192893
30,2,3,28.0,-0.00882884636665604,-0.14556753547626367,-0.08798897242883758,0.008174990148920536,-0.16571037671164301,-0.09317353787283039
31,0,1,8.4,0.005615057581843219,-0.12790807381979263,0.003315345701081329,0.0037712457226611873,0.01269684364371959,0.010000941290631504
31,1,1,8.4,0.014225102890036867,0.1542874585178049,-0.03317132003488188,0.012313109736420969,0.11162816684115162,-0.036295373539527165
