method,stratum,brier,ece,slope,auprc,dataset
pooled,all,0.18038898375107978,0.24605358652301004,4.61891952669398,0.8693310178018484,heart-4site
pooled,high_miss,0.18922425463723286,0.27602074563303763,4.536566364053429,0.8237701315990192,heart-4site
pattern,all,0.1355416443461798,0.054874291383891285,1.1312188648544141,0.8593708378560381,heart-4site
pattern,high_miss,0.1522899594116521,0.11819754263873408,0.9997359243801189,0.7978765282885517,heart-4site
pooled,all,0.11581833745128926,0.08260286104822868,1.6825657598776622,0.9418054665262575,heart-4site
pooled,high_miss,0.12537461768125505,0.19418976424370524,1.6062326995989349,0.9131694153310117,heart-4site
pattern,all,0.12826560442234297,0.06518001899139243,1.3086751172075837,0.9136899866109871,heart-4site
pattern,high_miss,0.13572123971829142,0.09758971991494908,1.3365036059690327,0.89270575019447,heart-4site
pooled,all,0.18438606607713529,0.2137425531590561,3.8505847822438115,0.8869646832578051,heart-4site
pooled,high_miss,0.18814281265342314,0.26760649373476075,5.029921137924753,0.8975699777607641,heart-4site
pattern,all,0.1409212518151302,0.04685342617025071,1.020697522917147,0.872139545837331,heart-4site
pattern,high_miss,0.1254863124758183,0.05602195500548159,1.1750796050684302,0.8654995954876863,heart-4site
pooled,all,0.14918574528311074,0.14342185991988057,2.328524781944174,0.9115121022100772,heart-4site
pooled,high_miss,0.15589405743606163,0.1446031792710875,2.33242511284991,0.8438979364372412,heart-4site
pattern,all,0.13415554427225326,0.05535977977632016,1.2578351966453334,0.9160461443369772,heart-4site
pattern,high_miss,0.12178504651849195,0.10319817968346835,1.561937861972613,0.8701938781373681,heart-4site
pooled,all,0.18296101086322117,0.2271168109842696,4.360669325773304,0.9186349957797816,heart-4site
pooled,high_miss,0.18878424489152504,0.23628491516364702,4.118751379933987,0.9058502001413173,heart-4site
pattern,all,0.1383794322527012,0.07044615637404966,1.0068211530931526,0.9146412775930228,heart-4site
pattern,high_miss,0.15023727923684163,0.09994680817029712,0.846886141936156,0.8988678019262413,heart-4site
pooled,all,0.15833804135563065,0.11891487113233022,1.783746863454275,0.8702544515028535,heart-4site
pooled,high_miss,0.167082073640313,0.13888804455437007,1.7787904177449916,0.7841965559207582,heart-4site
pattern,all,0.1484634870040123,0.06492108778555206,0.9805209736919642,0.8622350246017658,heart-4site
pattern,high_miss,0.14260854279421628,0.11818170049710806,0.9822410727740898,0.7936657584019258,heart-4site
pooled,all,0.18310928675147356,0.23128209794917257,4.398735641427907,0.927423572869335,heart-4site
pooled,high_miss,0.1970333042500641,0.2214225877698629,4.058657803834378,0.886817325272959,heart-4site
pattern,all,0.1445550750361089,0.07539079130586032,0.9614421031226075,0.8955042284696347,heart-4site
pattern,high_miss,0.17358338257750672,0.1329337926474645,0.7540310542705189,0.8274120581722385,heart-4site
pooled,all,0.12759885331804668,0.17701932503199871,3.0115697170188085,0.9523407177309037,heart-4site
pooled,high_miss,0.11964960247081405,0.27538724492977545,5.164346908953984,0.9824937235275674,heart-4site
pattern,all,0.1221004444338805,0.07430096055721262,1.227071584030376,0.9296035402166176,heart-4site
pattern,high_miss,0.08740857674343668,0.12198607107363135,2.514937248784658,0.9661938505673444,heart-4site
pooled,all,0.1849046218960769,0.21733372170422105,3.9824794850666083,0.8718238527134996,heart-4site
pooled,high_miss,0.1828805676374033,0.2575100981057588,4.865596045807925,0.9346595045108641,heart-4site
pattern,all,0.13721621764342984,0.07093739092942444,1.0612352056900265,0.8613458659887405,heart-4site
pattern,high_miss,0.12859558668183055,0.11093920308137638,1.2276742174675905,0.9292987805059507,heart-4site
pooled,all,0.17975863940248032,0.24072183348106652,4.884548699005411,0.9117772649054862,heart-4site
pooled,high_miss,0.19186719879895583,0.22117820507011407,4.257923894163406,0.827595648733021,heart-4site
pattern,all,0.12544078957538532,0.0620713285196408,1.5034341122214032,0.9259244958725037,heart-4site
pattern,high_miss,0.15212724249267215,0.09319965192018424,1.18735085632834,0.8526281113977733,heart-4site
pooled,all,0.18573851671774302,0.20966773627555668,3.9261290183518773,0.8928584933117747,heart-4site
pooled,high_miss,0.20417714312339252,0.2215065281579051,3.3488043186621224,0.790329968705588,heart-4site
pattern,all,0.1385396097039785,0.07213369075567362,1.1874484427765273,0.8947303634137493,heart-4site
pattern,high_miss,0.1630470898420493,0.14238789606760616,0.907334620707129,0.78663800065381,heart-4site
pooled,all,0.1749657550819487,0.24781466614406827,5.343535617453955,0.9394314550034278,heart-4site
pooled,high_miss,0.1786465453535183,0.262021531396501,5.405835669793236,0.9275584844200288,heart-4site
pattern,all,0.12331541314171905,0.0606616540917464,1.258246918998362,0.9185255145462436,heart-4site
pattern,high_miss,0.1225238962970871,0.06512218751536501,1.2297695772651756,0.8993199840560437,heart-4site
pooled,all,0.1435584350757329,0.045207746552783784,0.9195467672701237,0.9008950205716231,heart-4site
pooled,high_miss,0.13178445596759414,0.09644146017425372,0.9910786005318893,0.8887192844790951,heart-4site
pattern,all,0.14758588655671104,0.04196251395952809,1.0179791424227844,0.894213060067972,heart-4site
pattern,high_miss,0.1364696222624911,0.1065008169915247,1.1529180743180567,0.8938937377535028,heart-4site
pooled,all,0.1812376379093141,0.23086918062256623,4.7084317622811955,0.8710187291375752,heart-4site
pooled,high_miss,0.18193602096709177,0.3198031187297313,6.65022774797628,0.9254335709089048,heart-4site
pattern,all,0.12500658973177467,0.09155713336095501,1.1894598194236548,0.8584372584426576,heart-4site
pattern,high_miss,0.1137445116337743,0.12560588872406384,1.774597211642192,0.9108746161250614,heart-4site
pooled,all,0.17836061565490632,0.22662656155923866,4.534733295107734,0.931464286259837,heart-4site
pooled,high_miss,0.19720193882696643,0.23886711637516106,4.061415448947492,0.8769584812821061,heart-4site
pattern,all,0.13796822146156407,0.08651928381211034,1.0517383094596655,0.9130657171046177,heart-4site
pattern,high_miss,0.1559252251588707,0.12328113832908281,0.8266057815039818,0.8315747734471204,heart-4site
pooled,all,0.08096231056671509,0.09939113081428527,1.2436602387881701,0.9731478691062246,primary-tumor
pattern,all,0.07430417066379608,0.09962739328081881,1.4346415239334718,0.985911533013621,primary-tumor
pooled,all,0.0983978575386315,0.09471614318961627,1.1229219078044237,0.9563224059532783,primary-tumor
pattern,all,0.11964578986782559,0.07324667007996274,1.2410618503880337,0.9563324394397831,primary-tumor
pooled,all,0.17572110471696675,0.2157608173714183,15.193029119307521,0.9655248914482747,primary-tumor
pattern,all,0.0964487247428611,0.0914987132303132,1.2739964799694574,0.9655616099786386,primary-tumor
pooled,all,0.12489664793339882,0.08149382503353306,0.8067019903056539,0.9395638447941234,primary-tumor
pattern,all,0.1362074576679524,0.08457705141739151,0.8013988608739911,0.9402754416892812,primary-tumor
pooled,all,0.10451901063272573,0.1671391511598442,1.8029809410071733,0.9592484403219176,primary-tumor
pattern,all,0.11440391671763991,0.09256402104437336,1.1247094133473243,0.9566711682304523,primary-tumor
pooled,all,0.14759266240820973,0.11210659447934129,0.631261405442566,0.8964994755145753,primary-tumor
pattern,all,0.15409550322646,0.09829953676428933,0.5993035756731319,0.8966479066879759,primary-tumor
pooled,all,0.0880150875085894,0.09997774482934164,1.1424200185318762,0.9743945835998689,primary-tumor
pattern,all,0.09176077884630328,0.09553961076482059,1.4033075365683478,0.9691739023447392,primary-tumor
pooled,all,0.1050023966278931,0.08319442158668117,0.9677781469667964,0.9601395244716947,primary-tumor
pattern,all,0.1144137312620639,0.06918749712449253,1.119675102564629,0.9600438297160557,primary-tumor
pooled,all,0.0863512714927674,0.0555268653723722,1.1784501289510518,0.9698116320826872,primary-tumor
pattern,all,0.1031208584192153,0.08411281635480976,1.0052943302946284,0.9649100066202074,primary-tumor
pooled,all,0.0840583239141143,0.13794084814740196,3.0274688908190233,0.9916730846992861,primary-tumor
pattern,all,0.08070579929068988,0.07786417436636073,1.8375126827520825,0.9833541608167242,primary-tumor
pooled,all,0.09450621790404508,0.1459134356924482,1.8218376710678577,0.975907497179842,primary-tumor
pattern,all,0.10098290140130015,0.10934929986516834,1.3453914464796761,0.9633791965096398,primary-tumor
pooled,all,0.08551802749534942,0.07661507455255197,0.9102634126038359,0.9848872383071458,primary-tumor
pattern,all,0.0921638383479961,0.04245718646070821,1.0969499327750056,0.9715852812970222,primary-tumor
pooled,all,0.176767190993684,0.21744710881372975,17.460295878518668,0.9567317194882435,primary-tumor
pattern,all,0.1136601672631257,0.0830889636910592,1.2503419837545129,0.9687269616124382,primary-tumor
pooled,all,0.10734991346947187,0.10538695993708178,1.0070461015059673,0.9105757586770495,primary-tumor
pattern,all,0.12883739015924958,0.0869949637607222,0.9775541450903082,0.9392458905306481,primary-tumor
pooled,all,0.12181082798937569,0.09172177941657239,1.1083967994394541,0.956371720395418,primary-tumor
pattern,all,0.10827442348713594,0.1180871521879973,1.4650870058598102,0.9705265232194868,primary-tumor
pooled,all,0.16246313706217136,0.14146942263710888,1.398167591329062,0.9380407689833611,eucalyptus
pattern,all,0.16526700785758922,0.08349118425529455,0.9059106552659649,0.9275650690878632,eucalyptus
pooled,all,0.16125511740321583,0.07880270002964368,1.17713550579622,0.9252325001189559,eucalyptus
pattern,all,0.1607789544321323,0.05002490786661426,1.1412198555267286,0.9235949185924086,eucalyptus
pooled,all,0.1581154659719275,0.10475888913482839,1.6012004662439283,0.931211744089321,eucalyptus
pattern,all,0.1567758420261311,0.06039197176160423,1.0840785294911282,0.9303897052903382,eucalyptus
pooled,all,0.1689853491525587,0.12586607547901202,0.6257286825429936,0.9320489480421643,eucalyptus
pooled,high_miss,0.10231300522979161,0.10782204671635574,1.27517658649062,0.9835697635697636,eucalyptus
pattern,all,0.1529663326185134,0.10715598955491998,1.274826060893266,0.9408665267542625,eucalyptus
pattern,high_miss,0.09055967426848754,0.06955191296261445,1.6101288662356152,0.9868899216725302,eucalyptus
pooled,all,0.15901821415774225,0.15163257093440763,1.9678393154463703,0.9370160676053946,eucalyptus
pattern,all,0.14981817236456071,0.07250382109699782,1.6382267258512262,0.9375156925787189,eucalyptus
pooled,all,0.19031716504926638,0.15082563208028424,0.4082926237800808,0.9060214700806195,eucalyptus
pattern,all,0.18748067864825566,0.10443423202598294,0.6644925068576298,0.903714548470956,eucalyptus
pooled,all,0.15205890094629493,0.13824752468217805,1.8690073763848138,0.948336040375797,eucalyptus
pooled,high_miss,0.032495029843806644,0.09767799634864657,11.79741282578862,0.9999999999999999,eucalyptus
pattern,all,0.14801220867768647,0.10317602463855427,1.313314639399506,0.94307210959352,eucalyptus
pattern,high_miss,0.025042664679289194,0.09220027777847489,11.027711734258501,0.9999999999999999,eucalyptus
pooled,all,0.16504426938683026,0.08796994667256462,1.1092111187507556,0.9186341195188608,eucalyptus
pooled,high_miss,0.08278316940270482,0.10632088641060834,1.316670393934824,0.9888636363636364,eucalyptus
pattern,all,0.15756086449407786,0.08087251642277814,1.308739281351899,0.9281783739258398,eucalyptus
pattern,high_miss,0.07004857662279522,0.0948438851901,4.222328404716354,0.9959575997125404,eucalyptus
pooled,all,0.16258715272469537,0.08863656726084153,1.6464347362112068,0.9292752941153692,eucalyptus
pattern,all,0.1562487452172717,0.11761592045888979,1.2164149161359648,0.9293827693831953,eucalyptus
pooled,all,0.15498856462929594,0.12260152629555233,1.9278363045487161,0.9422345903559348,eucalyptus
pattern,all,0.15927768649654483,0.08124525739473365,1.197994461760977,0.9329297825329366,eucalyptus
pooled,all,0.16833638631037848,0.1290210374777894,1.2846210363043642,0.9202074551800032,eucalyptus
