dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
acs_span_income,1,3,3054,9819,94.8,0.125,0.5,0.6686248021314136,0.6691944407204502,0.6686248021314136,0.6686248021314136,0.6692982475969332,0.6694159489359559,0.6698823354494636,0.6690040997835484,0.6691944407204502,0.6698823354494636,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,3,3054,9819,94.8,0.0,0.25,0.7344440664102831,0.7325833920032874,0.7344440664102831,0.7344440664102831,0.7344440664102831,0.7358065175090992,0.7355858102531766,0.734359273155211,0.7344440664102831,0.7358065175090992,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,3,3054,9819,94.8,0.25,0.0,0.7093700183343655,0.7015529308335876,0.7093700183343655,0.7093700183343655,0.7084675439860286,0.7084675439860286,0.7065892783871681,0.7047255371553667,0.7093700183343655,0.7093700183343655,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,4,3054,35970,94.8,0.125,1.0,0.6686248021314136,0.6748801839703914,0.6686248021314136,0.6686248021314136,0.6696799448069748,0.6708670394030869,0.6725154577245859,0.6742699288581787,0.6748801839703914,0.6748801839703914,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,4,3054,35970,94.8,0.125,0.5,0.7344440664102831,0.7349965102866955,0.7344440664102831,0.7344440664102831,0.7354907387761966,0.7363569241458228,0.7371814475224682,0.7364737027334265,0.7349965102866955,0.7371814475224682,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,4,3054,35970,94.8,0.75,0.375,0.7093700183343655,0.705210784985266,0.7093700183343655,0.705210784985266,0.7074074945364093,0.7093005902741208,0.7092652656172755,0.7074074945364093,0.7093700183343655,0.7095811484868867,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,1,3054,385,94.8,1.0,0.0,0.6686248021314136,0.6679445001077657,0.6686248021314136,0.6679445001077657,0.6679445001077657,0.6681866534629888,0.6676202840928187,0.6680707633764954,0.6686248021314136,0.6686248021314136,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,1,3054,385,94.8,0.125,0.5,0.7344440664102831,0.7347500021729984,0.7344440664102831,0.7347500021729984,0.7344483178485189,0.7347243810749186,0.735315538999791,0.7350311566774572,0.7347500021729984,0.735315538999791,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,1,3054,385,94.8,0.25,0.0,0.7093700183343655,0.7053008776701114,0.7093700183343655,0.7093700183343655,0.7089343784756914,0.7089343784756914,0.7083363553395073,0.7075014486018695,0.7093700183343655,0.7093700183343655,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,3,3054,1571,94.8,0.5,1.0,0.6686248021314136,0.6732616412009138,0.6686248021314136,0.6732616412009138,0.6712217630327354,0.6698903940730752,0.6712217630327354,0.6722427684880692,0.6732616412009138,0.6732616412009138,0.6686248021314136,20.2,0.6686248021314136
