dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
lendingclub,AK,3,60,3096,0.6666666666666666,0.875,1.0,nan,18,-1,0.19496131887436235,0.3467948717948718,0.3467948717948718,0.3467948717948718,0.31179487179487175,0.21162798554102902,0.2848230945256117,0.2993979933110368,0.3467948717948718,0.3467948717948718,nan,nan,0.3467948717948718,12.0,0.3467948717948718
lendingclub,AK,3,60,3096,0.6666666666666666,0.0,1.0,nan,18,-1,0.23525252525252527,0.32984189723320156,0.32984189723320156,0.23525252525252527,0.23525252525252527,0.23504273504273507,0.23393162393162395,0.27062111801242233,0.32984189723320156,0.32984189723320156,nan,nan,0.32984189723320156,12.0,0.32984189723320156
lendingclub,AK,3,60,3096,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.3208931419457735,0.3208931419457735,0.3208931419457735,0.3208931419457735,0.2575814536340852,0.26710526315789473,0.27095238095238094,0.3208931419457735,0.3208931419457735,nan,nan,0.3208931419457735,12.0,0.3208931419457735
lendingclub,AK,3,60,3096,0.6666666666666666,0.125,0.875,nan,18,-1,0.21591575091575094,0.26868131868131867,0.26868131868131867,0.21591575091575094,0.2267094017094017,0.22932378079436902,0.2196687370600414,0.2438095238095238,0.26868131868131867,0.2842640692640693,nan,nan,0.26868131868131867,12.0,0.26868131868131867
lendingclub,AK,3,60,3096,0.6666666666666666,1.0,0.875,nan,18,-1,0.4655203619909502,0.7124999999999999,0.7124999999999999,0.7124999999999999,0.7124999999999999,0.46380952380952384,0.4586921850079745,0.696923076923077,0.7124999999999999,0.7714285714285714,nan,nan,0.7124999999999999,12.0,0.7124999999999999
lendingclub,AK,4,60,7949,0.6666666666666666,1.0,1.0,nan,18,-1,0.19496131887436235,0.35750915750915746,0.35750915750915746,0.35750915750915746,0.35750915750915746,0.21718354109658458,0.23657748049052396,0.2870889894419306,0.35750915750915746,0.35750915750915746,nan,nan,0.35750915750915746,12.0,0.35750915750915746
lendingclub,AK,4,60,7949,0.6666666666666666,0.0,1.0,nan,18,-1,0.23525252525252527,0.2661189535102578,0.2661189535102578,0.23525252525252527,0.23525252525252527,0.23504273504273507,0.23322986954565902,0.23536019536019537,0.2661189535102578,0.2661189535102578,nan,nan,0.2661189535102578,12.0,0.2661189535102578
lendingclub,AK,4,60,7949,0.6666666666666666,0.875,1.0,nan,18,-1,0.2548830409356725,0.37347826086956526,0.37347826086956526,0.37347826086956526,0.3045021645021645,0.2575814536340852,0.2677777777777778,0.27999999999999997,0.37347826086956526,0.37347826086956526,nan,nan,0.37347826086956526,12.0,0.37347826086956526
lendingclub,AK,4,60,7949,0.6666666666666666,0.0,0.875,nan,18,-1,0.21591575091575094,0.28376068376068375,0.28376068376068375,0.21591575091575094,0.21591575091575094,0.23113537499726758,0.2563003663003663,0.26153846153846155,0.28376068376068375,0.28477443609022557,nan,nan,0.28376068376068375,12.0,0.28376068376068375
lendingclub,AK,4,60,7949,0.6666666666666666,1.0,1.0,nan,18,-1,0.4655203619909502,0.6245378151260504,0.6245378151260504,0.6245378151260504,0.6245378151260504,0.4356043956043956,0.4387878787878788,0.48906593406593407,0.6245378151260504,0.6245378151260504,nan,nan,0.6245378151260504,12.0,0.6245378151260504
lendingclub,AK,1,60,816,0.6666666666666666,0.625,1.0,nan,18,-1,0.19496131887436235,0.3704615384615384,0.3704615384615384,0.3704615384615384,0.31465201465201464,0.24848224239528588,0.28179487179487184,0.33179487179487177,0.3704615384615384,0.3704615384615384,nan,nan,0.3704615384615384,12.0,0.3704615384615384
lendingclub,AK,1,60,816,0.6666666666666666,0.0,1.0,nan,18,-1,0.23525252525252527,0.24097402597402595,0.24097402597402595,0.23525252525252527,0.23525252525252527,0.23174603174603176,0.23322986954565902,0.23434343434343435,0.24097402597402595,0.24097402597402595,nan,nan,0.24097402597402595,12.0,0.24097402597402595
lendingclub,AK,1,60,816,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.3125258799171843,0.3125258799171843,0.3125258799171843,0.3125258799171843,0.2772501906941266,0.27783549783549777,0.27783549783549777,0.3125258799171843,0.3125258799171843,nan,nan,0.3125258799171843,12.0,0.3125258799171843
lendingclub,AK,1,60,816,0.6666666666666666,0.0,0.875,nan,18,-1,0.21591575091575094,0.28977591036414563,0.28977591036414563,0.21591575091575094,0.21591575091575094,0.22527616174674997,0.24597402597402596,0.28095238095238095,0.28977591036414563,0.29603174603174603,nan,nan,0.28977591036414563,12.0,0.28977591036414563
lendingclub,AK,1,60,816,0.6666666666666666,0.5,0.75,nan,18,-1,0.4655203619909502,0.6242424242424243,0.6242424242424243,0.6242424242424243,0.5477272727272727,0.49714285714285716,0.5477272727272727,0.6676190476190476,0.6242424242424243,0.6676190476190476,nan,nan,0.6242424242424243,12.0,0.6242424242424243
lendingclub,AK,3,60,795,0.6666666666666666,1.0,1.0,nan,18,-1,0.19496131887436235,0.23545454545454547,0.23545454545454547,0.23545454545454547,0.23545454545454547,0.20765973157277506,0.21718354109658455,0.21006327006327008,0.23545454545454547,0.23545454545454547,nan,nan,0.23545454545454547,12.0,0.23545454545454547
lendingclub,AK,3,60,795,0.6666666666666666,1.0,0.875,nan,18,-1,0.23525252525252527,0.2355118411000764,0.2355118411000764,0.2355118411000764,0.2355118411000764,0.23525252525252527,0.22854922854922857,0.2237873237873238,0.2355118411000764,0.23908326967150498,nan,nan,0.2355118411000764,12.0,0.2355118411000764
lendingclub,AK,3,60,795,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.35930402930402927,0.35930402930402927,0.35930402930402927,0.35930402930402927,0.257041847041847,0.2708855472013366,0.2929761904761905,0.35930402930402927,0.35930402930402927,nan,nan,0.35930402930402927,12.0,0.35930402930402927
lendingclub,AK,3,60,795,0.6666666666666666,0.0,1.0,nan,18,-1,0.21591575091575094,0.23327561327561327,0.23327561327561327,0.21591575091575094,0.21591575091575094,0.22821733821733822,0.22825910931174093,0.22779475426534246,0.23327561327561327,0.23327561327561327,nan,nan,0.23327561327561327,12.0,0.23327561327561327
lendingclub,AK,3,60,795,0.6666666666666666,0.625,0.0,nan,18,-1,0.4655203619909502,0.3965367965367965,0.3965367965367965,0.4655203619909502,0.31869218500797447,0.3628571428571429,0.3368115942028985,0.37510822510822506,0.4655203619909502,0.4655203619909502,nan,nan,0.3965367965367965,12.0,0.3965367965367965
lendingclub,AK,4,60,2271,0.6666666666666666,1.0,0.875,nan,18,-1,0.19496131887436235,0.3917948717948717,0.3917948717948717,0.3917948717948717,0.3917948717948717,0.21848224239528588,0.286577480490524,0.31179487179487175,0.3917948717948717,0.3917948717948717,nan,nan,0.3917948717948717,12.0,0.3917948717948717
lendingclub,AK,4,60,2271,0.6666666666666666,0.0,1.0,nan,18,-1,0.23525252525252527,0.2982750582750583,0.2982750582750583,0.23525252525252527,0.23525252525252527,0.2388888888888889,0.22878542510121458,0.2394871794871795,0.2982750582750583,0.2982750582750583,nan,nan,0.2982750582750583,12.0,0.2982750582750583
lendingclub,AK,4,60,2271,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.39682539682539686,0.39682539682539686,0.39682539682539686,0.39682539682539686,0.2575814536340852,0.28227994227994224,0.2920713548577325,0.39682539682539686,0.39682539682539686,nan,nan,0.39682539682539686,12.0,0.39682539682539686
lendingclub,AK,4,60,2271,0.6666666666666666,0.0,1.0,nan,18,-1,0.21591575091575094,0.3352272727272727,0.3352272727272727,0.21591575091575094,0.21591575091575094,0.24155067155067156,0.2519047619047619,0.30439393939393944,0.3352272727272727,0.3352272727272727,nan,nan,0.3352272727272727,12.0,0.3352272727272727
lendingclub,AK,4,60,2271,0.6666666666666666,1.0,0.875,nan,18,-1,0.4655203619909502,0.6385281385281385,0.6385281385281385,0.6385281385281385,0.6385281385281385,0.47214285714285714,0.47783549783549784,0.5942857142857143,0.6385281385281385,0.6453968253968254,nan,nan,0.6385281385281385,12.0,0.6385281385281385
lendingclub,AK,1,60,298,0.6666666666666666,0.625,0.875,nan,18,-1,0.19496131887436235,0.45379487179487177,0.45379487179487177,0.19496131887436235,0.3537948717948718,0.24846153846153846,0.30708898944193064,0.42379487179487174,0.45379487179487177,0.45379487179487177,nan,nan,0.45379487179487177,12.0,0.45379487179487177
lendingclub,AK,1,60,298,0.6666666666666666,0.0,0.0,nan,18,-1,0.23525252525252527,0.2314918414918415,0.2314918414918415,0.23525252525252527,0.23525252525252527,0.22545209176788125,0.216245742561532,0.20083638583638583,0.23525252525252527,0.23525252525252527,nan,nan,0.2314918414918415,12.0,0.2314918414918415
lendingclub,AK,1,60,298,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.23476190476190475,0.26720612720612724,0.26284249084249084,0.2754615384615384,0.2754615384615384,nan,nan,0.2754615384615384,12.0,0.2754615384615384
lendingclub,AK,1,60,298,0.6666666666666666,0.125,1.0,nan,18,-1,0.21591575091575094,0.3222222222222222,0.3222222222222222,0.21591575091575094,0.22407655146785582,0.23875124875124878,0.25417915417915415,0.3020255183413078,0.3222222222222222,0.3222222222222222,nan,nan,0.3222222222222222,12.0,0.3222222222222222
lendingclub,AK,1,60,298,0.6666666666666666,0.5,0.875,nan,18,-1,0.4655203619909502,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5030112044817927,0.4620588235294118,0.5030112044817927,0.4696503496503496,0.5383333333333333,0.5833333333333333,nan,nan,0.5383333333333333,12.0,0.5383333333333333
lendingclub,AK,2,60,1921,0.6666666666666666,0.875,1.0,nan,18,-1,0.19496131887436235,0.4157142857142857,0.4157142857142857,0.4157142857142857,0.32824016563146996,0.21718354109658455,0.23657748049052396,0.29482517482517484,0.4157142857142857,0.4157142857142857,nan,nan,0.4157142857142857,12.0,0.4157142857142857
lendingclub,AK,2,60,1921,0.6666666666666666,1.0,1.0,nan,18,-1,0.23525252525252527,0.2578860752773796,0.2578860752773796,0.2578860752773796,0.2578860752773796,0.2388888888888889,0.23329670329670332,0.23319569319569322,0.2578860752773796,0.2578860752773796,nan,nan,0.2578860752773796,12.0,0.2578860752773796
lendingclub,AK,2,60,1921,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.2978354978354978,0.2978354978354978,0.2978354978354978,0.2978354978354978,0.25091478696741853,0.2777777777777778,0.29291803677992934,0.2978354978354978,0.2978354978354978,nan,nan,0.2978354978354978,12.0,0.2978354978354978
lendingclub,AK,2,60,1921,0.6666666666666666,0.0,1.0,nan,18,-1,0.21591575091575094,0.2898934398934399,0.2898934398934399,0.21591575091575094,0.21591575091575094,0.23236714975845413,0.24714285714285716,0.25047619047619046,0.2898934398934399,0.2898934398934399,nan,nan,0.2898934398934399,12.0,0.2898934398934399
lendingclub,AK,2,60,1921,0.6666666666666666,0.5,1.0,nan,18,-1,0.4655203619909502,0.5704365079365079,0.5704365079365079,0.4655203619909502,0.4688311688311688,0.4438095238095238,0.4688311688311688,0.47523809523809524,0.5704365079365079,0.5704365079365079,nan,nan,0.5704365079365079,12.0,0.5704365079365079
lendingclub,AK,3,60,2110,0.6666666666666666,0.875,1.0,nan,18,-1,0.19496131887436235,0.2805668016194332,0.2805668016194332,0.2805668016194332,0.2694139194139194,0.19496131887436235,0.22432639823944173,0.2752049314709161,0.2805668016194332,0.2805668016194332,nan,nan,0.2805668016194332,12.0,0.2805668016194332
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,0.875,nan,18,-1,0.23525252525252527,0.26454545454545453,0.26454545454545453,0.26454545454545453,0.26454545454545453,0.2388888888888889,0.24329670329670333,0.2494871794871795,0.26454545454545453,0.266031746031746,nan,nan,0.26454545454545453,12.0,0.26454545454545453
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.3524891774891774,0.3524891774891774,0.3524891774891774,0.3524891774891774,0.25325396825396823,0.2708855472013366,0.31153846153846154,0.3524891774891774,0.3524891774891774,nan,nan,0.3524891774891774,12.0,0.3524891774891774
lendingclub,AK,3,60,2110,0.6666666666666666,0.125,0.375,nan,18,-1,0.21591575091575094,0.21014906146485093,0.21014906146485093,0.21591575091575094,0.21418414918414921,0.2181010065449425,0.22321266968325792,0.21848739495798317,0.21591575091575094,0.2258781569307885,nan,nan,0.21014906146485093,12.0,0.21014906146485093
lendingclub,AK,3,60,2110,0.6666666666666666,0.5,1.0,nan,18,-1,0.4655203619909502,0.6065508021390374,0.6065508021390374,0.4655203619909502,0.33095238095238094,0.3438095238095238,0.33095238095238094,0.40965034965034963,0.6065508021390374,0.6065508021390374,nan,nan,0.6065508021390374,12.0,0.6065508021390374
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,1.0,nan,18,-1,0.19496131887436235,0.35155677655677653,0.35155677655677653,0.35155677655677653,0.35155677655677653,0.20051687442991792,0.2499108138238573,0.25741081382385733,0.35155677655677653,0.35155677655677653,nan,nan,0.35155677655677653,12.0,0.35155677655677653
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,1.0,nan,18,-1,0.23525252525252527,0.28258145363408516,0.28258145363408516,0.28258145363408516,0.28258145363408516,0.2388522588522589,0.23333333333333334,0.24206349206349206,0.28258145363408516,0.28258145363408516,nan,nan,0.28258145363408516,12.0,0.28258145363408516
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,1.0,nan,18,-1,0.2548830409356725,0.29553708439897697,0.29553708439897697,0.29553708439897697,0.29553708439897697,0.260438596491228,0.25277777777777777,0.25277777777777777,0.29553708439897697,0.29553708439897697,nan,nan,0.29553708439897697,12.0,0.29553708439897697
lendingclub,AK,3,60,1534,0.6666666666666666,0.0,1.0,nan,18,-1,0.21591575091575094,0.29261904761904756,0.29261904761904756,0.21591575091575094,0.21591575091575094,0.23055555555555557,0.23681159420289857,0.25645021645021643,0.29261904761904756,0.29261904761904756,nan,nan,0.29261904761904756,12.0,0.29261904761904756
lendingclub,AK,3,60,1534,0.6666666666666666,0.875,0.0,nan,18,-1,0.4655203619909502,0.41095238095238096,0.41095238095238096,0.4655203619909502,0.4225,0.45060439560439564,0.3316883116883117,0.37936507936507935,0.4655203619909502,0.4655203619909502,nan,nan,0.41095238095238096,12.0,0.41095238095238096
lendingclub,AK,1,60,317,0.6666666666666666,0.875,1.0,nan,18,-1,0.19496131887436235,0.3017948717948718,0.3017948717948718,0.3017948717948718,0.2892948717948718,0.21162798554102902,0.2256043956043956,0.2892948717948718,0.3017948717948718,0.3017948717948718,nan,nan,0.3017948717948718,12.0,0.3017948717948718
lendingclub,AK,1,60,317,0.6666666666666666,0.0,1.0,nan,18,-1,0.23525252525252527,0.2438095238095238,0.2438095238095238,0.23525252525252527,0.23525252525252527,0.23504273504273507,0.2315032679738562,0.2398989898989899,0.2438095238095238,0.2438095238095238,nan,nan,0.2438095238095238,12.0,0.2438095238095238
