dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_pfedme_personal,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.0,1.0,0.0,0.625,nan,27,-1,0.33920629283910225,0.35740170786045283,0.33920629283910225,0.33920629283910225,0.33920629283910225,0.3431275956464835,0.3495741100513238,0.35340773589255164,0.35740170786045283,0.35740170786045283,nan,0.33920629283910225,0.35505820534317895,0.35740170786045283,0.35740170786045283,nan,0.3641904707346203,0.35793405576116544,0.3470771117215673,nan,nan,nan,0.33920629283910225,0.0,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,1.0,1.0,0.625,0.5,nan,27,-1,0.37122406614840175,0.40288862869607167,0.37122406614840175,0.40288862869607167,0.40288862869607167,0.3794276385361082,0.3875592468204239,0.3973960270091814,0.40288862869607167,0.40288862869607167,nan,0.39449272197628554,0.3875592468204239,0.40288862869607167,0.40288862869607167,nan,0.40864474243204907,0.4078515194960821,0.4084661113691873,nan,nan,nan,0.37122406614840175,0.0,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,1.0,0.25,0.875,1.0,nan,27,-1,0.385947497421666,0.3813361680298425,0.385947497421666,0.3813361680298425,0.3813361680298425,0.3897253926231262,0.38807810689662836,0.3843108696205757,0.385947497421666,0.3897253926231262,nan,0.3825329260901249,0.3813361680298425,0.3897253926231262,0.3897253926231262,nan,0.4019694327459271,0.3994637433849919,0.394727895728205,nan,nan,nan,0.385947497421666,0.0,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,1.0,0.875,0.875,1.0,nan,27,-1,0.3691527082720559,0.3768501820754597,0.3691527082720559,0.3768501820754597,0.3768501820754597,0.3738006343533145,0.3754052837681633,0.37650135765822956,0.3768501820754597,0.37740691873108084,nan,0.37740691873108084,0.3768501820754597,0.37763011512130734,0.37763011512130734,nan,0.39364313184102895,0.36781218862894316,0.38536591505969453,nan,nan,nan,0.3691527082720559,0.0,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.875,1.0,0.625,1.0,nan,27,-1,0.3712891493331875,0.3922374333031134,0.3712891493331875,0.3922374333031134,0.3919794345184944,0.3786174382142453,0.38747000475572485,0.39126191010115713,0.3922374333031134,0.3922374333031134,nan,0.38958577088741736,0.3922374333031134,0.39229524939056315,0.39229524939056315,nan,0.40677010439526595,0.39871987799276326,0.4063960799756918,nan,nan,nan,0.3712891493331875,0.0,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.625,0.625,0.25,0.75,nan,27,-1,0.33920629283910225,0.3523358123248571,0.33920629283910225,0.33920629283910225,0.3537725651103212,0.3442374207846279,0.35294574954697455,0.3524535061877849,0.3523358123248571,0.3537725651103212,nan,0.3442374207846279,0.3524535061877849,0.3537725651103212,0.3537725651103212,nan,0.36711728109193636,0.3469830462679948,0.36233975414943254,nan,nan,nan,0.33920629283910225,0.0,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.625,0.875,0.5,0.375,nan,27,-1,0.37122406614840175,0.40159837032927415,0.37122406614840175,0.40159837032927415,0.39526950743350037,0.38155339177860653,0.391645528507029,0.39928128302906707,0.40159837032927415,0.40166802071499724,nan,0.391645528507029,0.38656620741286374,0.40166802071499724,0.40166802071499724,nan,0.4033790756286235,0.39974182079145587,0.39270190422221857,nan,nan,nan,0.37122406614840175,0.0,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,1.0,0.25,0.75,0.375,nan,27,-1,0.385947497421666,0.366695759882943,0.385947497421666,0.366695759882943,0.366695759882943,0.3880030600799147,0.3815087120372008,0.37700525922739375,0.385947497421666,0.3880030600799147,nan,0.37700525922739375,0.3866830916251312,0.3880030600799147,0.3880030600799147,nan,0.40171283757958487,0.40171283757958487,0.3799544897664319,nan,nan,nan,0.385947497421666,0.0,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.5,0.75,0.5,0.625,nan,27,-1,0.3691527082720559,0.38057303430976464,0.3691527082720559,0.38057303430976464,0.38051303573342965,0.37665236104072475,0.38051303573342965,0.38307139824959235,0.38057303430976464,0.38307139824959235,nan,0.38051303573342965,0.38260331796954433,0.38307139824959235,0.38307139824959235,nan,0.3967978271944437,0.36647191467844575,0.3827711078999134,nan,nan,nan,0.3691527082720559,0.0,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,1.0,0.5,0.75,0.875,nan,27,-1,0.3712891493331875,0.3683053438399773,0.3712891493331875,0.3683053438399773,0.3683053438399773,0.3715376663897263,0.3758711513841648,0.3717609846774539,0.3712891493331875,0.3758711513841648,nan,0.3717609846774539,0.3712763320569719,0.3758711513841648,0.3758711513841648,nan,0.39141062115333186,0.38269847597715945,0.3867711836594491,nan,nan,nan,0.3712891493331875,0.0,0.3712891493331875
