dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
acs_ladder_10000,1,3,11655,31508,361.9,0.0,0.0,0.7102311012538773,0.7053912108073238,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.7099556030981437,0.7089364135553307,0.7073429174649558,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,3,11655,31508,361.9,0.125,0.125,0.6953139117085291,0.6922976091133961,0.6953139117085291,0.6953139117085291,0.6955001076123953,0.6953468375989571,0.6950226931487631,0.6939410591065337,0.6953139117085291,0.6955001076123953,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,3,11655,31508,361.9,0.0,0.0,0.7130311275182761,0.7065703372059167,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.7119744528557612,0.7107387622350496,0.7090214121632307,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,4,11655,87435,361.9,0.125,0.25,0.7102311012538773,0.7088114036712884,0.7102311012538773,0.7102311012538773,0.7104903824526828,0.7106680869921065,0.7103941505751732,0.7098101079992641,0.7102311012538773,0.7106680869921065,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,4,11655,87435,361.9,0.375,0.625,0.6953139117085291,0.6963206799889764,0.6953139117085291,0.6953139117085291,0.6965493723648609,0.6961674571918579,0.6966898172698188,0.6966831742519292,0.6963206799889764,0.6967915391265915,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,4,11655,87435,361.9,0.375,0.125,0.7130311275182761,0.7115123858161648,0.7130311275182761,0.7130311275182761,0.7130932230491602,0.7131416927622949,0.7128797304561992,0.7125088766237416,0.7130311275182761,0.7131622100203092,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,1,11655,4713,361.9,0.375,0.5,0.7102311012538773,0.7102153402079776,0.7102311012538773,0.7102311012538773,0.7105472587387601,0.7104488848582939,0.7105486864429589,0.7104780009597235,0.7102311012538773,0.7105486864429589,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,1,11655,4713,361.9,0.5,1.0,0.6953139117085291,0.6971208816875315,0.6953139117085291,0.6971208816875315,0.6962724229275223,0.6958833194889187,0.6962724229275223,0.6969033701254103,0.6971208816875315,0.6971208816875315,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,1,11655,4713,361.9,0.625,0.25,0.7130311275182761,0.7129101751195117,0.7130311275182761,0.7129101751195117,0.7130761773423712,0.7132142361979051,0.7131542240778984,0.713072365980916,0.7130311275182761,0.7132142361979051,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,3,11655,105955,361.9,0.0,0.125,0.7102311012538773,0.705539108869216,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.7100454277013151,0.7088954891378723,0.7075843200536034,0.7102311012538773,0.7102314459817132,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,3,11655,105955,361.9,0.25,0.25,0.6953139117085291,0.6932546762100722,0.6953139117085291,0.6953139117085291,0.6957317727378016,0.6957317727378016,0.6953984819396205,0.6944770223547423,0.6953139117085291,0.6957317727378016,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,3,11655,105955,361.9,0.0,0.0,0.7130311275182761,0.7079514920470017,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.7123799653144093,0.7114673783040867,0.7100556648989094,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,4,11655,37996,361.9,0.375,0.5,0.7102311012538773,0.7098812526170166,0.7102311012538773,0.7102311012538773,0.710651393055777,0.7105473224930546,0.7107065120440353,0.7102586845748698,0.7102311012538773,0.7107065120440353,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,4,11655,37996,361.9,0.75,0.875,0.6953139117085291,0.6969976797548619,0.6953139117085291,0.6969976797548619,0.69694025649576,0.6959316612758342,0.6964310297977151,0.69694025649576,0.6969976797548619,0.697075829317422,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,4,11655,37996,361.9,0.375,0.25,0.7130311275182761,0.7125383056580845,0.7130311275182761,0.7130311275182761,0.71313481465998,0.713285978416886,0.7130804693524173,0.7128399137679755,0.7130311275182761,0.713285978416886,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,1,11655,11775,361.9,1.0,1.0,0.7102311012538773,0.7126392704135344,0.7102311012538773,0.7126392704135344,0.7126392704135344,0.711298484209509,0.7120379136390825,0.7124669607649772,0.7126392704135344,0.7126392704135344,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,1,11655,11775,361.9,0.75,1.0,0.6953139117085291,0.6981705142500975,0.6953139117085291,0.6981705142500975,0.6977859212441194,0.6963592737579231,0.6970546741835261,0.6977859212441194,0.6981705142500975,0.6981705142500975,0.6953139117085291,0.0,0.6953139117085291
