dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_pfedme_personal,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.875,0.0,0.875,nan,27,-1,0.33920629283910225,0.34753654172390513,0.33920629283910225,0.33920629283910225,0.3452723612092806,0.34159170879862927,0.3452723612092806,0.3478575224030802,0.34753654172390513,0.3489940870945462,nan,0.33920629283910225,0.3489940870945462,0.3489940870945462,0.3489940870945462,0.3444642179609435,0.36070153008782235,0.34779275761493217,0.35500098455304585,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.875,1.0,0.5,0.375,nan,27,-1,0.37122406614840175,0.3933113038559336,0.37122406614840175,0.3933113038559336,0.39270442391908106,0.3759705779137308,0.3832744709757899,0.3913194325160521,0.3933113038559336,0.3933113038559336,nan,0.3832744709757899,0.37750555087746585,0.3933113038559336,0.3933113038559336,0.3879226966851512,0.4001681215427901,0.39714642419792356,0.3982740533909546,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.25,0.125,0.75,nan,27,-1,0.385947497421666,0.3778357826403573,0.385947497421666,0.385947497421666,0.39073543353683665,0.39073543353683665,0.38935944105338055,0.38582394845753587,0.385947497421666,0.39073543353683665,nan,0.3883990213353432,0.38582394845753587,0.39073543353683665,0.39073543353683665,0.379958755027209,0.4006507428994264,0.3980845580333748,0.4001308731218305,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.625,0.5,0.5,0.625,nan,27,-1,0.3691527082720559,0.37026837138458757,0.3691527082720559,0.37026837138458757,0.37276783582376155,0.3705480010686776,0.37430884571418427,0.37388347171541847,0.37026837138458757,0.37430884571418427,nan,0.37430884571418427,0.37276783582376155,0.37430884571418427,0.37430884571418427,0.37230087186513516,0.3895841171751374,0.3641415619614051,0.3761966588079089,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.875,0.625,0.875,nan,27,-1,0.3712891493331875,0.3895514751323024,0.3712891493331875,0.3895514751323024,0.390234070745874,0.3765716323819284,0.3844231809717418,0.390234070745874,0.3895514751323024,0.39270110868088925,nan,0.3870897442588897,0.39270110868088925,0.39270110868088925,0.39270110868088925,0.39368049602115673,0.40458097537960136,0.4014825372116665,0.40051051814183436,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.375,0.875,0.375,0.625,nan,27,-1,0.33920629283910225,0.34543532160666524,0.33920629283910225,0.33920629283910225,0.34365985028934687,0.34328064785962903,0.34630189168034664,0.34923263313674074,0.34543532160666524,0.3523756934292325,nan,0.34365985028934687,0.34948250811534187,0.3523756934292325,0.3523756934292325,0.34829858519440093,0.36492027474680055,0.34016731794997807,0.35294511839096643,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.75,0.875,0.625,0.375,nan,27,-1,0.37122406614840175,0.39244429991926927,0.37122406614840175,0.39244429991926927,0.3966775424481223,0.3780298902373262,0.38790887342541136,0.3966775424481223,0.39244429991926927,0.39773664814303206,nan,0.3934074418141689,0.3820711114916957,0.39773664814303206,0.39773664814303206,0.39384212697815696,0.40094808943561117,0.39901771952185694,0.4000599416458135,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.125,0.25,0.0,0.625,nan,27,-1,0.385947497421666,0.3739330084545608,0.385947497421666,0.385947497421666,0.3872702536855698,0.38984161960548896,0.38818590210475906,0.38255617231517863,0.385947497421666,0.38984161960548896,nan,0.385947497421666,0.3883139861522448,0.38984161960548896,0.38984161960548896,0.37902290327902993,0.4024303526880466,0.3977059577667682,0.3989614038819297,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.5,0.875,0.5,0.625,nan,27,-1,0.3691527082720559,0.3748568977981553,0.3691527082720559,0.3691527082720559,0.3763985430686767,0.37252384690210444,0.3763985430686767,0.37751403296302205,0.3748568977981553,0.37868516269064095,nan,0.3763985430686767,0.37841589822564176,0.37868516269064095,0.37868516269064095,0.37746907835946275,0.39238092006922265,0.3637395674665586,0.3793184496564437,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,1.0,0.75,0.875,0.625,nan,27,-1,0.3712891493331875,0.37754896550211964,0.3712891493331875,0.37754896550211964,0.37754896550211964,0.3750918176356145,0.3805637791750567,0.38322592415599666,0.37754896550211964,0.38322592415599666,nan,0.3828251965331238,0.38243291225113835,0.38322592415599666,0.38322592415599666,0.3837295347037406,0.39754407449258533,0.3919760773611972,0.39251698762806886,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
