dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_pfedme_personal,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.875,0.0,0.875,nan,27,-1,0.33920629283910225,0.347343669027751,0.33920629283910225,0.33920629283910225,0.34231348181276533,0.34231348181276533,0.34620662971972493,0.3490159829026978,0.347343669027751,0.35017479536558366,nan,0.33920629283910225,0.35017479536558366,0.35017479536558366,0.35017479536558366,0.34710611296523913,0.3578999708738536,0.350246181689819,0.35043536090991656,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.625,1.0,0.5,0.375,nan,27,-1,0.37122406614840175,0.3963323950213006,0.37122406614840175,0.3963323950213006,0.3866971561920001,0.3764947142367423,0.38394258834548733,0.3941151182632643,0.3963323950213006,0.3963323950213006,nan,0.38394258834548733,0.3786406855258746,0.3963323950213006,0.3963323950213006,0.3948332757040933,0.4010810927542061,0.3996165843355862,0.38910816351998573,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.875,0.25,0.875,0.875,nan,27,-1,0.385947497421666,0.38283886074331724,0.385947497421666,0.38283886074331724,0.38567664247392386,0.391198424671739,0.38901737439852335,0.38590618514299624,0.385947497421666,0.391198424671739,nan,0.38567664247392386,0.38567664247392386,0.391198424671739,0.391198424671739,0.3829968198516385,0.4011236743122868,0.3983069666318091,0.39613461144625695,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.875,0.875,0.625,0.625,nan,27,-1,0.3691527082720559,0.37404383789621115,0.3691527082720559,0.37404383789621115,0.3757778672257044,0.3709377691196929,0.37489495656886235,0.3745801865924717,0.37404383789621115,0.3757778672257044,nan,0.3732328819097685,0.3732328819097685,0.3757778672257044,0.3757778672257044,0.3739263232145958,0.3916347207216222,0.3635611527607867,0.380658946400248,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.875,0.625,0.875,nan,27,-1,0.3712891493331875,0.3895514751323024,0.3712891493331875,0.3895514751323024,0.390234070745874,0.3765716323819284,0.3844231809717418,0.390234070745874,0.3895514751323024,0.39270110868088925,nan,0.3870897442588897,0.39270110868088925,0.39270110868088925,0.39270110868088925,0.39368049602115673,0.40458097537960136,0.4014825372116665,0.40051051814183436,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.5,0.875,0.125,0.625,nan,27,-1,0.33920629283910225,0.34863786180163703,0.33920629283910225,0.33920629283910225,0.347685109520568,0.34281433036011816,0.347685109520568,0.3509904286796261,0.34863786180163703,0.3534429227805611,nan,0.3416546107639158,0.3501463868852917,0.3534429227805611,0.3534429227805611,0.3493465798014795,0.3663537700253096,0.3425981407182829,0.3556026100627042,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.75,0.75,0.625,0.375,nan,27,-1,0.37122406614840175,0.3962350134878856,0.37122406614840175,0.3962350134878856,0.3988724227008218,0.37918096783660327,0.3899671480128649,0.3988724227008218,0.3962350134878856,0.3988724227008218,nan,0.39645947147667,0.3831424509570372,0.3988724227008218,0.3988724227008218,0.39577012195492284,0.40235971652997543,0.39790538135044634,0.4004431781602067,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.125,0.25,0.0,0.625,nan,27,-1,0.385947497421666,0.3758104824704872,0.385947497421666,0.385947497421666,0.38716951986925896,0.38969125863786513,0.3880137422212577,0.3819813894968911,0.385947497421666,0.38969125863786513,nan,0.385947497421666,0.3849215228507922,0.38969125863786513,0.38969125863786513,0.37756992176165394,0.40256115416846705,0.39753381929838516,0.39863096067097187,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.5,0.875,0.5,0.625,nan,27,-1,0.3691527082720559,0.3761141919347595,0.3691527082720559,0.3691527082720559,0.3771030533653127,0.37348369355623745,0.3771030533653127,0.3799173215638555,0.3761141919347595,0.380683031973452,nan,0.3771030533653127,0.38005703608926134,0.380683031973452,0.380683031973452,0.37545061822339,0.39411627955242234,0.3653957478504514,0.37980842053200087,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.625,0.75,0.625,0.625,nan,27,-1,0.3712891493331875,0.3790180476079594,0.3712891493331875,0.3790180476079594,0.3821294475424333,0.37519158945279846,0.38044970170446557,0.38345362185170084,0.3790180476079594,0.38345362185170084,nan,0.3821294475424333,0.3821294475424333,0.38345362185170084,0.38345362185170084,0.37906154221144833,0.3987016889945011,0.3901590661814701,0.39293281877588254,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.375,0.5,0.0,0.375,nan,27,-1,0.33920629283910225,0.32693933967928906,0.33920629283910225,0.33920629283910225,0.33934207954443335,0.34186076738655424,0.3429121954109469,0.3403956989760841,0.33920629283910225,0.3429121954109469,nan,0.33920629283910225,0.33934207954443335,0.3429121954109469,0.3429121954109469,0.32957917107665524,0.3551633378975152,0.3448578370978741,0.34815860102022866,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.375,0.625,0.25,0.25,nan,27,-1,0.37122406614840175,0.35397524736212044,0.37122406614840175,0.37122406614840175,0.37388993207589477,0.3720978829797544,0.3748669358491927,0.37180653474928227,0.37122406614840175,0.37520201511329476,nan,0.3720978829797544,0.3720978829797544,0.37520201511329476,0.37520201511329476,0.35284743262292473,0.3845007697860195,0.37434990509254706,0.3802794400900585,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.125,0.125,0.0,0.5,nan,27,-1,0.385947497421666,0.36559479598775174,0.385947497421666,0.385947497421666,0.38889594915920483,0.38612063040097316,0.3836418965309102,0.38185697340044084,0.385947497421666,0.38889594915920483,nan,0.385947497421666,0.3836418965309102,0.38889594915920483,0.38889594915920483,0.3657946018083774,0.40025359815432526,0.3985382786201229,0.40018744896347747,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.5,0.0,0.25,0.75,nan,27,-1,0.3691527082720559,0.34969431627407843,0.3691527082720559,0.3691527082720559,0.3655596256198896,0.36841015158018586,0.3655596256198896,0.36331390429621957,0.3691527082720559,0.3691527082720559,nan,0.36841015158018586,0.36331390429621957,0.3691527082720559,0.3691527082720559,0.34903516768762544,0.3731823634244904,0.3647052431797143,0.3683726385694598,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.375,0.625,0.25,0.5,nan,27,-1,0.3712891493331875,0.379909091849929,0.3712891493331875,0.3712891493331875,0.3811809557919792,0.3772159021861659,0.38469298171089283,0.3877027921476768,0.379909091849929,0.38838960763266867,nan,0.3772159021861659,0.38469298171089283,0.38838960763266867,0.38838960763266867,0.38314738697815637,0.40339441535182485,0.3982718287750263,0.3915524554415398,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.375,0.5,0.125,0.25,nan,27,-1,0.33920629283910225,0.3401547894979712,0.33920629283910225,0.33920629283910225,0.34251247174256955,0.3415999882768525,0.3463450965164645,0.3461221074720205,0.3401547894979712,0.3463450965164645,nan,0.3402859393734137,0.3415999882768525,0.3463450965164645,0.3463450965164645,0.3400485899889195,0.35986016247651276,0.3399933731836453,0.3543824559195305,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.375,0.375,0.25,0.125,nan,27,-1,0.37122406614840175,0.34843980871598934,0.37122406614840175,0.37122406614840175,0.3731062447672796,0.3715626215546995,0.3708161848051838,0.36866000754473566,0.37122406614840175,0.3731062447672796,nan,0.3715626215546995,0.3713223240227141,0.3731062447672796,0.3731062447672796,0.3488828238322812,0.3811480665344764,0.37851720689826474,0.37918352183316006,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.0,0.625,0.0,0.375,nan,27,-1,0.385947497421666,0.38487550434296175,0.385947497421666,0.385947497421666,0.385947497421666,0.390163498900013,0.39573482069431193,0.3953515909198552,0.385947497421666,0.3974777391860948,nan,0.385947497421666,0.39239804187649446,0.3974777391860948,0.3974777391860948,0.3841615238092234,0.4059722935165858,0.4059722935165858,0.3986044278109707,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.125,0.75,0.0,0.375,nan,27,-1,0.3691527082720559,0.3649275842533736,0.3691527082720559,0.3691527082720559,0.3694479251015584,0.37134511984627433,0.3758654743596517,0.37626673993141113,0.3691527082720559,0.37626673993141113,nan,0.3691527082720559,0.3728126772420156,0.37626673993141113,0.37626673993141113,0.364012567327632,0.3804212460757439,0.36262914142736635,0.3717628544389326,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.625,0.75,0.375,0.5,nan,27,-1,0.3712891493331875,0.3840509637406069,0.3712891493331875,0.3712891493331875,0.3878042336910724,0.3774635495169442,0.38558496129574693,0.3886316191455691,0.3840509637406069,0.3886316191455691,nan,0.38210722347219245,0.38558496129574693,0.3886316191455691,0.3886316191455691,0.38385835851816014,0.4001011023791888,0.4001011023791888,0.39616073740854635,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,0.5,0.625,0.5,0.5,nan,27,-1,0.33920629283910225,0.34458319781932056,0.33920629283910225,0.33920629283910225,0.3486993168182654,0.3429149442727069,0.3486993168182654,0.35157440286246605,0.34458319781932056,0.3528520198524067,nan,0.3486993168182654,0.3486993168182654,0.3528520198524067,0.3528520198524067,0.34430041244742404,0.36697081856321945,0.3409723177418248,0.3583510507442019,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,0.375,0.75,0.375,0.375,nan,27,-1,0.37122406614840175,0.3907319358498485,0.37122406614840175,0.37122406614840175,0.38092683513533876,0.37808116227473604,0.38605525908378224,0.397392112542176,0.3907319358498485,0.397392112542176,nan,0.38092683513533876,0.38092683513533876,0.397392112542176,0.397392112542176,0.393463905228321,0.4008455347400455,0.3964812608456866,0.3850112692580695,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,0.0,0.375,0.0,0.625,nan,27,-1,0.385947497421666,0.3690457836867721,0.385947497421666,0.385947497421666,0.385947497421666,0.3869183182105871,0.38789549738534806,0.3808444640370549,0.385947497421666,0.38974979563048706,nan,0.385947497421666,0.383498741994126,0.38974979563048706,0.38974979563048706,0.36910809955599294,0.40163384195887686,0.3975937185759617,0.3986044278109707,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,0.625,0.5,0.5,0.625,nan,27,-1,0.3691527082720559,0.3651364413543697,0.3691527082720559,0.3691527082720559,0.37338261194807204,0.3719478868082759,0.3742164394114089,0.37104739935787806,0.3691527082720559,0.3742164394114089,nan,0.3742164394114089,0.37338261194807204,0.3742164394114089,0.3742164394114089,0.3650447653837521,0.386527593225205,0.368668330107778,0.37782198065520417,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,1.0,0.75,1.0,0.75,nan,27,-1,0.3712891493331875,0.37631237611307256,0.3712891493331875,0.37631237611307256,0.37631237611307256,0.3744972667048913,0.37980061600896614,0.38259397410325324,0.37631237611307256,0.38259397410325324,nan,0.37631237611307256,0.38259397410325324,0.38259397410325324,0.38259397410325324,0.3788285868006782,0.39351046086610736,0.3885239486924035,0.38928832733333363,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,3,2722,14272,11.0,0.5,0.875,0.0,0.625,nan,27,-1,0.33920629283910225,0.3536375572941297,0.33920629283910225,0.33920629283910225,0.34249378073426406,0.3431185935102433,0.34249378073426406,0.3539736670572667,0.3536375572941297,0.35718388152081626,nan,0.33920629283910225,0.3502035459455368,0.35718388152081626,0.35718388152081626,0.3537218632183461,0.36438543319702055,0.3545975734472379,0.35167939526323994,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,14272,11.0,0.5,1.0,0.5,0.375,nan,27,-1,0.37122406614840175,0.39614894680727375,0.37122406614840175,0.39614894680727375,0.3830888163853837,0.3774286470847936,0.3830888163853837,0.3930368593077495,0.39614894680727375,0.39614894680727375,nan,0.3830888163853837,0.37937487884573096,0.39614894680727375,0.39614894680727375,0.39514142276838704,0.40127506837507987,0.39961510898972497,0.38735094770788603,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,14272,11.0,0.25,0.375,0.0,0.75,nan,27,-1,0.385947497421666,0.38311698075577616,0.385947497421666,0.385947497421666,0.3902298904803961,0.3902298904803961,0.38858357485621553,0.38837320408806625,0.385947497421666,0.3908736668162357,nan,0.385947497421666,0.38837320408806625,0.3908736668162357,0.3908736668162357,0.3823412797493404,0.40147579743345585,0.39766475577464777,0.40040889601569885,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,14272,11.0,0.75,0.5,0.5,0.75,nan,27,-1,0.3691527082720559,0.3704977385271346,0.3691527082720559,0.3704977385271346,0.37430013752914726,0.37143831247528564,0.37535996799043214,0.37430013752914726,0.3704977385271346,0.37535996799043214,nan,0.37535996799043214,0.37430013752914726,0.37535996799043214,0.37535996799043214,0.3709917072069059,0.3888964426830072,0.36888354384238686,0.3764745111258504,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,3,2722,14272,11.0,1.0,0.75,1.0,0.75,nan,27,-1,0.3712891493331875,0.38890412715154354,0.3712891493331875,0.38890412715154354,0.38890412715154354,0.3765472091565698,0.3834031300828552,0.39039417545229876,0.38890412715154354,0.39039417545229876,nan,0.38890412715154354,0.39039417545229876,0.39039417545229876,0.39039417545229876,0.3888868730752325,0.4005643046277213,0.39783861171881596,0.3983932176810021,nan,nan,nan,0.3712891493331875,5.962962962962963,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,3,2722,18546,11.0,0.625,0.875,0.375,0.5,nan,27,-1,0.33920629283910225,0.34441834916943187,0.33920629283910225,0.33920629283910225,0.3520098501618413,0.3433736964204586,0.3486583993496506,0.35361725629237756,0.34441834916943187,0.3537532295667221,nan,0.3424687861962493,0.3486583993496506,0.3537532295667221,0.3537532295667221,0.3501160427343773,0.3656679471386747,0.3541971865975788,0.3568534012035904,nan,nan,nan,0.33920629283910225,5.962962962962963,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,18546,11.0,0.75,0.75,0.625,0.375,nan,27,-1,0.37122406614840175,0.3958229889346773,0.37122406614840175,0.3958229889346773,0.40365525882251563,0.3800269773225462,0.3912207202461939,0.40365525882251563,0.3958229889346773,0.40365525882251563,nan,0.39891682107174753,0.38405103548483976,0.40365525882251563,0.40365525882251563,0.3968089350542108,0.4050780075034396,0.4050780075034396,0.4050780075034396,nan,nan,nan,0.37122406614840175,5.962962962962963,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,18546,11.0,0.0,0.125,0.0,0.75,nan,27,-1,0.385947497421666,0.36670385236636094,0.385947497421666,0.385947497421666,0.385947497421666,0.3866228537517587,0.3842336019334306,0.3813497034128723,0.385947497421666,0.38708189913954416,nan,0.385947497421666,0.3813497034128723,0.38708189913954416,0.38708189913954416,0.36714292530715453,0.39890949317389957,0.39821928061577794,0.3986044278109707,nan,nan,nan,0.385947497421666,5.962962962962963,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,18546,11.0,0.625,0.625,0.625,0.625,nan,27,-1,0.3691527082720559,0.3627118535997804,0.3691527082720559,0.3691527082720559,0.3755446993552324,0.3734129156913651,0.37506646316365794,0.37455059445400535,0.3691527082720559,0.3755446993552324,nan,0.3755446993552324,0.3755446993552324,0.3755446993552324,0.3755446993552324,0.3628993129270861,0.38890068982654846,0.3708526749402997,0.3806330867686474,nan,nan,nan,0.3691527082720559,5.962962962962963,0.3691527082720559
