dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.125,1.0,0.0,0.75,0.125,36,3,0.3173539991193024,0.33902410319123355,0.33902410319123355,0.3173539991193024,0.3212486628528079,0.3248491680412596,0.33229995151271563,0.3376357989932036,0.33902410319123355,0.33902410319123355,0.3270613080399569,0.3173539991193024,0.3376357989932036,0.33902410319123355,0.33902410319123355,0.34639865016025984,0.34401849716618427,0.3252788293412281,0.3279377688844003,0.33229193238129134,0.3411882229557597,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.5,0.0,0.375,0.875,0.25,36,3,0.336894008870085,0.33236495835818347,0.33236495835818347,0.336894008870085,0.33508150111123675,0.3350484464592713,0.33508150111123675,0.33255261537459435,0.336894008870085,0.336894008870085,0.337512329550656,0.3352896827765866,0.3334030112224315,0.336894008870085,0.336894008870085,0.34243634196151174,0.3395745718459702,0.34040933865809114,0.3359853241104125,0.33689338530256696,0.33809760793674976,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.375,0.375,0.375,0.5,0.0,36,3,0.29803286006994156,0.29945431146167967,0.29945431146167967,0.29803286006994156,0.3020525635973864,0.3003474837016479,0.3020290038187398,0.3014811775523881,0.29945431146167967,0.3020525635973864,0.3033628578678716,0.3020525635973864,0.3020290038187398,0.3020525635973864,0.3020525635973864,0.31941453204878856,0.3048975443655634,0.3106706919204195,0.3061354777107309,0.3076902792402693,0.305560264692635,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.75,0.375,0.625,0.5,1.0,36,3,0.32187521962290294,0.3143166654625315,0.3143166654625315,0.3143166654625315,0.3178576192174606,0.32108678738447005,0.3237323203398294,0.3178576192174606,0.32187521962290294,0.32380797529477146,0.3143166654625315,0.3205457020335995,0.3237323203398294,0.32380797529477146,0.32380797529477146,0.34116951588578087,0.3291387817380776,0.33610052826870374,0.3068156762171729,0.3246413336141288,0.3271083304164052,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.5,0.625,0.5,0.375,0.5,36,3,0.35158335467847635,0.3630539221016817,0.3630539221016817,0.3630539221016817,0.36426027647105613,0.3556303154927138,0.36426027647105613,0.3627804016614888,0.3630539221016817,0.3666059914151193,0.36465436337805285,0.36426027647105613,0.3611220584167554,0.3666059914151193,0.3666059914151193,0.3714896567920014,0.3714896567920014,0.3672464157079074,0.35546452677185414,0.3576722356357181,0.3668660506083288,0.35158335467847635,2.103448275862069,0.35158335467847635
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.375,1.0,0.375,0.625,0.25,36,3,0.34826413715444277,0.3683231489927521,0.3683231489927521,0.34826413715444277,0.3570285498728183,0.3524040803584369,0.3612280857320161,0.3634561553435568,0.3683231489927521,0.3683231489927521,0.36037026386208854,0.3570285498728183,0.36264731852544985,0.3683231489927521,0.3683231489927521,0.37342426978876053,0.37131373818013147,0.3655083875141195,0.3469954315574137,0.3582379994011914,0.3683231489927521,0.34826413715444277,2.103448275862069,0.34826413715444277
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.25,0.75,0.75,1.0,36,3,0.4092145479713987,0.3938044069087906,0.3938044069087906,0.3938044069087906,0.3938044069087906,0.41143362639213865,0.40968299197044394,0.40487177946109604,0.4092145479713987,0.41143362639213865,0.3938044069087906,0.40487177946109604,0.40487177946109604,0.41143362639213865,0.41143362639213865,0.4170833165956706,0.4082208736450591,0.4001346686063262,0.4067434472324634,0.41907839773248107,0.39870716004188406,0.4092145479713987,2.103448275862069,0.4092145479713987
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.875,0.75,0.75,0.75,0.75,36,3,0.34393305672462177,0.35791416335939197,0.35791416335939197,0.35791416335939197,0.36228446794187935,0.3530837908548238,0.36199030094424167,0.3646959864833478,0.35791416335939197,0.3646959864833478,0.3584755579764051,0.3646959864833478,0.3646959864833478,0.3646959864833478,0.3646959864833478,0.36256998708957067,0.3580929936107927,0.3604956831015189,0.36811819707405374,0.36811819707405374,0.3584755579764051,0.34393305672462177,2.103448275862069,0.34393305672462177
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.75,0.75,0.625,0.625,0.875,36,3,0.34547175468447533,0.34765554414834504,0.34765554414834504,0.34765554414834504,0.35661572779281,0.351810064941403,0.355254500267849,0.35661572779281,0.34765554414834504,0.35661572779281,0.35079045502939016,0.35486347942360263,0.35486347942360263,0.35661572779281,0.35661572779281,0.35883979152821205,0.35883979152821205,0.35883979152821205,0.3377315302301244,0.3461723285580147,0.36195950744313476,0.34547175468447533,2.103448275862069,0.34547175468447533
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.625,0.375,0.625,0.75,0.0,36,3,0.36607440491657106,0.3595895590885164,0.3595895590885164,0.36607440491657106,0.3714657759389012,0.37126000043944757,0.37281731477358515,0.364120361727956,0.36607440491657106,0.37333967575649457,0.37541291609374994,0.3714657759389012,0.364120361727956,0.37333967575649457,0.37333967575649457,0.37762286139608,0.374856041669683,0.37432992903167417,0.36885316874319324,0.36885316874319324,0.37556135364197024,0.36607440491657106,2.103448275862069,0.36607440491657106
