dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_oracle
acs_span_income,1,3,3054,9819,94.8,0.125,0.6686248021314136,0.6691944407204503,0.6686248021314136,0.6686248021314136,0.6692982475969332,0.6691944407204503
acs_span_income,1,3,3054,9819,94.8,0.0,0.7344440664102831,0.7325833920032874,0.7344440664102831,0.7344440664102831,0.7344440664102831,0.7344440664102831
acs_span_income,1,3,3054,9819,94.8,0.25,0.7093700183343655,0.7015529308335876,0.7093700183343655,0.7093700183343655,0.7084675439860286,0.7093700183343655
acs_span_income,1,4,3054,35970,94.8,0.125,0.6686248021314136,0.6748801839703914,0.6686248021314136,0.6686248021314136,0.6696799448069748,0.6748801839703914
acs_span_income,1,4,3054,35970,94.8,0.125,0.7344440664102831,0.7349965102866955,0.7344440664102831,0.7344440664102831,0.7354907387761966,0.7349965102866955
acs_span_income,1,4,3054,35970,94.8,0.75,0.7093700183343655,0.705210784985266,0.7093700183343655,0.705210784985266,0.7074074945364093,0.7093700183343655
acs_span_income,1,1,3054,385,94.8,1.0,0.6686248021314136,0.6679445001077657,0.6686248021314136,0.6679445001077657,0.6679445001077657,0.6686248021314136
acs_span_income,1,1,3054,385,94.8,0.125,0.7344440664102831,0.7347500021729984,0.7344440664102831,0.7347500021729984,0.7344483178485189,0.7347500021729984
acs_span_income,1,1,3054,385,94.8,0.25,0.7093700183343655,0.7053008776701114,0.7093700183343655,0.7093700183343655,0.7089343784756914,0.7093700183343655
acs_span_income,1,3,3054,1571,94.8,0.5,0.6686248021314136,0.6732616412009138,0.6686248021314136,0.6732616412009138,0.6712217630327354,0.6732616412009138
acs_span_income,1,3,3054,1571,94.8,0.125,0.7344440664102831,0.7348235448459559,0.7344440664102831,0.7344440664102831,0.7348759973280969,0.7348235448459559
acs_span_income,1,3,3054,1571,94.8,0.875,0.7093700183343655,0.7107593317498535,0.7093700183343655,0.7107593317498535,0.7106209949980719,0.7107593317498535
acs_span_income,1,4,3054,22577,94.8,0.625,0.6686248021314136,0.6755392841968179,0.6686248021314136,0.6755392841968179,0.6742118001303197,0.6755392841968179
acs_span_income,1,4,3054,22577,94.8,0.25,0.7344440664102831,0.7355879048931414,0.7344440664102831,0.7344440664102831,0.7359757665113683,0.7355879048931414
acs_span_income,1,4,3054,22577,94.8,0.875,0.7093700183343655,0.7089465645010097,0.7093700183343655,0.7089465645010097,0.7089963038212218,0.7093700183343655
acs_span_income,1,1,3054,1810,94.8,0.875,0.6686248021314136,0.6767281132140994,0.6686248021314136,0.6767281132140994,0.6760465201728978,0.6767281132140994
acs_span_income,1,1,3054,1810,94.8,0.125,0.7344440664102831,0.7354921870424185,0.7344440664102831,0.7344440664102831,0.7349530445653512,0.7354921870424185
acs_span_income,1,1,3054,1810,94.8,1.0,0.7093700183343655,0.713080648117014,0.7093700183343655,0.713080648117014,0.713080648117014,0.713080648117014
acs_span_income,1,2,3054,5274,94.8,0.125,0.6686248021314136,0.6669792092474112,0.6686248021314136,0.6686248021314136,0.6685849893124888,0.6686248021314136
acs_span_income,1,2,3054,5274,94.8,0.125,0.7344440664102831,0.733465985472251,0.7344440664102831,0.7344440664102831,0.7353629269597658,0.7344440664102831
acs_span_income,1,2,3054,5274,94.8,0.125,0.7093700183343655,0.7008460564967065,0.7093700183343655,0.7093700183343655,0.7087560134230603,0.7093700183343655
acs_span_income,1,3,3054,2837,94.8,0.875,0.6686248021314136,0.6758759354009043,0.6686248021314136,0.6758759354009043,0.6750188636177004,0.6758759354009043
acs_span_income,1,3,3054,2837,94.8,0.5,0.7344440664102831,0.7375565016556194,0.7344440664102831,0.7375565016556194,0.7365922708721164,0.7375565016556194
acs_span_income,1,3,3054,2837,94.8,1.0,0.7093700183343655,0.7095483921717488,0.7093700183343655,0.7095483921717488,0.7095483921717488,0.7095483921717488
acs_span_income,1,3,3054,7690,94.8,0.125,0.6686248021314136,0.6666927697751631,0.6686248021314136,0.6686248021314136,0.6682785033725758,0.6686248021314136
acs_span_income,1,3,3054,7690,94.8,0.0,0.7344440664102831,0.7331057565698063,0.7344440664102831,0.7344440664102831,0.7344440664102831,0.7344440664102831
acs_span_income,1,3,3054,7690,94.8,0.0,0.7093700183343655,0.7020474478401089,0.7093700183343655,0.7093700183343655,0.7093700183343655,0.7093700183343655
acs_span_income,1,1,3054,52575,94.8,0.125,0.6686248021314136,0.6693672118786584,0.6686248021314136,0.6686248021314136,0.6692768741447255,0.6693672118786584
acs_span_income,1,1,3054,52575,94.8,0.125,0.7344440664102831,0.7338621906561864,0.7344440664102831,0.7344440664102831,0.7353784135647562,0.7344440664102831
acs_span_income,1,1,3054,52575,94.8,0.125,0.7093700183343655,0.7014735232633975,0.7093700183343655,0.7093700183343655,0.7088925208567317,0.7093700183343655
acs_span_income,1,1,3054,6723,94.8,0.375,0.6686248021314136,0.6756557049406048,0.6686248021314136,0.6686248021314136,0.6720355439858925,0.6756557049406048
acs_span_income,1,1,3054,6723,94.8,0.875,0.7344440664102831,0.7375118482319452,0.7344440664102831,0.7375118482319452,0.7374376478461803,0.7375118482319452
acs_span_income,1,1,3054,6723,94.8,0.625,0.7093700183343655,0.7142146888733355,0.7093700183343655,0.7142146888733355,0.7130838723912664,0.7142146888733355
acs_span_income,1,2,3054,7312,94.8,0.625,0.6686248021314136,0.6756684154931124,0.6686248021314136,0.6756684154931124,0.6740816773307984,0.6756684154931124
acs_span_income,1,2,3054,7312,94.8,0.875,0.7344440664102831,0.737663637433132,0.7344440664102831,0.737663637433132,0.7373842397952572,0.737663637433132
acs_span_income,1,2,3054,7312,94.8,0.75,0.7093700183343655,0.7142255396004853,0.7093700183343655,0.7142255396004853,0.7135495271090314,0.7142255396004853
