dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_oracle
freddiemac_propertystate,AK,3,4076,302251,8.625,0.75,0.07452224927816324,0.07452236870006573,0.07452236870006573,0.07452236870006573,0.07548737849067863,0.07452236870006573
freddiemac_propertystate,AK,3,4076,302251,8.625,1.0,0.07340669598591305,0.08488766160121204,0.08488766160121204,0.08488766160121204,0.08488766160121204,0.08488766160121204
freddiemac_propertystate,AK,3,4076,302251,8.625,1.0,0.06696975043151958,0.08873600924893667,0.08873600924893667,0.08873600924893667,0.08873600924893667,0.08873600924893667
freddiemac_propertystate,AK,4,4076,406791,8.625,0.0,0.07452224927816324,0.08226732794895371,0.08226732794895371,0.07452224927816324,0.07452224927816324,0.08226732794895371
freddiemac_propertystate,AK,4,4076,406791,8.625,1.0,0.07340669598591305,0.08801558583116004,0.08801558583116004,0.08801558583116004,0.08801558583116004,0.08801558583116004
freddiemac_propertystate,AK,4,4076,406791,8.625,1.0,0.06696975043151958,0.08887906899768247,0.08887906899768247,0.08887906899768247,0.08887906899768247,0.08887906899768247
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,0.07452224927816324,0.08504563621414805,0.08504563621414805,0.08504563621414805,0.08504563621414805,0.08504563621414805
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,0.07340669598591305,0.08076736173548991,0.08076736173548991,0.08076736173548991,0.08076736173548991,0.08076736173548991
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,0.06696975043151958,0.06775551703962232,0.06775551703962232,0.06775551703962232,0.06775551703962232,0.06775551703962232
freddiemac_propertystate,AK,4,4076,133978,8.625,0.0,0.07452224927816324,0.07999335645568648,0.07999335645568648,0.07452224927816324,0.07452224927816324,0.07999335645568648
freddiemac_propertystate,AK,4,4076,133978,8.625,1.0,0.07340669598591305,0.08335214020984115,0.08335214020984115,0.08335214020984115,0.08335214020984115,0.08335214020984115
freddiemac_propertystate,AK,4,4076,133978,8.625,1.0,0.06696975043151958,0.0837678302487522,0.0837678302487522,0.0837678302487522,0.0837678302487522,0.0837678302487522
freddiemac_propertystate,AK,3,4076,38296,8.625,0.875,0.07452224927816324,0.0777771220114427,0.0777771220114427,0.07452224927816324,0.07801953259245027,0.0777771220114427
freddiemac_propertystate,AK,3,4076,38296,8.625,1.0,0.07340669598591305,0.0843104420730428,0.0843104420730428,0.0843104420730428,0.0843104420730428,0.0843104420730428
freddiemac_propertystate,AK,3,4076,38296,8.625,1.0,0.06696975043151958,0.08489872883458789,0.08489872883458789,0.08489872883458789,0.08489872883458789,0.08489872883458789
freddiemac_propertystate,AK,1,4076,66813,8.625,1.0,0.07452224927816324,0.0830896912851306,0.0830896912851306,0.0830896912851306,0.0830896912851306,0.0830896912851306
freddiemac_propertystate,AK,1,4076,66813,8.625,1.0,0.07340669598591305,0.1095257491577736,0.1095257491577736,0.1095257491577736,0.1095257491577736,0.1095257491577736
freddiemac_propertystate,AK,1,4076,66813,8.625,1.0,0.06696975043151958,0.08145350876226323,0.08145350876226323,0.08145350876226323,0.08145350876226323,0.08145350876226323
