dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda
freddiemac_propertystate,AK,3,4076,302251,8.625,0.75,0.625,0.07452224927816324,0.07452236870006573,0.07452236870006573,0.07452236870006573,0.07548737849067863,0.0754757246141158,0.07579508546271091,0.07548737849067863,0.07452236870006573,0.07613168607096914
freddiemac_propertystate,AK,3,4076,302251,8.625,1.0,1.0,0.07340669598591305,0.08488766160121204,0.08488766160121204,0.08488766160121204,0.08488766160121204,0.0764293379516054,0.08246944078070159,0.08218397351991781,0.08488766160121204,0.08488766160121204
freddiemac_propertystate,AK,3,4076,302251,8.625,1.0,1.0,0.06696975043151958,0.08873600924893667,0.08873600924893667,0.08873600924893667,0.08873600924893667,0.07101585228850091,0.07626657318457616,0.08235955272492808,0.08873600924893667,0.08873600924893667
freddiemac_propertystate,AK,4,4076,406791,8.625,0.0,0.75,0.07452224927816324,0.08226732794895371,0.08226732794895371,0.07452224927816324,0.07452224927816324,0.07772024871000614,0.0809685912147263,0.08294387088933966,0.08226732794895371,0.08294387088933966
freddiemac_propertystate,AK,4,4076,406791,8.625,1.0,1.0,0.07340669598591305,0.08801558583116004,0.08801558583116004,0.08801558583116004,0.08801558583116004,0.07754155172268969,0.08108867385824414,0.08452012321907494,0.08801558583116004,0.08801558583116004
freddiemac_propertystate,AK,4,4076,406791,8.625,1.0,1.0,0.06696975043151958,0.08887906899768247,0.08887906899768247,0.08887906899768247,0.08887906899768247,0.07091002556788986,0.07616450944578505,0.08214449707507826,0.08887906899768247,0.08887906899768247
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,1.0,0.07452224927816324,0.08504563621414805,0.08504563621414805,0.08504563621414805,0.08504563621414805,0.07706845678561605,0.08059818100028655,0.08250755779789692,0.08504563621414805,0.08504563621414805
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,1.0,0.07340669598591305,0.08076736173548991,0.08076736173548991,0.08076736173548991,0.08076736173548991,0.07542195622372005,0.07849797556217883,0.07980985460494001,0.08076736173548991,0.08076736173548991
freddiemac_propertystate,AK,1,4076,7582,8.625,1.0,0.625,0.06696975043151958,0.06775551703962232,0.06775551703962232,0.06775551703962232,0.06775551703962232,0.06747543735671613,0.06793696057958776,0.06791059031764386,0.06775551703962232,0.06812930104677592
freddiemac_propertystate,AK,4,4076,133978,8.625,0.0,0.875,0.07452224927816324,0.07999335645568648,0.07999335645568648,0.07452224927816324,0.07452224927816324,0.07683316349534007,0.07922982223473517,0.08002184610122914,0.07999335645568648,0.0800727120135681
freddiemac_propertystate,AK,4,4076,133978,8.625,1.0,1.0,0.07340669598591305,0.08335214020984115,0.08335214020984115,0.08335214020984115,0.08335214020984115,0.07660577281282578,0.07877039505995717,0.08069385301373419,0.08335214020984115,0.08335214020984115
freddiemac_propertystate,AK,4,4076,133978,8.625,1.0,1.0,0.06696975043151958,0.0837678302487522,0.0837678302487522,0.0837678302487522,0.0837678302487522,0.0701450987222417,0.07432020927166497,0.07883601798492824,0.0837678302487522,0.0837678302487522
freddiemac_propertystate,AK,3,4076,38296,8.625,0.875,0.875,0.07452224927816324,0.0777771220114427,0.0777771220114427,0.07452224927816324,0.07801953259245027,0.07595972371609182,0.07720266347314751,0.07733325208231981,0.0777771220114427,0.07801953259245027
freddiemac_propertystate,AK,3,4076,38296,8.625,1.0,1.0,0.07340669598591305,0.0843104420730428,0.0843104420730428,0.0843104420730428,0.0843104420730428,0.07712384720062021,0.08089181337394176,0.08252688099471284,0.0843104420730428,0.0843104420730428
