dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda
freddiemac_zip2,00,3,438,63837,3.375,0.875,0.25,0.1842486569228141,0.17335017717907134,0.17335017717907134,0.17335017717907134,0.172940614531365,0.1847774706781425,0.18063117191778985,0.17624605177117778,0.1842486569228141,0.1847774706781425
freddiemac_zip2,00,3,438,63837,3.375,0.25,1.0,0.25211356939105695,0.28134069415868024,0.28134069415868024,0.28134069415868024,0.26448339127840137,0.26448339127840137,0.26339125255222856,0.2752558471097762,0.28134069415868024,0.28134069415868024
freddiemac_zip2,00,3,438,63837,3.375,0.875,0.625,0.17135550581994335,0.18198122354181942,0.18198122354181942,0.18198122354181942,0.1835480692981118,0.17710662257167217,0.18146310778147884,0.18247471558442974,0.18198122354181942,0.18552589251043883
freddiemac_zip2,00,4,438,88240,3.375,0.875,0.25,0.1842486569228141,0.17490841348300024,0.17490841348300024,0.17490841348300024,0.17704992174302456,0.18632752879659514,0.1790523987370587,0.1776598814446887,0.1842486569228141,0.18632752879659514
freddiemac_zip2,00,4,438,88240,3.375,0.375,1.0,0.25211356939105695,0.32494206914085605,0.32494206914085605,0.25211356939105695,0.29778713966190856,0.2806252431174183,0.295007385320724,0.3031375558052351,0.32494206914085605,0.32494206914085605
freddiemac_zip2,00,4,438,88240,3.375,1.0,0.75,0.17135550581994335,0.188014689580986,0.188014689580986,0.188014689580986,0.188014689580986,0.17798349075731837,0.18383076812760885,0.18960386484484054,0.188014689580986,0.18960386484484054
freddiemac_zip2,00,1,438,17995,3.375,0.75,0.0,0.1842486569228141,0.17413826091190096,0.17413826091190096,0.17413826091190096,0.17201684927073616,0.17841831698135152,0.17845047232772315,0.17201684927073616,0.1842486569228141,0.1842486569228141
freddiemac_zip2,00,1,438,17995,3.375,0.25,0.375,0.25211356939105695,0.27562894640727476,0.27562894640727476,0.25211356939105695,0.28656251731282706,0.28656251731282706,0.30161408750341456,0.2729825403445614,0.27562894640727476,0.3045469199725028
freddiemac_zip2,00,1,438,17995,3.375,0.875,1.0,0.17135550581994335,0.2245290097805894,0.2245290097805894,0.2245290097805894,0.20606037578475678,0.18380623120987946,0.1942978675569458,0.1975252376590362,0.2245290097805894,0.2245290097805894
freddiemac_zip2,00,3,438,32237,3.375,0.875,0.25,0.1842486569228141,0.17939215411228052,0.17939215411228052,0.17939215411228052,0.18242482662595386,0.1866670500070628,0.18092283663930764,0.18396993371521878,0.1842486569228141,0.1866670500070628
freddiemac_zip2,00,3,438,32237,3.375,0.25,0.625,0.25211356939105695,0.2709423729901225,0.2709423729901225,0.2709423729901225,0.27400876535056923,0.27400876535056923,0.284823722087219,0.27846353190144335,0.2709423729901225,0.28603062383580347
freddiemac_zip2,00,3,438,32237,3.375,1.0,0.875,0.17135550581994335,0.18688352583365309,0.18688352583365309,0.18688352583365309,0.18688352583365309,0.17588817346213775,0.1857897565974163,0.18809360310576717,0.18688352583365309,0.18921603189140723
freddiemac_zip2,00,4,438,121734,3.375,0.875,0.25,0.1842486569228141,0.17238417367423842,0.17238417367423842,0.17238417367423842,0.17964921174043527,0.18703482338796362,0.17905583534369945,0.17661017548201605,0.1842486569228141,0.18703482338796362
freddiemac_zip2,00,4,438,121734,3.375,0.25,0.875,0.25211356939105695,0.309688295192168,0.309688295192168,0.25211356939105695,0.2854433729743911,0.2854433729743911,0.3116755493332282,0.3077216223553473,0.309688295192168,0.31938396356449195
freddiemac_zip2,00,4,438,121734,3.375,0.875,0.875,0.17135550581994335,0.1909324833864493,0.1909324833864493,0.1909324833864493,0.19124938031378297,0.17908446952985396,0.18400012571843927,0.19046793276145962,0.1909324833864493,0.19124938031378297
freddiemac_zip2,00,1,438,10904,3.375,0.625,0.25,0.1842486569228141,0.17922433938161947,0.17922433938161947,0.17922433938161947,0.17882248934482642,0.1864888854327988,0.17905174630684795,0.1767751630949819,0.1842486569228141,0.1864888854327988
freddiemac_zip2,00,1,438,10904,3.375,0.25,1.0,0.25211356939105695,0.32565480330749524,0.32565480330749524,0.25211356939105695,0.29653099459916016,0.29653099459916016,0.3024133668518327,0.306134168156191,0.32565480330749524,0.32565480330749524
freddiemac_zip2,00,1,438,10904,3.375,1.0,0.875,0.17135550581994335,0.18540623617105395,0.18540623617105395,0.18540623617105395,0.18540623617105395,0.1761910558809129,0.17811674409688394,0.18481151620611636,0.18540623617105395,0.18700192542200114
freddiemac_zip2,00,2,438,42627,3.375,1.0,0.25,0.1842486569228141,0.17595027152470022,0.17595027152470022,0.17595027152470022,0.17595027152470022,0.185312254998441,0.18168553492472414,0.179681149417371,0.1842486569228141,0.185312254998441
freddiemac_zip2,00,2,438,42627,3.375,0.25,1.0,0.25211356939105695,0.30086649248232045,0.30086649248232045,0.25211356939105695,0.2734056129089439,0.2734056129089439,0.2762229310841206,0.28326071907318867,0.30086649248232045,0.30086649248232045
freddiemac_zip2,00,2,438,42627,3.375,1.0,0.875,0.17135550581994335,0.18814727819807572,0.18814727819807572,0.18814727819807572,0.18814727819807572,0.17947533984053418,0.18534946465489682,0.18695068693279668,0.18814727819807572,0.1902676318292575
freddiemac_zip2,00,3,438,69450,3.375,0.875,0.25,0.1842486569228141,0.17647654853481592,0.17647654853481592,0.17647654853481592,0.1792106360492017,0.18470670276132764,0.1772546245059889,0.17886246014683432,0.1842486569228141,0.18470670276132764
freddiemac_zip2,00,3,438,69450,3.375,0.375,0.875,0.25211356939105695,0.31557865263457696,0.31557865263457696,0.25211356939105695,0.29400081391151567,0.27848842136055924,0.3004839984985328,0.29862873435417303,0.31557865263457696,0.3205279002188049
freddiemac_zip2,00,3,438,69450,3.375,0.875,0.875,0.17135550581994335,0.1867252145409899,0.1867252145409899,0.1867252145409899,0.18678988369944197,0.17775414254675376,0.183073464872057,0.18350620047161378,0.1867252145409899,0.18678988369944197
freddiemac_zip2,00,3,438,84404,3.375,0.875,0.25,0.1842486569228141,0.1753052237627904,0.1753052237627904,0.1753052237627904,0.17914709369139653,0.18529533305314094,0.17604969504721626,0.18049363828733078,0.1842486569228141,0.18529533305314094
freddiemac_zip2,00,3,438,84404,3.375,0.25,1.0,0.25211356939105695,0.316204024891565,0.316204024891565,0.25211356939105695,0.27473793331399166,0.27473793331399166,0.2975620410525127,0.2973573903859485,0.316204024891565,0.316204024891565
freddiemac_zip2,00,3,438,84404,3.375,1.0,0.25,0.17135550581994335,0.17294836541994668,0.17294836541994668,0.17294836541994668,0.17294836541994668,0.17615609048358805,0.17314477741106377,0.17398890224972197,0.17294836541994668,0.17615609048358805
freddiemac_zip2,00,1,438,8237,3.375,0.875,0.25,0.1842486569228141,0.1868170739063119,0.1868170739063119,0.1868170739063119,0.1825390663175635,0.18870444595273858,0.18350542960978922,0.18310989448031278,0.1868170739063119,0.18870444595273858
freddiemac_zip2,00,1,438,8237,3.375,0.375,0.75,0.25211356939105695,0.3132825566084644,0.3132825566084644,0.25211356939105695,0.2861137331789559,0.2973318996525139,0.3087887570401945,0.32235840048197584,0.3132825566084644,0.32235840048197584
freddiemac_zip2,00,1,438,8237,3.375,0.875,1.0,0.17135550581994335,0.22832635072791513,0.22832635072791513,0.22832635072791513,0.20467690334108485,0.18467423073275574,0.19733307114434046,0.20284482925454161,0.22832635072791513,0.22832635072791513
freddiemac_zip2,00,2,438,190782,3.375,0.875,0.25,0.1842486569228141,0.16607848599720654,0.16607848599720654,0.16607848599720654,0.16921989927256445,0.18529083803655164,0.18268088166481816,0.17425720032916356,0.1842486569228141,0.18529083803655164
freddiemac_zip2,00,2,438,190782,3.375,0.25,0.5,0.25211356939105695,0.2696342957260709,0.2696342957260709,0.25211356939105695,0.2788142574294137,0.2788142574294137,0.30454233918145146,0.30104352898366044,0.2696342957260709,0.30454233918145146
freddiemac_zip2,00,2,438,190782,3.375,1.0,0.625,0.17135550581994335,0.17541900885748907,0.17541900885748907,0.17541900885748907,0.17541900885748907,0.17509344926632556,0.17827739771424533,0.17919178747301562,0.17541900885748907,0.18056380848969203
freddiemac_zip2,00,1,438,10724,3.375,0.75,0.5,0.1842486569228141,0.17328693773210455,0.17328693773210455,0.17328693773210455,0.17876692651725457,0.1854308429051896,0.18780824202830423,0.17876692651725457,0.1842486569228141,0.18780824202830423
freddiemac_zip2,00,1,438,10724,3.375,0.375,0.5,0.25211356939105695,0.25835042073509923,0.25835042073509923,0.25211356939105695,0.2822790097587144,0.26843374150441324,0.28246161457172947,0.2700522328305962,0.25835042073509923,0.28246161457172947
freddiemac_zip2,00,1,438,10724,3.375,0.875,0.75,0.17135550581994335,0.20316553409990615,0.20316553409990615,0.20316553409990615,0.20563301676202012,0.19094672543251287,0.20071166399268936,0.20608721969917654,0.20316553409990615,0.20608721969917654
freddiemac_zip2,01,3,24488,46538,41.3125,0.375,0.75,0.09274115069673294,0.09311603915206701,0.09274115069673294,0.09274115069673294,0.09351780635077032,0.09344330360271658,0.09346172116762162,0.09362118036042755,0.09311603915206701,0.09362118036042755
