dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.125,1.0,0.3173539991193024,0.33902410319123355,0.33902410319123355,0.3173539991193024,0.3212486628528079,0.3248491680412596,0.33229995151271563,0.3376357989932036,0.33902410319123355,0.33902410319123355
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.5,0.0,0.336894008870085,0.33236495835818347,0.33236495835818347,0.336894008870085,0.33508150111123675,0.3350484464592713,0.33508150111123675,0.33255261537459435,0.336894008870085,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.375,0.375,0.29803286006994156,0.29945431146167967,0.29945431146167967,0.29803286006994156,0.3020525635973864,0.3003474837016479,0.3020290038187398,0.3014811775523881,0.29945431146167967,0.3020525635973864
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.25,0.5,0.3173539991193024,0.29826700033214665,0.29826700033214665,0.3173539991193024,0.3290493916782048,0.3290493916782048,0.3377173774628579,0.3337583226715957,0.3173539991193024,0.3377173774628579
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.0,0.336894008870085,0.26312952296689013,0.26312952296689013,0.336894008870085,0.3356492606373816,0.3334992071847459,0.32536469490543796,0.3010638548467794,0.336894008870085,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.375,0.29803286006994156,0.24891306127894397,0.24891306127894397,0.29803286006994156,0.3003844728268389,0.29870403464397066,0.2990116534108647,0.28654598982392737,0.29803286006994156,0.30118387669638613
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,0.875,0.3173539991193024,0.3399658899822831,0.3399658899822831,0.3173539991193024,0.3411374759324665,0.32848223864239684,0.3411374759324665,0.34090646314071976,0.3399658899822831,0.34178101071127553
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.625,1.0,0.336894008870085,0.3575941375220926,0.3575941375220926,0.3575941375220926,0.3518372838232295,0.34322863644812424,0.35105870186423316,0.353791722884612,0.3575941375220926,0.3575941375220926
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,0.125,0.29803286006994156,0.2761503514581262,0.2761503514581262,0.29803286006994156,0.2963650088154153,0.29928440246714955,0.2963650088154153,0.2881911321950232,0.29803286006994156,0.29968044455848386
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,30244,7.222222222222222,0.125,0.5,0.3173539991193024,0.2888540390029305,0.2888540390029305,0.3173539991193024,0.3218166378253096,0.328659195323154,0.34322349167715194,0.33122221674862085,0.3173539991193024,0.34322349167715194
