dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,15.341186994859559,0.8029207028863814,0.01842928843341818,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.36035413831136204,0.09829171438556557,0.7735761691619076,1.0547408484910625,-0.016521095306673325
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.3,1.0,19.268663276648955,0.8321897315952747,0.0435839933137111,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4732575695119775,0.09358717614076166,0.837139423076923,1.5263312286732584,0.06666331164360546
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,12.060873130045692,0.75067554988933,0.0020378311159895413,1,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.46518085770097367,0.09274586569113931,0.7888563049853372,1.1123538504923178,0.05932376490064107
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,15.164089617654849,0.8011397448038777,0.019067165292817267,1,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3460674631388619,0.10067846341091663,0.7632350671399908,0.9848733244801292,0.06230033728915316
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,15.503995238878193,0.7672287408800733,0.02319163403156188,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3715924218528887,0.09724006366180751,0.8047538200339558,1.0047272099395108,0.003322855183189623
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,20.28779053542116,0.7568031293098931,-0.004395997512899152,0,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3375288523650447,0.1163833574911055,0.7785152029634202,1.0060387200533498,-0.926529504230604
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.3,1.0,16.4226150420859,0.7560780207813091,0.07245735309333978,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.5021309292916062,0.09706095147927772,0.8494591346153846,1.4864518011197556,-0.7152193453103202
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,18.12381605000658,0.7736257985914342,-0.05141070779036011,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.411732318794624,0.1057844681169294,0.7944127180120388,0.9780567743903438,-0.806860467039218
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,18.558650786564115,0.7780332071636864,0.0024095619740496788,1,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3294098598200943,0.11481740026856378,0.7783608581571231,0.8432000180793778,-0.8238757326899353
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,24.514454907102895,0.8161833342851021,0.02918255647116369,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3775833442924905,0.110798985835051,0.7993517518135514,0.8544668533061489,-0.896066288714024
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,3.769448041997009,0.6971749023936018,0.00763353545661033,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3495583853345542,0.09960829961235983,0.7681741009415033,1.0626761036642278,-0.10126973046631518
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.3,1.0,2.5508742973534355,0.5871118469379781,0.0197967687527284,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4494703449509948,0.09568224820821927,0.8186598557692308,1.5692460304191644,0.05153221052461648
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,0.5079966642157906,0.0,-2.3681070769332457e-05,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4631193455142148,0.09279042746862963,0.7968822349127952,1.0933285616709771,-0.0035026580465184988
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.9301300664078944,0.4540000224765913,-0.02187839646765455,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.30512190137839007,0.10293620427108198,0.7501157586047228,0.8591073106192462,0.015810486652150058
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,0.9767866652665222,0.18002725443197745,-0.01959348826282764,0,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3288072995584992,0.09993274938117125,0.793332304367958,1.0103984863813695,-0.07008798082295851
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,12.99119711581648,0.6920635958045982,0.008718895957480044,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3506437458354239,0.10232352723308887,0.7802129958326902,0.9159195810004134,-0.46056633637997363
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.3,1.0,13.11587522491698,0.6949893914319873,0.08289759283648179,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.5125711690347482,0.09148273647451835,0.8413461538461539,1.329600463356469,-0.38549461687367326
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,8.97144049934593,0.5019518513180173,-0.04217041864296517,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.42097260794201896,0.09736078956356219,0.7944127180120389,0.9140396318749969,-0.46529952242822137
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,8.965207917660294,0.5402478588476269,-0.019503212077072674,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.30749708576897195,0.10734735748486611,0.7641611359777744,0.7307802065420336,-0.3642509605808029
acs_ct0_education,1,4,560,560,2240,10,4.0,105,7.4,1.0,15.640784751894657,0.7441128364622953,0.01915677514884978,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3675575629701766,0.10184698973382215,0.795030097237228,0.7921678468177216,-0.45425298813273896
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,15.507446684052391,0.7642558680814744,0.016847111011043858,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3587719608889877,0.10053317319898133,0.7741935483870966,0.9191749578982944,-0.34271179586225486
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.3,1.0,11.828880642725519,0.6287666371563286,0.08511493487441102,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.5147885110726774,0.08906393136122187,0.8530649038461537,1.4282932622003666,-0.19549051853955624
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,19.999265599088847,0.8445517826742526,-0.014053274981615016,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4490897516033691,0.09316200582904327,0.799660441426146,0.9273039961840275,-0.2656422443632591
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,16.857428477144897,0.8202087084963969,-0.0038620075958960554,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.32313829025014856,0.10569789298294063,0.7650872048155579,0.7086911948048611,-0.2158540221396686
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,11.735922507959692,0.7442972151883716,0.02658773151174676,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3749885193330736,0.09900319308209869,0.8066059577095231,0.841478502940016,-0.29640610750049823
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,3.4634819348101673,0.7094344929008094,0.018681925938037747,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3606067758159816,0.09845064063079495,0.7723414107115295,1.0254656451390476,-0.02866186821515082
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.3,1.0,4.536198093150425,0.6991462125253227,0.06574488650277682,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4954184627010432,0.09264869984390929,0.83984375,1.6569851681731718,0.05936379663660133
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,3.7324949430697583,0.7173250148369414,-0.017797432640190014,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4453455939447941,0.0931751941573364,0.7877758913412564,1.133517637225362,0.027288642556262753
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,2.313857628999232,0.5659051053098976,-0.014743636740556454,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.31225666110548816,0.10292365232967211,0.75366568914956,0.8385433266850919,0.0433881835193251
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.6504725970334573,0.35943326997027847,0.0005674581079888052,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.34896824592931563,0.10004345487489028,0.7849976848279056,0.8806263849569651,-0.0762994755148917
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,5.524246849590247,0.6222064769645256,0.00832760688478501,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.35025245676272887,0.10006966462777828,0.7538200339558574,0.9188947611527043,-0.07024683691684194
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.3,1.0,11.45240670687958,0.8204134124294251,0.03041036735672481,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4600839435549912,0.09503835046110766,0.8260216346153846,1.3941965790594797,0.011676841743331137
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,9.08034950390823,0.7717294926105868,-0.01482902761016186,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.44831399897482227,0.0940035604040999,0.7714153418737458,0.9239603668482048,0.010481566330127857
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,10.722106489289999,0.8023111527024267,-0.022256442708940005,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3047438551371046,0.10386715331623299,0.7332921747183208,0.76912354239759,0.005669797147952603
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,15.783640071129534,0.873176228347048,0.027095815068092277,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3754966028894191,0.09663928123122344,0.808303750578793,1.0605644376593948,-0.03116091122808153
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,21.45947516825994,0.8514738018954601,0.0031938876517838,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.34511873752972766,0.10387032354276375,0.7819107887019602,1.0124355305164867,-0.5797437404450361
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.3,1.0,20.88875680903631,0.8513417894492592,0.0772996258654105,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.5069732020636769,0.0918120750305258,0.8511117788461539,1.473944248657555,-0.4304345500008572
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,15.310082177452674,0.7929242687559406,-0.038393830172469834,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4247491964125143,0.09822018076037,0.7931779595616607,1.009676501636505,-0.531198700644911
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,12.148824199227029,0.7529564831569151,0.0035759427337048733,1,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3305762405797495,0.10595580254433695,0.768019756135206,0.8308365383685465,-0.47868066614983845
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,16.185944433222346,0.7942574153078283,-0.0023206024802462366,0,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3460801853410806,0.10401208507809064,0.7920975459175799,0.8433387140856545,-0.5194511176135869
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,14.194791310052388,0.703244888758922,0.008193533642587125,1,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.350118383520531,0.10631273772785296,0.7809847198641765,1.022089061962088,-0.6777616777002117
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.3,1.0,16.68021139206599,0.708632894288182,0.08732609406708014,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.5169996702653465,0.09166817523400941,0.850811298076923,1.5344060685609695,-0.5205012010199094
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,6.826361182761056,0.5605027211073345,-0.010797862560054716,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4523451640249294,0.09813969632106102,0.8067603025158204,1.0626036377707646,-0.629399411340628
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,13.251636628916664,0.7729307762715154,0.005502808753377331,1,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.33250310659942195,0.10647825997988104,0.769717549004476,0.8563801986522523,-0.5638446082096173
acs_ct0_education,1,3,560,560,1680,10,3.0,105,7.4,1.0,12.344428134635066,0.6635325931909517,-0.012382729908027912,0,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3360180579132989,0.10686249249717392,0.7896280290168235,0.9084534372740284,-0.6502464840837355
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.1909221239173002,0.1912162891157103,-0.016150409512210362,0,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.3257744403657335,0.13913736311302347,0.7732674795493132,1.1706348521507222,-1.2924261317647519
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.3,1.0,2.5495014028895047,0.4583141747325694,0.01399098538979976,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.44366456158806616,0.1178402565364675,0.8188100961538461,1.5084617042317472,-1.0567925881128282
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,4.0319634394501636,0.730467897368472,-0.019234509681581136,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.443908516903403,0.12522055948384855,0.8116993363173329,1.2276177251344185,-1.249537004463541
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.9929241411104148,0.46575405365783196,0.007823293748429327,1,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.33482359159447395,0.12769178211530735,0.7684827905540978,0.9495649990984171,-1.114709800848485
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.7301148707845186,0.313234545033485,0.011682980265539988,1,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.3600837680868668,0.126437927572669,0.7819107887019602,0.9658989417566269,-1.1646885284242439
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,3.7275147335263497,0.7164431248041159,-0.004438167324388842,0,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.337486682553555,0.10051731905937648,0.7715696866800432,1.135656581164843,0.1610030643173294
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.3,1.0,3.515909943582411,0.715297765169431,0.018456412592116,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4481299887903824,0.09899561034254332,0.7985276442307693,1.4854803419272542,0.19806196528299638
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.432203636558142,0.251570932198039,0.0049010835307986556,1,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4680441101157828,0.09405558743146407,0.7976539589442816,1.1977523732671578,0.1958157018719825
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.694688311320977,0.33228072217731086,-0.021824209203500422,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3051760886425442,0.10262741221655915,0.7369964500694551,0.8939640788288227,0.22411636144799088
acs_ct0_education,1,1,560,560,560,10,1.0,105,7.4,1.0,1.3278402402364433,0.2463165865640125,-0.0517582740165245,0,0.34840078782132683,0.09989561227791403,0.7939496835931471,0.9225581844886086,-0.04415272474954605,0.29664251380480233,0.1035661019161609,0.7763543756752584,0.97327628271726,0.10160579861578407
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,6.449087521331229,0.6697992791373224,-0.0010123954775035915,0,0.34192484987794386,0.10032937555593245,0.7552091372125327,0.9343811014176181,-0.04543583525310415,0.34091245440044027,0.1003176055295674,0.7788238925760148,1.2084694901935362,0.16383657664881654
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.3,1.0,9.712642031548803,0.7937726686853799,0.027745046108227478,1,0.4296735761982664,0.09838210098465698,0.7959735576923077,1.3126610936878427,0.05878880747647191,0.4574186223064939,0.0974970532801103,0.8204627403846154,1.6523470120611186,0.2091916476959692
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,3.7796768921770196,0.4135153085979568,-0.006248131568508841,0,0.46314302658498413,0.09202048953030836,0.7965735453002006,1.1312780503938777,0.0654734095535211,0.4568948950164753,0.09474517968849357,0.7964192004939035,1.238053643944444,0.2008448843062157
acs_ct0_education,1,2,560,560,1120,10,2.0,105,7.4,1.0,3.554823193251486,0.4292142147381922,-0.020594918252236305,0,0.3270002978460446,0.10106645441467399,0.7578329989195863,0.8781708016980148,0.06964147371807755,0.3064053795938083,0.10228826756328943,0.7385398981324278,0.9431641801996841,0.20917095279796732
