dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
acs_ct1_industry,1270,3,560,560,1680,10,3.0,231,16.2,1.0,12.392884421674243,0.7576259382196027,0.028887121542267358,1,0.7317289167774805,0.13782787813873956,0.8345622510382236,0.8088635339279429,-0.07246549794005379,0.7606160383197479,0.13048306286058822,0.8414272395965761,1.0226828427587527,0.19853480658458036
acs_ct1_industry,1270,3,560,560,1680,10,3.0,231,16.2,1.0,20.812452841906378,0.8549882453604514,0.022510648769496377,1,0.742532504324046,0.13485516961348643,0.8335452156962455,0.9005133429702965,-0.03495290813254737,0.7650431530935424,0.13053245636843278,0.8432070514450377,1.1135857290084092,0.17511160817995924
acs_ct1_industry,1270,3,560,560,1680,10,3.0,231,16.2,1.0,15.728797355525654,0.7824736416573556,-0.0022610366452359143,0,0.7468328782077268,0.13458560007785608,0.8460886515806425,0.9110829722296363,0.07964842287408695,0.7445718415624909,0.1353396011713933,0.8449021103483345,1.046134607732729,0.2743125322191969
acs_ct1_industry,1270,3,560,560,1680,10,3.0,231,16.2,1.0,18.30942677994537,0.8226138405678229,-0.0025392186597178457,0,0.7171935563763127,0.14058733726421127,0.8269344859733875,0.9240477061027168,0.20907546178651046,0.7146543377165948,0.14453014884276427,0.8156623442664632,0.9175697449162876,0.42623955280178966
acs_ct1_industry,1270,3,560,560,1680,10,3.0,231,16.2,1.0,18.80343817499235,0.7942372814799266,0.02364024752171645,1,0.77939547636365,0.12463739246576183,0.868124417323502,1.1488263681436384,-0.02622346984780866,0.8030357238853665,0.12004460506574018,0.8782100177981185,1.286505373742815,0.2724308775425414
acs_ct1_industry,1270,4,560,560,2240,10,4.0,231,16.2,1.0,18.949201139157214,0.7884355024536988,0.02968198961253088,1,0.7317289167774805,0.13782787813873956,0.8345622510382236,0.8088635339279429,-0.07246549794005379,0.7614109063900114,0.13158871708809297,0.8316806509026189,0.8126082092670401,0.42537408998346365
acs_ct1_industry,1270,4,560,560,2240,10,4.0,231,16.2,1.0,24.432715045040265,0.8353380199140457,-0.01815284054129329,0,0.742532504324046,0.13485516961348643,0.8335452156962455,0.9005133429702965,-0.03495290813254737,0.7243796637827528,0.14198847828868744,0.8144758030341555,0.7372693717322633,0.40102549227166606
acs_ct1_industry,1270,4,560,560,2240,10,4.0,231,16.2,1.0,13.706891672389528,0.6978079781955738,-0.00129868479330153,0,0.7468328782077268,0.13458560007785608,0.8460886515806425,0.9110829722296363,0.07964842287408695,0.7455341934144253,0.13670068170846658,0.8449868632934996,0.8427105123529387,0.43803203116978584
acs_ct1_industry,1270,4,560,560,2240,10,4.0,231,16.2,1.0,14.300130061401152,0.5960787191878016,0.004396622961148844,1,0.7171935563763127,0.14058733726421127,0.8269344859733875,0.9240477061027168,0.20907546178651046,0.7215901793374615,0.14609615561345407,0.823459615221629,0.8619099180200792,0.6359262452981014
acs_ct1_industry,1270,4,560,560,2240,10,4.0,231,16.2,1.0,13.160639039916123,0.6627916435685786,0.01518511732166239,1,0.77939547636365,0.12463739246576183,0.868124417323502,1.1488263681436384,-0.02622346984780866,0.7945805936853124,0.12179431826611438,0.8724468175269091,1.0089041094548103,0.4772443964919249
