dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
acs_ct1_occupation,1065,3,560,560,1680,10,3.0,622,12.5,1.0,27.900883209648377,0.8922549830747948,-0.012080068525624488,0,0.9278643275763128,0.1357878017345378,0.7944707900312784,0.8404383144014951,-0.06260171960407589,0.9157842590506883,0.17859912719112273,0.7729795177075977,1.0777767048175715,1.1169954365899555
acs_ct1_occupation,1065,3,560,560,1680,10,3.0,622,12.5,1.0,25.964536949138513,0.8816768220261715,-0.011545686210929329,0,0.9353666139337404,0.11735416027822385,0.8490566037735849,1.286606006679317,-0.020343930216421256,0.9238209277228111,0.17286618406457796,0.8193925940873777,1.4073436256361431,1.194156468091856
acs_ct1_occupation,1065,3,560,560,1680,10,3.0,622,12.5,1.0,21.06582377759984,0.8573282683913358,-0.011286407556263311,0,0.9422211648430294,0.124735797985301,0.8391686005448492,1.1028121732174079,-0.08814201173481506,0.9309347572867661,0.16525597547003185,0.8188881041267279,1.3749062371753562,1.077933623179551
acs_ct1_occupation,1065,3,560,560,1680,10,3.0,622,12.5,1.0,41.47664817848253,0.9240736594260659,-0.006710804205650178,0,0.9504988872610246,0.12278574435382072,0.848552113812935,1.000067495228933,0.24650162044940113,0.9437880830553744,0.1700545620562721,0.8376551306628999,1.1660222897908676,1.303868543318325
acs_ct1_occupation,1065,3,560,560,1680,10,3.0,622,12.5,1.0,35.35187769704476,0.9148839218938389,-0.007896776041404041,0,0.9366987784650853,0.12272762425577621,0.8403793764504086,1.2755142938194473,-0.21247086396895226,0.9288020024236813,0.1549684243133192,0.83715064070225,1.536343164997763,1.0023906194176644
acs_ct1_occupation,1065,4,560,560,2240,10,4.0,622,12.5,1.0,51.611924981603565,0.9224779267885354,-0.0022393929461692608,0,0.9278643275763128,0.1357878017345378,0.7944707900312784,0.8404383144014951,-0.06260171960407589,0.9256249346301435,0.16426123799179243,0.7900312783775603,1.2024035910397057,0.9598928303704012
acs_ct1_occupation,1065,4,560,560,2240,10,4.0,622,12.5,1.0,40.62889330293804,0.8881783652019523,-0.004263403570194946,0,0.9353666139337404,0.11735416027822385,0.8490566037735849,1.286606006679317,-0.020343930216421256,0.9311032103635455,0.1524214507859348,0.8303904752295428,1.6461517481306653,0.9121292400322488
acs_ct1_occupation,1065,4,560,560,2240,10,4.0,622,12.5,1.0,26.432498173798585,0.8475721124568735,-0.015981704069709224,0,0.9422211648430294,0.124735797985301,0.8391686005448492,1.1028121732174079,-0.08814201173481506,0.9262394607733202,0.16605452891831624,0.8079911209766927,1.38397429735276,1.0059573700381421
acs_ct1_occupation,1065,4,560,560,2240,10,4.0,622,12.5,1.0,38.02560341894125,0.8756620702351624,-0.005568233132959066,0,0.9504988872610246,0.12278574435382072,0.848552113812935,1.000067495228933,0.24650162044940113,0.9449306541280655,0.15644486849694905,0.8398748864897589,1.5058128404951387,1.038152183769343
acs_ct1_occupation,1065,4,560,560,2240,10,4.0,622,12.5,1.0,25.97315741152307,0.8444048092957295,-0.01492980575622016,0,0.9366987784650853,0.12272762425577621,0.8403793764504086,1.2755142938194473,-0.21247086396895226,0.9217689727088652,0.1535692473033783,0.8306931692059327,1.7505529686060832,0.9003377998854031
