dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
acs_d10,1,3,840,63,482,10,0.5738095238095238,373,26.1,1.0,9.690448192376413,0.6783021263358331,-0.0010853804016561774,0,0.7084015598700678,0.1495641873660274,0.8326612903225806,1.0115199510970376,0.2519147710160605,0.7073161794684116,0.14801988304253974,0.8344254032258065,1.0029171750548238,0.03643689326992552
acs_d10,1,3,840,63,482,10,0.5738095238095238,373,26.1,1.0,13.558870962807696,0.7774993253836573,0.007922612193478007,1,0.6867414323226584,0.1530343177025455,0.8251728110599078,0.871694376458959,0.028603012663593913,0.6946640445161364,0.1511263180786912,0.8303931451612904,0.9260051058474852,-0.08966919991967894
acs_d10,1,3,840,63,482,10,0.5738095238095238,373,26.1,1.0,23.634416870035096,0.8717855042884862,0.001546158393933128,1,0.7165187348301469,0.14486050919616134,0.834317396313364,0.9154759246616514,-0.013542647452199956,0.7180648932240801,0.1442296644377864,0.8390336981566822,0.9689356022281758,-0.1366474465369244
acs_d10,1,3,840,63,482,10,0.5738095238095238,373,26.1,1.0,10.350801885446614,0.6935394162554958,0.005101016859143104,1,0.6762443077085594,0.1546176376408097,0.8258928571428571,0.8865725852066128,-0.04876147282549738,0.6813453245677025,0.15305759737662475,0.8295650921658987,0.9404418640927812,-0.1372871025613032
acs_d10,1,3,840,63,482,10,0.5738095238095238,373,26.1,1.0,23.01725890157955,0.8695415042680013,-0.0007084818790331626,0,0.7556886267653028,0.1335038470548277,0.8690596198156683,1.1304081294549062,0.006146949093490019,0.7549801448862696,0.13438641101399929,0.8667554723502304,1.1447618866359806,-0.09080784563309227
acs_d10,1,4,840,213,2117,10,2.520238095238095,373,26.1,1.0,35.76994016817428,0.8868224426480591,-0.0002550920273283186,0,0.7084015598700678,0.1495641873660274,0.8326612903225806,1.0115199510970376,0.2519147710160605,0.7081464678427395,0.1482051089312203,0.8347494239631337,1.0530150439223784,-0.13863034753113718
acs_d10,1,4,840,213,2117,10,2.520238095238095,373,26.1,1.0,26.04196868188494,0.8460250426355056,0.010742893376694207,1,0.6867414323226584,0.1530343177025455,0.8251728110599078,0.871694376458959,0.028603012663593913,0.6974843256993526,0.15348522860117295,0.8307891705069126,0.9758208697657825,-0.3201215222860549
acs_d10,1,4,840,213,2117,10,2.520238095238095,373,26.1,1.0,21.845086664091394,0.810031842483115,0.02285325957215323,1,0.7165187348301469,0.14486050919616134,0.834317396313364,0.9154759246616514,-0.013542647452199956,0.7393719944023002,0.1427966516881521,0.8499063940092166,1.0449544006264149,-0.32725427695351117
acs_d10,1,4,840,213,2117,10,2.520238095238095,373,26.1,1.0,23.140206354037225,0.8262056694208988,0.004716983327951563,1,0.6762443077085594,0.1546176376408097,0.8258928571428571,0.8865725852066128,-0.04876147282549738,0.6809612910365109,0.15444554028481153,0.8342093894009217,0.9563678983191175,-0.35297780147074065
acs_d10,1,4,840,213,2117,10,2.520238095238095,373,26.1,1.0,16.00816028682035,0.7498984614211636,-0.007707213122311818,0,0.7556886267653028,0.1335038470548277,0.8690596198156683,1.1304081294549062,0.006146949093490019,0.747981413642991,0.13631143002841942,0.8691316244239632,1.1889864254831208,-0.29048449322689107
acs_d10,1,1,840,840,840,10,1.0,373,26.1,1.0,0.927048233104331,0.10815463195144506,0.0012928431999792434,1,0.7084015598700678,0.1495641873660274,0.8326612903225806,1.0115199510970376,0.2519147710160605,0.709694403070047,0.14787915328497953,0.8327332949308757,0.9985532675179839,-0.08104948641061915
acs_d10,1,1,840,840,840,10,1.0,373,26.1,1.0,1.7804035555842912,0.4278972711191249,0.01234735925164443,1,0.6867414323226584,0.1530343177025455,0.8251728110599078,0.871694376458959,0.028603012663593913,0.6990887915743028,0.15214265507671007,0.8306811635944702,0.9267838115373388,-0.2555353158969997
acs_d10,1,1,840,840,840,10,1.0,373,26.1,1.0,1.5180880753372383,0.2668693198043975,0.011209455597073426,1,0.7165187348301469,0.14486050919616134,0.834317396313364,0.9154759246616514,-0.013542647452199956,0.7277281904272204,0.14515961261301769,0.8441100230414746,0.9824906489047099,-0.31253246238061233
acs_d10,1,1,840,840,840,10,1.0,373,26.1,1.0,5.0834800273317615,0.8018639080032709,0.0007663639094400709,1,0.6762443077085594,0.1546176376408097,0.8258928571428571,0.8865725852066128,-0.04876147282549738,0.6770106716179994,0.15549386860014872,0.826648905529954,0.9248681253444786,-0.2797459975003757
