dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
bosch_d20,route0,1,40865,7007,7007,20,0.17146702557200538,394,13.8,1.0,0.06838674878178433,0.0,-0.0011670302447585167,0,0.01227081994969218,0.006684397734611881,0.6128264436398781,0.9603985749720332,0.000896091270788547,0.011103789704933663,0.0066841258603368425,0.6129214391775237,0.9567174808913904,0.02508817879027127
bosch_d20,route0,1,40865,7007,7007,20,0.17146702557200538,394,13.8,1.0,0.04823043323555512,0.0,-0.002014274407712102,0,0.012854213407595785,0.006683355209002983,0.6019209559181733,0.9582674821219815,0.005319388908883989,0.010839938999883683,0.006685101905799136,0.6061689614990393,0.9525058302494261,0.043706509069736825
bosch_d20,route0,1,40865,7007,7007,20,0.17146702557200538,394,13.8,1.0,0.05489395265683493,0.0,-0.0019953594362108196,0,0.014940784958569212,0.00667648994392719,0.6345524102560106,0.9637320567416429,-0.00606889284902445,0.012945425522358393,0.006681448031079559,0.6325190185937932,0.956286253499824,0.03705027452878299
bosch_d20,route0,1,40865,635,635,20,0.015538969778539092,394,13.8,1.0,0.017195773425739407,0.0,0.00030062989802730374,1,0.01227081994969218,0.006684397734611881,0.6128264436398781,0.9603985749720332,0.000896091270788547,0.012571449847719483,0.006682699254778683,0.6110858330962505,0.9595412655115607,0.008946694817942297
bosch_d20,route0,1,40865,635,635,20,0.015538969778539092,394,13.8,1.0,0.013129652084470813,0.0,0.0003581089145296545,1,0.012854213407595785,0.006683355209002983,0.6019209559181733,0.9582674821219815,0.005319388908883989,0.01321232232212544,0.006683188670523458,0.5999055890502785,0.9575264402201538,0.013121362579335556
bosch_d20,route0,1,40865,635,635,20,0.015538969778539092,394,13.8,1.0,0.013269407311038203,0.0,-0.00011342971110091075,0,0.014940784958569212,0.00667648994392719,0.6345524102560106,0.9637320567416429,-0.00606889284902445,0.014827355247468301,0.006677650754811263,0.6343000631354958,0.9620842673843419,0.008112714857732349
bosch_d20,route0,2,40865,583,1176,20,0.028777682613483423,394,13.8,1.0,0.059618269775305266,0.0,-0.00020632784390130568,0,0.01227081994969218,0.006684397734611881,0.6128264436398781,0.9603985749720332,0.000896091270788547,0.012064492105790874,0.006683293933254093,0.6118492074936377,0.9561901342595838,0.028690681101464246
bosch_d20,route0,2,40865,583,1176,20,0.028777682613483423,394,13.8,1.0,0.08894091204263278,0.0,0.00021632326333671965,1,0.012854213407595785,0.006683355209002983,0.6019209559181733,0.9582674821219815,0.005319388908883989,0.013070536670932505,0.006683429017149518,0.6016330463656169,0.9552916208502116,0.025647911094581703
bosch_d20,route0,2,40865,583,1176,20,0.028777682613483423,394,13.8,1.0,0.04564984692058009,0.0,0.0003208066367335928,1,0.014940784958569212,0.00667648994392719,0.6345524102560106,0.9637320567416429,-0.00606889284902445,0.015261591595302805,0.006678339908113326,0.63590621845661,0.9589283064323154,0.02716101137682653
bosch_d20,route2,4,16406,228,16913,20,1.0309033280507132,89,3.1,1.0,0.36479355706325783,0.0,-0.0037916915050679057,0,0.009856264819500953,0.003821790520738386,0.5657149655008327,0.12653385017495675,-0.004771486616508828,0.0060645733144330475,0.003823595438865763,0.578584080154387,0.9473207397215986,0.10824924760165448
bosch_d20,route2,4,16406,228,16913,20,1.0309033280507132,89,3.1,1.0,0.37417145528695317,0.0,0.0012680308258336903,1,0.007233348894483605,0.003823029463231469,0.6729531815898696,0.9628985063316556,0.021478302391949363,0.008501379720317295,0.0038183073814328818,0.6897031221085468,0.9421574509921121,0.1900609500752654
bosch_d20,route2,4,16406,228,16913,20,1.0309033280507132,89,3.1,1.0,0.2057187669120654,0.0,-6.135044267628793e-05,0,0.0064634240999815054,0.0038251597696904675,0.6271922171993549,0.6386529794059534,0.02168645290974073,0.006402073657305217,0.003822670226567748,0.6336532106696274,0.9413005188052458,0.15362966734196376
bosch_d20,route2,1,16406,587,587,20,0.03577959283189077,89,3.1,1.0,0.028049291104936105,0.0,0.00035852638751941203,1,0.009856264819500953,0.003821790520738386,0.5657149655008327,0.12653385017495675,-0.004771486616508828,0.010214791207020365,0.0038215582942607578,0.5620244798688766,0.1329381965761793,-0.004449655529771532
bosch_d20,route2,1,16406,587,587,20,0.03577959283189077,89,3.1,1.0,0.008276183120640952,0.0,-0.00010866268957553712,0,0.007233348894483605,0.003823029463231469,0.6729531815898696,0.9628985063316556,0.021478302391949363,0.007124686204908068,0.003822628238605477,0.6693208554736034,0.9634347660822858,0.023869974778655396
bosch_d20,route2,1,16406,587,587,20,0.03577959283189077,89,3.1,1.0,0.010247944146099714,0.0,-1.7695383201183322e-05,0,0.0064634240999815054,0.0038251597696904675,0.6271922171993549,0.6386529794059534,0.02168645290974073,0.006445728716780322,0.00382426046173645,0.6256642081053215,0.9568394686798044,0.046486373931807864
bosch_d20,route2,1,16406,582,582,20,0.03547482628306717,89,3.1,1.0,0.012645406276578479,0.0,-1.187765859736109e-05,0,0.009856264819500953,0.003821790520738386,0.5657149655008327,0.12653385017495675,-0.004771486616508828,0.009844387160903592,0.003821994245035153,0.566693102810162,0.12626255374539389,-0.03866591809669169
bosch_d20,route2,1,16406,582,582,20,0.03547482628306717,89,3.1,1.0,0.006617970530744966,0.0,-7.241835452060242e-05,0,0.007233348894483605,0.003823029463231469,0.6729531815898696,0.9628985063316556,0.021478302391949363,0.0071609305399630025,0.003823123661333384,0.6722817035450869,0.9657068269553678,0.0006284872993801059
