dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
heart-4site,cleveland,1,212,205,205,13,0.9669811320754716,139,7.461538461538462,0.7692307692307693,3.9817816353775815,0.7473188765654344,-0.005301084156170477,0
heart-4site,cleveland,1,212,205,205,13,0.9669811320754716,139,7.461538461538462,0.7692307692307693,11.188228756680566,0.9104750614577695,-0.009575723898276989,0
heart-4site,cleveland,2,212,86,291,13,1.3726415094339623,139,7.461538461538462,0.6153846153846154,8.794090433034548,0.83563878033092,0.0014730356557896007,1
heart-4site,cleveland,2,212,86,291,13,1.3726415094339623,139,7.461538461538462,0.6153846153846154,24.74455192595989,0.9352035261484697,-0.013326939212343403,0
heart-4site,cleveland,3,212,86,431,13,2.0330188679245285,139,7.461538461538462,0.6153846153846154,17.735523564264227,0.902353930497168,-0.003025453938168887,0
heart-4site,cleveland,3,212,86,431,13,2.0330188679245285,139,7.461538461538462,0.6153846153846154,40.41328698561657,0.9267592399934287,-0.01685582227276572,0
heart-4site,cleveland,2,212,86,226,13,1.0660377358490567,139,7.461538461538462,0.6923076923076923,12.249578574935498,0.8886461217087844,0.003667641456551407,1
heart-4site,cleveland,2,212,86,226,13,1.0660377358490567,139,7.461538461538462,0.6153846153846154,21.323701992185704,0.8887438708366732,-0.0006428951348905754,0
heart-4site,cleveland,1,212,140,140,13,0.660377358490566,139,7.461538461538462,0.8461538461538461,8.155855787641835,0.8773887098990579,-0.002016479268070026,0
heart-4site,cleveland,1,212,140,140,13,0.660377358490566,139,7.461538461538462,0.7692307692307693,4.30707661856087,0.6934602618126564,-0.00046319956053109124,0
heart-4site,hungarian,1,205,205,212,10,1.0341463414634147,106,7.4,0.7692307692307693,3.9817816353775815,0.7473188765654344,0.00304305720203224,1
heart-4site,hungarian,1,205,205,212,10,1.0341463414634147,106,7.4,0.7692307692307693,11.188228756680566,0.9104750614577695,0.03789883676524197,1
heart-4site,hungarian,2,205,86,298,10,1.4536585365853658,106,7.4,0.6153846153846154,8.794090433034548,0.83563878033092,0.002388147901226101,1
