dataset,epv_target,gb_ensemble,gb_local,gb_pooled,lr_ensemble,lr_fedavg5,lr_local,lr_merge,lr_pooled,n_partners,n_target,seed,target
heart-4site,7.461538461538462,-0.014211511603119842,0.9155821331235675,-0.024087654691572924,-0.04556965955616843,-0.019891602421893917,0.9327388974930527,-0.005301084156170477,-0.0038056702969517797,1,212,0,cleveland
heart-4site,7.461538461538462,0.0006131986718508342,0.8683046382794953,-0.00012157397243839352,-0.011233258655067413,-0.0009467305186997566,0.8771598295069721,-0.009575723898276989,-0.0008306219442226759,1,212,1,cleveland
heart-4site,7.461538461538462,-0.015254673450651124,0.9155821331235675,-0.018670358124906694,-0.05376837766716669,-0.012564019829948703,0.9327388974930527,0.0014730356557896007,-0.008588648883406269,2,212,0,cleveland
heart-4site,7.461538461538462,-0.0015832750231641324,0.8683046382794953,-0.009676506572579013,-0.016525937639718657,-0.005339759275924338,0.8771598295069721,-0.013326939212343403,0.0018862420142365943,2,212,1,cleveland
heart-4site,7.461538461538462,-0.02400530635970477,0.9155821331235675,0.004228029856707338,-0.07879160918814831,-0.012948454216573091,0.9327388974930527,-0.003025453938168887,-0.012820303762050234,3,212,0,cleveland
heart-4site,7.461538461538462,0.00025416889258977893,0.8683046382794953,0.007549144941669139,-0.02968448200670859,-0.012026799352167439,0.8771598295069721,-0.01685582227276572,-0.004810552674723745,3,212,1,cleveland
heart-4site,7.461538461538462,-0.01738660118001434,0.9155821331235675,0.0005266406278843228,-0.05077572329528102,-0.002330927844621522,0.9327388974930527,0.003667641456551407,-0.007019957686337119,2,212,0,cleveland
heart-4site,7.461538461538462,-0.004969831543944814,0.8683046382794953,-0.02386821632623848,-0.013141448607443706,0.003707146226732294,0.8771598295069721,-0.0006428951348905754,-0.0007800944016337352,2,212,1,cleveland
heart-4site,7.4,0.04358856601636796,0.7599203346580934,0.02749409337266817,0.004090271234778009,-0.010804341764201308,0.8143798867704989,0.00304305720203224,-0.029874706532762807,1,205,0,hungarian
heart-4site,7.4,0.0022737556375252987,0.7707316604534772,0.016632513466341425,0.03136440673600882,0.020114904970012448,0.7922410856232307,0.03789883676524197,0.03691336066836959,1,205,1,hungarian
heart-4site,7.4,0.0469847546003469,0.7599203346580934,0.040015769413875746,-0.0008330509977559908,-0.017127898173781464,0.8143798867704989,0.002388147901226101,-0.04355093490973949,2,205,0,hungarian
heart-4site,7.4,0.014505528941716639,0.7707316604534772,-0.009361016583919968,0.03374133703005744,0.02670362889336253,0.7922410856232307,0.03465245950759255,0.03807335183916538,2,205,1,hungarian
heart-4site,7.4,0.030780575948325617,0.7599203346580934,0.020658014702023997,0.0077122860031278995,0.004336898379535548,0.8143798867704989,0.016230204378124058,-0.007423191038149812,3,205,0,hungarian
heart-4site,7.4,-0.004562129448687502,0.7707316604534772,0.007977412825050711,0.03180767530779294,0.02083543552417344,0.7922410856232307,0.029757351567281987,0.02922803024866716,3,205,1,hungarian
heart-4site,7.4,0.038553679774427474,0.7599203346580934,0.023691379050215566,0.009903584971952095,0.004833554084554659,0.8143798867704989,0.02317869286938401,0.004911863485386525,2,205,0,hungarian
heart-4site,7.4,-0.0033588188191860935,0.7707316604534772,-0.0019466339045117742,0.027412985495239517,0.01575374867749335,0.7922410856232307,0.03267869770392551,0.028095617638408177,2,205,1,hungarian
heart-4site,7.4,-0.03769805693402695,0.7599203346580934,-0.043931222960301386,-0.007166724226955412,-0.0013185733681709833,0.8143798867704989,0.004669046601446847,-0.0893484065892659,1,205,0,hungarian
heart-4site,7.4,-0.007920487830510137,0.7707316604534772,-0.024082391944667436,0.01873161462596018,0.013181999859535165,0.7922410856232307,0.00923354249831887,0.02633729982436417,1,205,1,hungarian
heart-4site,7.4,0.010646011934099087,0.7599203346580934,0.03213968685308988,0.0026907258956488933,-3.855619208026351e-05,0.8143798867704989,0.00018609371680244902,0.01475611162742807,1,205,0,hungarian
heart-4site,7.4,-0.017852505441613098,0.7707316604534772,-0.00865381999542314,0.00045548959199037675,0.008726142538114323,0.7922410856232307,0.00513125095874245,0.019186992675544023,1,205,1,hungarian
heart-4site,0.6,0.03709650755426974,0.9384369152009976,0.03888222183998402,-0.00041950113378685927,-0.0011904761904761862,0.9870896736485276,0.001521725807440144,-0.008089864338638453,1,86,0,switzerland
heart-4site,0.6,-0.007721448298113831,0.9498734866594221,0.025414156534748877,0.024698828038289156,0.023512844873093353,0.9159917964867806,0.0230181557693816,0.02929202895501959,1,86,1,switzerland
heart-4site,0.6,0.05449485171819468,0.9384369152009976,0.05272369280417877,0.004320367463224617,0.004320367463224617,0.9870896736485276,0.005091342519913944,-0.004320982675019902,2,86,0,switzerland
heart-4site,0.6,-0.007876170055807208,0.9498734866594221,0.00408883136930871,0.020380836095121757,0.01932589104017668,0.9159917964867806,0.013611605325891007,0.024698828038289156,2,86,1,switzerland
heart-4site,0.6,0.055480073393071594,0.9384369152009976,0.053474443554929474,0.00530558913810153,0.00530558913810153,0.9870896736485276,0.006076564194790857,0.000770975056689327,3,86,0,switzerland
heart-4site,0.6,-0.006222554063955776,0.9498734866594221,0.005117969472980932,0.016666666666666607,0.013611605325891007,0.9159917964867806,0.013611605325891007,0.025791756437719138,3,86,1,switzerland
heart-4site,0.6,0.046443070740948,0.9384369152009976,0.04433177577251013,0.004320367463224617,0.002241758241758207,0.9870896736485276,0.005091342519913944,0.0019138321995464391,2,86,0,switzerland
heart-4site,0.6,-0.003114265293902352,0.9498734866594221,0.02773035885095121,0.01251636723065297,0.007662504737038889,0.9159917964867806,0.015365094544891877,0.013624839002115308,2,86,1,switzerland
heart-4site,0.6,0.06076943400535173,0.9384369152009976,0.05449485171819468,0.00530558913810153,0.00807248621951473,0.9870896736485276,0.00807248621951473,0.00530558913810153,2,86,0,switzerland
heart-4site,0.6,-0.0014606493020510314,0.9498734866594221,0.007765158939559091,-0.012416138869340787,-0.010661146549832412,0.9159917964867806,-0.012416138869340787,0.01932589104017668,2,86,1,switzerland
heart-4site,0.6,0.051665491745977565,0.9384369152009976,0.050174484254970175,0.0062579700904824564,0.007179629076657479,0.9870896736485276,0.007179629076657479,0.006387312149886748,1,86,0,switzerland
heart-4site,0.6,0.011664962135094603,0.9498734866594221,-0.0319743218613322,-0.014285714285714346,-0.01333567909922595,0.9159917964867806,0.002760512436342788,0.02185384135073576,1,86,1,switzerland
heart-4site,3.272727272727273,-0.005686840953632588,0.8121927941507605,-0.02285718386269031,0.01813193254253964,0.048434254445529956,0.8021129436619528,0.036198617276736345,0.020952368385254716,2,140,0,va
heart-4site,3.6,0.10088281058356374,0.7909082354295862,0.07440280843934444,0.024450312208070035,0.0334310709077863,0.8889123152020131,0.022665378254550395,-0.04460999939734789,2,140,1,va
heart-4site,3.272727272727273,-0.00945369705543131,0.8121927941507605,0.01818046620157132,0.022421227808055222,0.05127049174644316,0.8021129436619528,0.026243838893552085,0.011745094985154192,3,140,0,va
heart-4site,3.6,0.09147969665999611,0.7909082354295862,0.04992809128719189,0.0267070123149723,0.03328996960593389,0.8889123152020131,0.028580656608721666,-0.055957343317321384,3,140,1,va
heart-4site,3.272727272727273,0.0047310279346611805,0.8121927941507605,-0.0024426524715945863,0.01795201670392399,0.020673921839436615,0.8021129436619528,0.01609146796880867,0.01149390436332609,1,140,0,va
heart-4site,3.6,0.095142910113024,0.7909082354295862,0.08304729643595343,-0.006141345311205582,0.02155760321896305,0.8889123152020131,0.004496651231331583,-0.047114623681048906,1,140,1,va
heart-4site,3.272727272727273,-0.023423579742941292,0.8121927941507605,0.005007327831313302,-0.004361999674247996,0.007442029385058335,0.8021129436619528,0.004986580403270824,-0.030861559252236104,1,140,0,va
heart-4site,3.6,0.004258278751752331,0.7909082354295862,-0.033476226429618894,0.019141402037990085,0.006707492415819694,0.8889123152020131,0.030343042705947898,-0.10254208667083464,1,140,1,va
mimic-11site,11.0,0.028855693969570106,0.2939078042786258,0.055320450577848346,0.005582102489671947,0.011408715943432235,0.3392103681720656,-0.0327690708657018,0.02968515773151098,4,2722,0,CCU-care
mimic-11site,11.0,0.10735378870408929,0.280627321249426,0.1342987697507355,0.0342607851615932,0.03382283797208585,0.37122406614840175,-0.0030462326510344306,0.07710586911302025,4,2722,1,CCU-care
mimic-11site,11.0,0.03840613747186966,0.2939078042786258,0.06788413461234255,0.0006090399305835881,0.015444008841419998,0.3392103681720656,-0.0028238743673685285,0.01650234588182259,3,2722,0,CCU-care
mimic-11site,11.0,0.11187730506819721,0.280627321249426,0.1414766393358381,0.024376442399248965,0.033562524835542895,0.37122406614840175,0.018937704846868908,0.07371396801561292,3,2722,1,CCU-care
mimic-11site,11.0,-0.010181745128414299,0.2939078042786258,0.008287675768236635,-0.008947847918167384,0.0040614449672401465,0.3392103681720656,-0.028088507256939454,0.01227757577105637,1,2722,0,CCU-care
mimic-11site,11.0,0.03407553287069637,0.280627321249426,0.1105197848628604,0.024294339478064864,0.005869364175436487,0.37122406614840175,0.023965449480442658,0.06740847234622671,1,2722,1,CCU-care
mimic-11site,11.0,0.029534505364218477,0.2939078042786258,0.03427459478876943,-0.0018112544495030303,0.009395355106527836,0.3392103681720656,-0.02352219288750579,0.014071554853315571,1,2722,0,CCU-care
mimic-11site,11.0,0.010370447575894226,0.280627321249426,0.09386756208883212,-0.005593661975099085,-0.00540627088044926,0.37122406614840175,-0.01569552304955729,0.04696646679334271,1,2722,1,CCU-care
mimic-11site,11.0,0.052568932280593395,0.2939078042786258,0.077456631146882,-0.012946064406727631,0.008766235024689373,0.3392103681720656,-0.03748512309315605,0.01486650765700126,4,2722,0,CCU-care
mimic-11site,11.0,0.1045348290359368,0.280627321249426,0.13900684711310046,0.016148071436005162,0.034109237173423124,0.37122406614840175,0.006488460331589563,0.06646746067601778,4,2722,1,CCU-care
mimic-11site,11.0,0.059963352594080865,0.2939078042786258,0.08956696936308567,0.0024727212130958853,0.012869198382468583,0.3392103681720656,-0.009670576060246239,0.01837800726420913,3,2722,0,CCU-care
mimic-11site,11.0,0.11017242811102984,0.280627321249426,0.10475607520883495,0.042388022549006144,0.02927814641892268,0.37122406614840175,0.017986226905562397,0.06341300350992396,3,2722,1,CCU-care
mimic-11site,11.0,0.052861684820910526,0.2939078042786258,0.0799647215261799,-0.013591939799665498,0.013495088649148723,0.3392103681720656,0.006896931066643686,0.012885417806250299,2,2722,0,CCU-care
mimic-11site,11.0,0.09725783900700885,0.280627321249426,0.09773704917849141,0.031003448270982448,0.03231654209906637,0.37122406614840175,0.03421760788801781,0.06591552283381524,2,2722,1,CCU-care
mimic-11site,11.0,0.03472930744240016,0.2939078042786258,0.066965129922269,0.0010033274345895293,0.00411684765708048,0.3392103681720656,-0.03805467277084368,0.028355995322856542,3,2722,0,CCU-care
