dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped,loc_AUPRC,loc_Brier,loc_AUROC,loc_cal_slope,loc_cal_intercept,mrg_AUPRC,mrg_Brier,mrg_AUROC,mrg_cal_slope,mrg_cal_intercept
acs_ladder_10000,1,3,11655,2482,22055,10,1.8923208923208923,5171,361.9,1.0,124.08962741807647,0.959311072877003,-0.0038400615321064757,0,0.7102311012538773,0.14107364740175027,0.8541385099740172,1.0651592956930003,-0.04169483585879091,0.7063910397217709,0.14567518187568132,0.8529978365183136,1.0446025224900526,-0.40350838707975645
acs_ladder_10000,1,3,11655,2482,22055,10,1.8923208923208923,5171,361.9,1.0,120.47684698987275,0.9518605241792345,-0.002493187327703872,0,0.6953139117085291,0.14328965114624762,0.8503396015182539,0.9925359109016442,0.029147573608823314,0.6928207243808252,0.1460010583088819,0.850364671264533,0.9966726544364976,-0.36376040852192154
acs_ladder_10000,1,3,11655,2482,22055,10,1.8923208923208923,5171,361.9,1.0,99.4181108922412,0.9474047677653247,-0.005289945963861675,0,0.7130311275182761,0.14103217626528788,0.8537922107175784,1.0559108574391989,-0.013769504826928123,0.7077411815544145,0.14518834415077408,0.8528462955146855,1.0455752120276838,-0.3838308276913093
acs_ladder_10000,1,4,11655,10598,61203,10,5.251222651222651,5171,361.9,1.0,91.69306549822878,0.9480674992869446,-0.0013973273531888708,0,0.7102311012538773,0.14107364740175027,0.8541385099740172,1.0651592956930003,-0.04169483585879091,0.7088337739006885,0.14199633128206263,0.8524550952201347,1.0693651627866314,-0.1466356800193584
acs_ladder_10000,1,4,11655,10598,61203,10,5.251222651222651,5171,361.9,1.0,93.79234774049868,0.9457498223707774,0.0013831795614178688,1,0.6953139117085291,0.14328965114624762,0.8503396015182539,0.9925359109016442,0.029147573608823314,0.6966970912699469,0.14310066856259976,0.8497214638935785,1.0310128468149617,-0.09591135860882398
acs_ladder_10000,1,4,11655,10598,61203,10,5.251222651222651,5171,361.9,1.0,81.27524120653109,0.9424034262247523,-0.0010371151837910153,0,0.7130311275182761,0.14103217626528788,0.8537922107175784,1.0559108574391989,-0.013769504826928123,0.7119940123344851,0.1415942925095508,0.8527882983404576,1.0734651917910654,-0.12375332855969931
acs_ladder_10000,1,1,11655,3299,3299,10,0.28305448305448305,5171,361.9,1.0,4.255031742800141,0.7613500487999328,-7.271296478394973e-05,0,0.7102311012538773,0.14107364740175027,0.8541385099740172,1.0651592956930003,-0.04169483585879091,0.7101583882890934,0.14142917659792853,0.853909514679646,1.0710492769425315,-0.13214530497838878
acs_ladder_10000,1,1,11655,3299,3299,10,0.28305448305448305,5171,361.9,1.0,10.668893477816823,0.8499226280713692,0.001475606873749813,1,0.6953139117085291,0.14328965114624762,0.8503396015182539,0.9925359109016442,0.029147573608823314,0.6967895185822789,0.1428499092835431,0.8506062014320439,1.005315376972649,-0.06637239018991521
acs_ladder_10000,1,1,11655,3299,3299,10,0.28305448305448305,5171,361.9,1.0,7.15443343990046,0.8602227751539204,-0.000279465576357496,0,0.7130311275182761,0.14103217626528788,0.8537922107175784,1.0559108574391989,-0.013769504826928123,0.7127516619419186,0.14116072803147545,0.8538245768825509,1.073062276247157,-0.10558933672407855
acs_ladder_10000,1,3,11655,11655,74167,10,6.363534963534963,5171,361.9,1.0,118.87107616565346,0.972534314373718,-0.004470143565034057,0,0.7102311012538773,0.14107364740175027,0.8541385099740172,1.0651592956930003,-0.04169483585879091,0.7057609576888433,0.14325346446966838,0.85221262961433,1.087252423832965,-0.24208531688075352
